kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,dN2E49BCghxyxSn24qUC0EG7ips,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLjhTTnRaYXIzZ013,2023-06-06T00:27:12Z,UCzjtGnD7qqeaHW3nvDVrjQA,Salles não disputará prefeitura de São Paulo,"Ricardo Salles anunciou com exclusividade para a Jovem Pan que não disputará as eleições municipais de São Paulo em 2024. O relator da CPI do MST ainda ressaltou que tomou uma ‘rasteira’ da própria sigla e disse que Ricardo Nunes será ‘engolido’ por Guilherme Boulos. 

Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/8SNtZar3gMw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8SNtZar3gMw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8SNtZar3gMw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8SNtZar3gMw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8SNtZar3gMw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,0,youtube#video,8SNtZar3gMw,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,qVd39FmuaFBU7R0d3WSTMBctpY4,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLnZuVDZoSnRJX2ZF,2023-06-06T00:26:40Z,UCzjtGnD7qqeaHW3nvDVrjQA,Lula quer comprar avião presidencial de luxo,"O presidente Lula quer mudar de avião. Os motivos são o alto número das escalas que atualmente são feitas, mais espaço para o seu comitê e também uma cama melhor para dormir. Os comentaristas de Os Pingos Nos Is analisaram o tema.
Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/vnT6hJtI_fE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/vnT6hJtI_fE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/vnT6hJtI_fE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/vnT6hJtI_fE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/vnT6hJtI_fE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,1,youtube#video,vnT6hJtI_fE,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,r7Kodw8t3lmZ91QxzurupSJh-KM,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLlRhVXRicnM5dzJZ,2023-06-06T00:26:39Z,UCzjtGnD7qqeaHW3nvDVrjQA,Valdemar Costa Neto critica Dallagnol e Sergio Moro,"O presidente nacional do Partido Liberal (PL) Valdemar Costa Neto manifestou apoio à cassação de Deltan Dallagnol e eventuais sanções a Sergio Moro na Justiça Federal.

Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/TaUtbrs9w2Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/TaUtbrs9w2Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/TaUtbrs9w2Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/TaUtbrs9w2Y/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/TaUtbrs9w2Y/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,2,youtube#video,TaUtbrs9w2Y,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,kVvzpvQiaS7FBQ4y2dpai7GveCg,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLlBoNHoxVHZqSkYw,2023-06-06T00:26:26Z,UCzjtGnD7qqeaHW3nvDVrjQA,Bolsa Família volta a registrar fila com Lula no poder,"Sob o governo Lula, cerca de 440 mil famílias tiveram cadastro aprovado no Bolsa Família, mas não conseguiram o benefício no mês de maio. O programa foi uma das principais promessas do petistas durante a sua campanha presidencial. 

Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/Ph4z1TvjJF0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Ph4z1TvjJF0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Ph4z1TvjJF0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Ph4z1TvjJF0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Ph4z1TvjJF0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,3,youtube#video,Ph4z1TvjJF0,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,5CvyXkNSAQDlDU8b7iB-lQfpJYI,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLmNJUUpnaHQ0VGE4,2023-06-06T00:25:43Z,UCzjtGnD7qqeaHW3nvDVrjQA,PT e Centrão querem demissão de Rui Costa,"Parlamentares do PT e do Centrão estão insatisfeitos com o ministro Rui Costa. Eles dizem que o aliado de Lula é o responsável por travar nomeações e a liberação de emendas parlamentares. 
Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/cIQJght4Ta8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cIQJght4Ta8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cIQJght4Ta8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cIQJght4Ta8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/cIQJght4Ta8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,4,youtube#video,cIQJght4Ta8,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,5SExhX8RsM_bVee7QGauVRbZ3bE,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLnpRNjMzeFFiRnRR,2023-06-06T00:25:16Z,UCzjtGnD7qqeaHW3nvDVrjQA,Lula e Janja farão novas viagens em junho,"Neste mês de junho, o presidente Lula e a primeira-dama Janja farão novas viagens internacionais. França e Vaticano são os próximos destinos do petista. Os comentaristas de Os Pingos Nos Is analisaram o tema. 
Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/zQ633xQbFtQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zQ633xQbFtQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zQ633xQbFtQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zQ633xQbFtQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zQ633xQbFtQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,5,youtube#video,zQ633xQbFtQ,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,QVFer7TMkawH1c5HesWxDJIYTmA,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLm11bWVzUzlJSlRv,2023-06-06T00:24:26Z,UCzjtGnD7qqeaHW3nvDVrjQA,Governo Lula vai retomar imposto sobre combustível,"O governo Lula deve anunciar nos próximos dias que irá retomar o imposto sobre o diesel a partir de setembro. A medida será implantada para tentar compensar a tributação na compra de carros populares. 
Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/mumesS9IJTo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mumesS9IJTo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mumesS9IJTo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mumesS9IJTo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mumesS9IJTo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,6,youtube#video,mumesS9IJTo,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,S3klCl7xnDUcwolriYYIe8ERJ1A,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLkstckNEdlFXajFv,2023-06-06T00:23:18Z,UCzjtGnD7qqeaHW3nvDVrjQA,Lira diz que apoio ao governo está ‘acabando’,"Em entrevista, o presidente da Câmara Arthur Lira alertou Lula sobre o apoio do Congresso ao governo. Lira afirmou que o 'combustível desse apoio’ estaria acabando. 

Assista ao programa completo:
https://www.youtube.com/watch?v=6ihGkbTs2s4


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/K-rCDvQWj1o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/K-rCDvQWj1o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/K-rCDvQWj1o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/K-rCDvQWj1o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/K-rCDvQWj1o/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,7,youtube#video,K-rCDvQWj1o,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,D0xbR2F1ZSJk7C6m-c5WurHeqeM,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLjZpaEdrYlRzMnM0,2023-06-05T23:13:59Z,UCzjtGnD7qqeaHW3nvDVrjQA,OS PINGOS NOS IS - 05/06/2023,"Inscreva-se no nosso canal:
https://www.youtube.com/c/ospingosnosis

Baixe o app Panflix: https://www.panflix.com.br/ 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/jovempannews

Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosnosIs","{'url': 'https://i.ytimg.com/vi/6ihGkbTs2s4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6ihGkbTs2s4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6ihGkbTs2s4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6ihGkbTs2s4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6ihGkbTs2s4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,8,youtube#video,6ihGkbTs2s4,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
youtube#playlistItem,TEZky4xwEv_L_rKb92fKlYfRWfk,VVV6anRHbkQ3cXFlYUhXM252RFZyalFBLmltT0o1MFNzOG1v,2023-06-02T23:33:33Z,UCzjtGnD7qqeaHW3nvDVrjQA,"Lula diz que quer ser chamado de ""magnífico presidente”","Nesta sexta-feira (02), o presidente Lula participou de um evento na Universidade Federal do ABC, em São Bernardo, e fez fortes críticas às fake news propagadas nas redes sociais, além de afirmar que gostaria de ser chamado de ""magnífico presidente”. 

Assista ao programa completo:
https://www.youtube.com/watch?v=mOyYxU-3n9c


Baixe o app Panflix: https://youtu.be/G2HbM-aO91Q

Inscreva-se no nosso canal:
http://www.youtube.com/ospingosnosis 

Entre no nosso site:
http://jovempan.com.br/

Facebook:
https://www.facebook.com/OsPingosnosI...

Siga no Twitter:
https://twitter.com/JovemPanNews

Instagram:
https://www.instagram.com/jovempannews/

#JovemPan
#OsPingosNosIs","{'url': 'https://i.ytimg.com/vi/imOJ50Ss8mo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/imOJ50Ss8mo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/imOJ50Ss8mo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/imOJ50Ss8mo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/imOJ50Ss8mo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Os Pingos nos Is,UUzjtGnD7qqeaHW3nvDVrjQA,9,youtube#video,imOJ50Ss8mo,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,EAAaBlBUOkNESQ,2023-06-06 00:49:55.746578
