kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,rCKjKRBclWVe2sUpYpr_suSpk88,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLlVreFRJMm5kZDJ3,2023-06-05T23:00:11Z,UC3-JLGJpMKwymQoRFJMkgSg,LIRA É PEGO E TREME DE MEDO!!! GLOBO EXPÕE TUDO E PF ESTÁ NA COLA APÓS DESVIO BILIONÁRIO!!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/UkxTI2ndd2w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/UkxTI2ndd2w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/UkxTI2ndd2w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/UkxTI2ndd2w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/UkxTI2ndd2w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,0,youtube#video,UkxTI2ndd2w,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,kpbr3D9osDGquFXp2tHKyoekmqQ,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLkhfY2VsRkwwTThB,2023-06-05T22:00:19Z,UC3-JLGJpMKwymQoRFJMkgSg,GLOBO EXPÕE CRlMES DE ARTHUR LIRA E STF JÁ PODE PRENDER!! CELULARES APREENDIDOS SÃO B0MBA!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/H_celFL0M8A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/H_celFL0M8A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/H_celFL0M8A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/H_celFL0M8A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/H_celFL0M8A/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,1,youtube#video,H_celFL0M8A,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,JPKuVnv17_DMwSK3kOHJeX0WS5k,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLmNlNVlfR3o2WTVZ,2023-06-05T18:33:57Z,UC3-JLGJpMKwymQoRFJMkgSg,URGENTE!!! BOLSONARO É CONVOCADO PRA CPMI E PASTORES FINANCIADORES ESTÃO NA MIRA!!!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/ce5Y_Gz6Y5Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ce5Y_Gz6Y5Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ce5Y_Gz6Y5Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ce5Y_Gz6Y5Y/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ce5Y_Gz6Y5Y/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,2,youtube#video,ce5Y_Gz6Y5Y,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,HuujxIwl2iMGaNuGYVPmKrRpxGI,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLm04MzVYcWluUFRj,2023-06-05T16:15:01Z,UC3-JLGJpMKwymQoRFJMkgSg,XEQUE-MATE DE LULA E DILMA!! ANÚNCIO-B0MBÁSTICO!! BRICS TERÃO 80% DO PETRÓLEO DO MUNDO,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/m835XqinPTc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/m835XqinPTc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/m835XqinPTc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/m835XqinPTc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/m835XqinPTc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,3,youtube#video,m835XqinPTc,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,uqrigUvRM5bdC0dhOVG6KL4aF54,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLmZqcGwxZ05FcVZ3,2023-06-05T14:39:01Z,UC3-JLGJpMKwymQoRFJMkgSg,EMPRESÁRIO ENTREGA MORO! A PRISÃO DE LULA FOI TUDO PLANEJADO!!! CRIME CONFIRMADO!!!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/fjpl1gNEqVw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/fjpl1gNEqVw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/fjpl1gNEqVw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/fjpl1gNEqVw/sddefault.jpg', 'width': 640, 'height': 480}",,Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,4,youtube#video,fjpl1gNEqVw,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,R44vjo5vrjsktfsb75sq91rtsWY,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLnktLVU0a21jcDM0,2023-06-05T10:15:02Z,UC3-JLGJpMKwymQoRFJMkgSg,B0LSONARO É CANCELAD0 POR MlNIONS E TEM QUEBRA-P'AU PÚBLICO!! SÓ RESTA A PRlSÃO,"PIX DO LUCIANO: CPF: 30515886874

- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/y--U4kmcp34/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/y--U4kmcp34/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/y--U4kmcp34/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/y--U4kmcp34/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/y--U4kmcp34/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,5,youtube#video,y--U4kmcp34,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,2e7w5CyL5i7NVb2h4lhDwhgECfI,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLjJRSDBYdGtvVHk0,2023-06-05T04:32:23Z,UC3-JLGJpMKwymQoRFJMkgSg,LIRA DESESPERADO DETONA BOLSONARO E EXALTA LULA,,"{'url': 'https://i.ytimg.com/vi/2QH0XtkoTy4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2QH0XtkoTy4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2QH0XtkoTy4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2QH0XtkoTy4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2QH0XtkoTy4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,6,youtube#video,2QH0XtkoTy4,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,gihVcCHcu_4DZkA72Cg3VpBSKaw,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLlNrTGk3ck9vb3lB,2023-06-05T01:53:21Z,UC3-JLGJpMKwymQoRFJMkgSg,LIRA DESTROÇA BOLSONARO E EXALTA LULA! DESESPERADO INVESTIGAÇÕES DA PF DESCOBRE DESVIO BILIONÁRIO!!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/SkLi7rOooyA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/SkLi7rOooyA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/SkLi7rOooyA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/SkLi7rOooyA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/SkLi7rOooyA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,7,youtube#video,SkLi7rOooyA,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,0y6oCWl-1oxFht9tJuJrYBi_q28,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLnQyVjRHanMydmFV,2023-06-04T23:36:21Z,UC3-JLGJpMKwymQoRFJMkgSg,ESCÂNDALO! B0LSONARO CRlMlNOSO EM SÉRIE!!! GASTOU QUASE 2 BILHÕES AUXÍLIO GÁS E COMPRAS DE VOTOS!!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/t2V4Gjs2vaU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/t2V4Gjs2vaU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/t2V4Gjs2vaU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/t2V4Gjs2vaU/sddefault.jpg', 'width': 640, 'height': 480}",,Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,8,youtube#video,t2V4Gjs2vaU,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
youtube#playlistItem,jpDffsCeCfh_kLw9-kGuJfu9zy8,VVUzLUpMR0pwTUt3eW1Rb1JGSk1rZ1NnLndTMUhXS1hORGVB,2023-06-04T22:31:58Z,UC3-JLGJpMKwymQoRFJMkgSg,DEPUTADO DESTRÓI RICARDO SALLES AO VIVO!! HUMILHOU O BOLSONARISTA PASSADOR DE BOAIDA!!!,"- Nosso PIX: thiago@plantaobrasil.net
- Apoie no Picpay: http://www.picpay.com/convite?XX-JBD5F6 e envie para @thiago.dosreis
- Apoie o Plantão Brasil no Apoie-se: http://apoie.se/plantaobrasil

- Siga-me no Twitter: https://twitter.com/ThiagoResiste
- Plantão Brasil no Twitter: https://twitter.com/PlantaoBrasilOF
- Siga-me no Instagram: https://www.instagram.com/thiagoresiste
- Siga-me no TikTok: https://www.tiktok.com/@thiagodosreis8

- Canal Thiago dos Reis no TELEGRAM: https://t.me/thiagoresiste

--Inscreva-se no canal THIAGO DOS REIS, que tem vídeos mais curtos, de apenas 8 minutos: https://www.youtube.com/channel/UCZdqomJKKh09lE6Fyw9Rsxg?sub_confirmation=1

Inscreva-se no canal de CORTES do Thiago dos Reis, com vídeos mais curtos: https://www.youtube.com/channel/UCW93WqsedMLqVjILTlX8nSg?sub_confirmation=1

- Baixe o App de notícias do Plantão Brasil: https://play.google.com/store/apps/details?id=net.plantaobrasil
-- Entre no grupo de WhatsApp para receber notícias do Plantão Brasil: www.ZapForaBolsonaro.com","{'url': 'https://i.ytimg.com/vi/wS1HWKXNDeA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/wS1HWKXNDeA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/wS1HWKXNDeA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/wS1HWKXNDeA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/wS1HWKXNDeA/maxresdefault.jpg', 'width': 1280, 'height': 720}",Plantão Brasil,UU3-JLGJpMKwymQoRFJMkgSg,9,youtube#video,wS1HWKXNDeA,Plantão Brasil,UC3-JLGJpMKwymQoRFJMkgSg,EAAaBlBUOkNESQ,2023-06-05 20:11:13.149521
