kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,LG9cU9AYVVWWuFXJ2Hq7DRRmnYk,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLldJZWpPZ0NxcVpj,2023-06-06T00:40:24Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ao vivo: Arthur Lira participa de evento da Esfera Brasil,"A Esfera Brasil promove nesta 2ª feira (5.jun.2023) o debate ""Diálogos Esfera"" sobre a reforma tributária e o marco fiscal. O evento, realizado em São Paulo, contará com a presença do presidente da Câmara dos Deputados, Arthur Lira (PP-AL). O governador do Rio de Janeiro, Cláudio Castro, também participa. 

No 1º painel será debatido as prioridades para o país e para atração de investimentos, e tratar de que forma os estados serão impactados por reformas, como a tributária. No 2º, o projeto lei 4188/2021 estará em discussão. O PL estabelece um novo Marco Legal de Garantias com o objetivo de potencializar o mercado de capitais brasileiro e facilitar o acesso ao crédito, com taxas de juros reduzidas.

Participam do 2º painel: os senadores Weverton Rocha (PDT-MA), relator do PL, e Ciro Nogueira (PP-PI), o presidente da Febraban (Federação Brasileira de Bancos), Isaac Sidney, também o secretário de Reformas Econômicas do Ministério da Fazenda, Marcos Pinto, com mediação do CEO do Banco XP, José Berenguer.

Leia reportagens no Poder360: https://www.poder360.com.br

#esferabrasil #arthurlira #aovivo
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/WIejOgCqqZc/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/WIejOgCqqZc/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/WIejOgCqqZc/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/WIejOgCqqZc/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/WIejOgCqqZc/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,0,youtube#video,WIejOgCqqZc,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,cxZVufvkndLyTyvBAWl_chij8ds,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLlN0c1NFekZjV2U0,2023-06-05T23:43:21Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ao vivo: Marina Silva faz pronunciamento,"A ministra do Meio Ambiente, Marina Silva, disse nesta 2ª feira (5.jun.2023) que o Brasil precisa de “mudanças profundas e irrenunciáveis” para promover a sustentabilidade ambiental. Ela fez um pronunciamento em rede nacional para celebrar o Dia Mundial do Meio Ambiente. 

A fala se dá 4 dias depois da aprovação da MP (Medida Provisória) que reordenou os ministérios em 2023. Com o sinal verde do Congresso, Marina perdeu áreas estratégicas no governo.

Leia a reportagem no Poder360: https://www.poder360.com.br/meio-ambiente/marina-fala-em-mudancas-irrenunciaveis-para-meio-ambiente/

Leia reportagens sobre o meio ambiente no Poder360: https://www.poder360.com.br/meio-ambiente

#meioambiente #governo #aovivo
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/StsSEzFcWe4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/StsSEzFcWe4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/StsSEzFcWe4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/StsSEzFcWe4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/StsSEzFcWe4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,1,youtube#video,StsSEzFcWe4,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,HMDarqlgSAAKcuoWmWk4jx7JuuE,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLnlCei02aEtUN0xF,2023-06-05T21:46:31Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ao vivo: Haddad anuncia medida de incentivo à compra de caminhões e ônibus,"O ministro da Fazenda, Fernando Haddad, fala a jornalistas nesta 2ª feira (5.jun.2023) para detalhar as novidades do programa de carros populares. Segundo o ministro, o programa que concede descontos a carros populares foi “repaginado” e será voltado para transporte de carga (caminhões) e coletivo (ônibus).

Os carros populares ainda serão contemplados, afirmou Haddad a jornalistas. O governo federal anunciou, em 25 de maio, descontos de até 10,96% para carros populares de até R$ 120 mil.

Leia reportagens sobre economia no Poder360: https://www.poder360.com.br/economia

#carros #economia #veículos
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/yBz-6hKT7LE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/yBz-6hKT7LE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/yBz-6hKT7LE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/yBz-6hKT7LE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/yBz-6hKT7LE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,2,youtube#video,yBz-6hKT7LE,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,YW1nq9mXrocFSGLRCoxEq5iWWcU,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLkRBRzFQeE9XcjlZ,2023-06-05T21:07:57Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ao vivo: CLDF realiza reunião da CPI dos Atos Antidemocráticos,"A CLDF (Câmara Legislativa do Distrito Federal) realiza nesta 2ª feira (5.jun.2023) reunião da CPI (Comissão Parlamentar de Inquérito) sobre os atos antidemocráticos que aconteceram em 8 de Janeiro, quando as sedes dos Três Poderes foram invadidas por extremistas.

Leia a reportagem no Poder360: https://www.poder360.com.br/seguranca-publica/ao-vivo-cldf-realiza-reuniao-da-cpi-do-8-de-janeiro/

#cldf #8dejaneiro #aovivo
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/DAG1PxOWr9Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/DAG1PxOWr9Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/DAG1PxOWr9Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/DAG1PxOWr9Y/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/DAG1PxOWr9Y/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,3,youtube#video,DAG1PxOWr9Y,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,7Zp8cJy4X5PGDLvfsMLa7srx7ds,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLm9XRGtJY1pJb1RV,2023-06-05T20:32:23Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ao vivo: Lula participa de cerimônia do Dia Mundial do Meio Ambiente,"O presidente Luiz Inácio Lula da Silva (PT) participa nesta 2ª feira (5.jun.2023) de cerimônia em alusão ao Dia Mundial do Meio Ambiente, no Palácio do Planalto. 

O petista deve anunciar, ao lado da ministra Marina Silva (Meio Ambiente), novas medidas para o setor. Será retomado o Plano de Prevenção e Controle do Desmatamento na Amazônia Legal, extinto em 2019.

Leia reportagens sobre o governo no Poder360: https://www.poder360.com.br/governo

#governo #meioambiente #aovivo
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/oWDkIcZIoTU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/oWDkIcZIoTU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/oWDkIcZIoTU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/oWDkIcZIoTU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/oWDkIcZIoTU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,4,youtube#video,oWDkIcZIoTU,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,k08mAJP1sPBfd7MWMQeM14XPmTg,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLl9tQ2ZuY01mem9j,2023-06-05T20:08:56Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ao vivo: Poder360 entrevista o senador Mecias de Jesus,"O Poder360 entrevista ao vivo nesta 2ª feira (5.jun.2023) o senador por Roraima e líder do Republicanos, Mecias de Jesus. O repórter Murilo Fagundes perguntará sobre a relação do partido com o governo Lula, a indicação do advogado Cristiano Zanin ao STF (Supremo Tribunal Federal) e a situação dos yanomami.

A entrevista será realizada ao vivo no estúdio do jornal digital, em Brasília.

Leia reportagens sobre o Congresso no Poder360: https://www.poder360.com.br/congresso

#aovivo #entrevista #republicanos 
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/_mCfncMfzoc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/_mCfncMfzoc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/_mCfncMfzoc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/_mCfncMfzoc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/_mCfncMfzoc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,5,youtube#video,_mCfncMfzoc,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,UVXE5gWKxe-H4ZQfh5G-ij4qsT8,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLmlGNFB6VFBFZ2tJ,2023-06-05T19:04:09Z,UCFCiSRbCVwQ_BQaDQBYxN_A,"Não quero o caos, diz senador do PP que apoiou MP dos Ministérios","O senador Laércio Oliveira (PP-SE) disse que votou favoravelmente à medida provisória 1.154 de 2023, que estruturou a organização ministerial do presidente Luiz Inácio Lula da Silva (PT), por, entre outros motivos, considerar acertada a separação do Ministério do Desenvolvimento, Indústria, Comércio e Serviços do Ministério da Fazenda.

“Existem os ministérios fundamentais para avançarmos no desenvolvimento. A minha pauta é desenvolvimentista. E eu sempre entendi que colocar o Ministério da Indústria e Comércio não foi uma decisão inteligente, porque tem um papel importantíssimo para os setores de serviços, comércio e indústria”, declarou em entrevista ao Poder360.

Leia a reportagem no Poder360: https://www.poder360.com.br/congresso/nao-quero-o-caos-diz-senador-do-pp-que-apoiou-mp-dos-ministerios/
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/iF4PzTPEgkI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/iF4PzTPEgkI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/iF4PzTPEgkI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/iF4PzTPEgkI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/iF4PzTPEgkI/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,6,youtube#video,iF4PzTPEgkI,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,xKif0owW7o8PmnO9f4VH-iiXEuo,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLk5ReF9yRTZPc3Vr,2023-06-05T19:00:57Z,UCFCiSRbCVwQ_BQaDQBYxN_A,Ponte suspensa na Índia desaba pela 2ª vez,"Uma ponte suspensa em construção sobre o rio Ganges, no Estado de Bihar, na Índia desabou no domingo (4.jun.2023). A infraestrutura teve um colapso semelhante em abril de 2022 por causa de fortes ventos e chuvas.

Leia reportagens no Poder360: https://www.poder360.com.br/internacional/ 
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/NQx_rE6Osuk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NQx_rE6Osuk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NQx_rE6Osuk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NQx_rE6Osuk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NQx_rE6Osuk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,7,youtube#video,NQx_rE6Osuk,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,xUBWtV4o82BNC8-8m3AfTKypg2U,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLlh2MlNTSDdBRWM0,2023-06-05T18:36:10Z,UCFCiSRbCVwQ_BQaDQBYxN_A,"Corredor acesso leste, 3º andar do Planalto, das 23h30min às 23h59min, no 8 de Janeiro","Imagens do circuito de segurança do Palácio do Planalto, registradas entre 23h30min e 23h59min no corredor acesso leste, 3º andar do Palácio do Planalto, no 8 de Janeiro de 2023.

As imagens foram divulgadas sem som no sábado (22.abr.2023) pelo GSI (Gabinete de Segurança Institucional), por determinação do ministro do STF (Supremo Tribunal Federal) Alexandre de Moraes.

Assista aos vídeos registrados pelas câmeras de segurança do Palácio do Planalto em 8 de janeiro: https://www.youtube.com/playlist?list=PL1wHUIp3LRJdJy0SwC_D_HzgTxKt1KstW

Leia reportagens sobre o 8 de janeiro no Poder360:https://www.poder360.co==m.br/tag/8-de-janeiro
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/Xv2SSH7AEc4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Xv2SSH7AEc4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Xv2SSH7AEc4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Xv2SSH7AEc4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Xv2SSH7AEc4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,8,youtube#video,Xv2SSH7AEc4,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
youtube#playlistItem,vIJQVMrYlTwUJkeCSmjehaM93oY,VVVGQ2lTUmJDVndRX0JRYURRQll4Tl9BLkR2SF9zdGZValBv,2023-06-05T18:28:28Z,UCFCiSRbCVwQ_BQaDQBYxN_A,"Corredor acesso leste, 3º andar do Planalto, das 23h às 23h30min, no 8 de Janeiro","Imagens do circuito de segurança do Palácio do Planalto, registradas entre 23h e 23h30min no corredor acesso leste, 3º andar do Palácio do Planalto, no 8 de Janeiro de 2023.

As imagens foram divulgadas sem som no sábado (22.abr.2023) pelo GSI (Gabinete de Segurança Institucional), por determinação do ministro do STF (Supremo Tribunal Federal) Alexandre de Moraes.

Assista aos vídeos registrados pelas câmeras de segurança do Palácio do Planalto em 8 de janeiro: https://www.youtube.com/playlist?list=PL1wHUIp3LRJdJy0SwC_D_HzgTxKt1KstW

Leia reportagens sobre o 8 de janeiro no Poder360:https://www.poder360.co==m.br/tag/8-de-janeiro/
_______________________________________________
Inscreva-se no canal do Poder360 e fique por dentro de assuntos sobre política e poder.

Acesse o jornal digital: https://www.poder360.com.br

Assine nossa newsletter: https://www.poder360.com.br/newsletters

Inscreva-se no canal do Poder360 no Telegram: https://t.me/Poder360

Curta o Poder360 no Facebook: https://www.facebook.com/poder360

Siga o Poder360 no Twitter: https://twitter.com/Poder360

Siga o Poder360 no Instagram: https://www.instagram.com/poder360

Siga o Poder360 no TikTok: https://www.tiktok.com/@poder360","{'url': 'https://i.ytimg.com/vi/DvH_stfUjPo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/DvH_stfUjPo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/DvH_stfUjPo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/DvH_stfUjPo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/DvH_stfUjPo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Poder360,UUFCiSRbCVwQ_BQaDQBYxN_A,9,youtube#video,DvH_stfUjPo,Poder360,UCFCiSRbCVwQ_BQaDQBYxN_A,EAAaBlBUOkNESQ,2023-06-05 21:46:56.343503
