kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,3bSOUcHV9992TeGrjknwpcHcMNg,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLnhnWDRaczZPWk1F,2023-06-05T20:45:11Z,UCELku_rf-FHbWhLIwsKLGGA,BOLSONARO E NOVAS JOIAS ROUBADAS: MÍDIA ABAFARÁ? FRAUDE DE DELIS REVELADA! QUE FEIO! 10 ANOS HOJE!,"05/06/23 Muitas novidades e revelações hoje!
Sigamos.

#bolsonaro #lula #dilma 

10 ANOS
https://www.youtube.com/watch?v=_bKvf789J1c

DILMA
https://www.youtube.com/watch?v=ahEY59WxWRE

https://www.youtube.com/watch?v=hqmyTKrqoZk

LIVRO
https://m.media-amazon.com/images/I/51A1YxFYFoL.jpg

https://economia.uol.com.br/noticias/redacao/2020/11/05/fux-adia-julgamento-de-divisao-dos-royalties-do-petroleo.htm

https://economia.uol.com.br/noticias/redacao/2020/12/01/royalties-petroleo-saude-educacao-constitucionais-pgr.htm

https://cnf.org.br/diretoria-atual/

A FRAUDE DE DELIS
https://oglobo.globo.com/blogs/lauro-jardim/post/2023/06/gsi-identifica-que-seguranca-apontado-como-agressor-de-delis-ortiz-e-do-exercito.ghtml
https://g1.globo.com/politica/blog/andreia-sadi/post/2023/05/31/jornalista-delis-ortiz-fala-sobre-agressao-no-itamaraty-assustador.ghtml","{'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/xgX4Zs6OZME/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,0,youtube#video,xgX4Zs6OZME,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,1OWTGFmK8cxByxzc83K7VFCr4zs,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLlUyLVBoSmttWFVZ,2023-06-05T15:23:09Z,UCELku_rf-FHbWhLIwsKLGGA,FLAGRA PESADO! BOLSONARO: NOVAS JOIAS ROUBADAS APARECEM! TONY GARCIA? LULA ENQUADRA LIRA? DALLAGNOL?,"05/06/23 - NOVAS JOIAS ROUBADAS APARECEM! NEM ORAÇÕES SALVARÃO BOLSONARO DA CADEIA!
SIGAMOS!
#bolsonaro #lula #michelle 

LADRÃO OU ESQUECIDÃO?
https://oglobo.globo.com/politica/noticia/2023/06/relogio-esculturas-de-diamantes-e-ouro-alem-das-joias-acervo-de-bolsonaro-tem-cinco-itens-na-mira-na-pf-veja-imagens.ghtml

https://noticias.uol.com.br/politica/ultimas-noticias/2023/06/05/alem-de-joias-bolsonaro-recebeu-relogio-e-escultura-com-diamantes.htm

https://congressoemfoco.uol.com.br/projeto-bula/reportagem/em-quatro-anos-bolsonaro-e-equipe-fizeram-150-viagens-a-arabia-saudita/

DALLAGNOL NO LIXÃO?
https://www.youtube.com/watch?v=PLqo7XbHFlc

TONY GARCIA: BOMBA NO AR!
https://www.youtube.com/watch?v=imxeLv_9blg","{'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/U2-PhJkmXUY/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,1,youtube#video,U2-PhJkmXUY,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,lz1YAvrqeLFaI19-jpg5f3k-xa0,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLjQydUZaQzZ2cTZR,2023-06-04T20:48:10Z,UCELku_rf-FHbWhLIwsKLGGA,DESTINO CRUEL? BOLSONARO SABE QUE SERÁ APANHADO! FUZILAMENTO? LULA: FOLHA INICIA CAMPANHA CONTRA!,"04/06/23 - BOLSONARO E SEUS SEGUIDORES ANDAM SEM SABER PARA ONDE. ACABOU O PRAZO DE VALIDADE. 
No vácuo o que resta a essa gente senão prestar contas com a justiça?
BOLSONARO virou um espantalho bem remunerado. Mas seu fôlego parece ser curto. Veremos em 2024.
A China provoca muito medo no bolsonarismo. Explicarei a razão.
Enquanto isso, Deus parece estar castigando os vigaristas da fé. Dessa vez é mais um picareta que está sendo cobrado pela justiça.
Sigamos.
#lula #bolsonaro #economia 

medo de fuzilamento
https://oglobo.globo.com/mundo/china-condena-ex-chefe-financeiro-morte-por-corrupcao-24824182

https://noticias.uol.com.br/cotidiano/ultimas-noticias/2023/06/03/igreja-leilao-justica-imoveis.htm","{'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/42uFZC6vq6Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,2,youtube#video,42uFZC6vq6Q,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,ZBa8fWnQZEV0zzB0euQwkwwLPV4,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLnpxcUo4X2wxRWFV,2023-06-04T15:30:07Z,UCELku_rf-FHbWhLIwsKLGGA,"""BOLSONARO É UM PORCO"" ! FRASE DE SALLES REVELA CRISE PESADA! ANTES DA CADEIA ""MITO"" TENTA SOBREVIDA","04/06/23 - QUE FRASE! Para começar o domingo, nada como vermos o chiqueirinho em plena chafurdância!
Sigamos.
#bolsonaro #lula #direita 

https://www.em.com.br/app/noticia/politica/2023/06/03/interna_politica,1502769/ricardo-salles-quem-com-os-porcos-anda-farelo-come.shtml

https://www.youtube.com/watch?v=4_kNLk1saW4","{'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zqqJ8_l1EaU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,3,youtube#video,zqqJ8_l1EaU,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,CG9-2KgRcVfUTifH6h_zNjyjRjI,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLmNlWUVqOVdyUlJz,2023-06-03T20:46:09Z,UCELku_rf-FHbWhLIwsKLGGA,ROUBAR FICOU COMPLICADO! BOLSONARO CERCADO E LIRA NA MIRA! LULA E DINO PODEM DAR PANCADA DO SÉCULO!,"03/06/23 - ROUBAR DINHEIRO PÚBLICO JÁ FOI MAIS FÁCIL. O DILEMA HOJE para políticos desonestos é como conseguirão roubar sem serem presos descobertos e presos no final.
A fila está se movimentando
Sigamos.
#lula #bolsonaro #lira 

INACREDITÁVEL?
""Quero o meu dinheiro""
http://media.folha.uol.com.br/brasil/2008/02/23/deputados.mp3

LIRA É FODA MESMO?
https://www.youtube.com/watch?v=6iwceqT4x5o

OLHA O GG
https://www.youtube.com/watch?v=MFPgPQLpvK4

https://www.facebook.com/photo/?fbid=1432503126861160&set=arthur-lira-e-gilberto-gon%C3%A7alves

https://www.metropoles.com/brasil/pf-identifica-funcionario-do-mec-em-esquema-na-compra-de-kit-robotica

https://amazonasatual.com.br/fnde-reservou-r-146-milhoes-para-kit-robotica-em-alagoas-e-pernambuco/

https://www.metropoles.com/brasil/cgu-apura-compra-de-carros-de-luxo-e-outras-3-irregularidades-no-fnde

https://www.youtube.com/watch?v=tyV1w79wt40

https://educacao.uol.com.br/noticias/2022/04/07/fnde-indicados-do-centrao-compraram-carros-de-luxo-apos-pregao-diz-jornal.htm","{'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ceYEj9WrRRs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,4,youtube#video,ceYEj9WrRRs,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,cwnuTV5qgTVWehJJAcEP8R_fGl4,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLjZZTlFxODc2TjI0,2023-06-03T14:15:09Z,UCELku_rf-FHbWhLIwsKLGGA,"DOR NO BOLSO! BOLSONARO: NOVOS PREJUÍZOS! ""VAI FICAR NA MISÉRIA""! ZANIN NO STF: BOMBARDEIO INTENSO.","03/06/23 - TIVEMOS UM PROBLEMINHA. VÍDEO SAIU DO AR E ESTAMOS VOLTANDO.
#lula #bolsonaro #zanin","{'url': 'https://i.ytimg.com/vi/6YNQq876N24/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6YNQq876N24/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6YNQq876N24/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6YNQq876N24/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6YNQq876N24/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,5,youtube#video,6YNQq876N24,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,oAhsclmMkCK9e3u2xShHZRbZpCs,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLlE4Vk5tOERrWW9V,2023-06-02T20:45:11Z,UCELku_rf-FHbWhLIwsKLGGA,"BILHÕES! BOLSONARO: CRIMES DE NOVO? ""ACHO QUE IREI ME FERRAR""! ZANIN VAI PASSAR! STF: SERÁ MINISTRO!","02/06/23 - TÁ FEIA A COISA PARA O MITO. Tem criminoso que após tantos crimes, já não teme mais nada. Eles apenas esperam a hora do juízo final. 
Este momento está mais próximo do que nunca.
Sigamos
#lula #bolsonaro #lira 

NOVOS CRIMES
https://g1.globo.com/politica/noticia/2023/06/02/cgu-ve-pagamento-indevido-de-quase-r-2-bilhoes-em-auxilios-do-governo-bolsonaro-a-caminhoneiros-e-taxistas-em-2022.ghtml

https://www.em.com.br/app/noticia/politica/2023/06/02/interna_politica,1502277/bolsonaro-apos-lula-escolher-zanin-para-stf-competencia-do-presidente.shtml","{'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Q8VNm8DkYoU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,6,youtube#video,Q8VNm8DkYoU,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,iy-O5cb782eLf_n8Yuho0zu6VWg,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLjloRV9aRVI0eVlF,2023-06-02T15:00:09Z,UCELku_rf-FHbWhLIwsKLGGA,BOLSONARO: JULGAMENTO SE APROXIMA! REVELAÇÕES: LULA E ZANIN. CID ENTREGOU! ECONOMIA CRESCEU MESMO?,"02/06/23 - NOVIDADES DA SEXTA FEIRA. TEMAS NOVOS SE CONTRASTAM COM O QUE VIVÍAMOS ANTES. 
ECONOMIA CRESCEU? PRA QUEM? PORQUE MÍDIA EXATA OS NÚMEROS?
CIC REVELA MAIS COISAS.
BOLSONARO NA MIRA. A FILA ANDARÁ.
SIGAMOS
#bolsonaro #lula #michelle","{'url': 'https://i.ytimg.com/vi/9hE_ZER4yYE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/9hE_ZER4yYE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/9hE_ZER4yYE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/9hE_ZER4yYE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/9hE_ZER4yYE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,7,youtube#video,9hE_ZER4yYE,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,wPP4NNPtHPP_bjFSIyvDnGxBTHQ,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLnFDVnp4RjQtV1NN,2023-06-01T20:40:09Z,UCELku_rf-FHbWhLIwsKLGGA,"PF: LIRA NA MIRA! CRIME: ÁUDIO REVELA PARCEIRO BOLSONARISTA! ""SIGAM O DINHEIRO""! PIB SUBIU! CUIDADO!","01/06/23 - A FILA PARECE QUE VAI COMEÇAR A ANDAR PARA LIRA. O ""IMPERADOR"" ESTÁ COM ESSA MORAL TODA PARA FAZER ULTIMATOS E DITAR REGRAS AO GOVERNO FEDERAL?
QUAIS SÃO OS SEUS MÉTODOS! 
OUÇAM HOJE.
SIGAMOS.
#bolsonaro #lula #lira 

O DESAPARECIMENTO DO HOSPITAL - INCRÍVEL
https://www.youtube.com/watch?v=9PdYD2V0ETQ

GRAVAÇÃO DA PF. AMIGO DE LIRA PEDE GRANA ROUBADA!
http://media.folha.uol.com.br/brasil/2008/02/23/deputados.mp3

LIRA- CORRUPÇÃO DE 1 BILHÃO - 
https://g1.globo.com/Noticias/Politica/0,,MUL354242-5601,00-DESEMBARGADOR+AFASTA+DEPUTADOS+DA+ASSEMBLEIA+DE+ALAGOAS.html

https://www.youtube.com/watch?v=W9Juj23JgeU

https://www.poder360.com.br/congresso/nao-me-sinto-atingido-pela-operacao-da-pf-diz-lira/

https://oglobo.globo.com/politica/noticia/2023/06/pf-encontra-cofre-lotado-de-dinheiro-vivo-em-operacao-que-mira-reduto-de-lira.ghtml

https://g1.globo.com/al/alagoas/noticia/2022/08/22/saiba-quem-e-gilberto-goncalves-prefeito-de-rio-largo-al-preso-na-manha-desta-segunda-pela-pf.ghtml

https://noticias.uol.com.br/politica/ultimas-noticias/2022/05/10/arthur-lira-indicou-mais-de-r-300-milhoes-do-orcamento-secreto-em-emendas.htm","{'url': 'https://i.ytimg.com/vi/qCVzxF4-WSM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/qCVzxF4-WSM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/qCVzxF4-WSM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/qCVzxF4-WSM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/qCVzxF4-WSM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,8,youtube#video,qCVzxF4-WSM,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
youtube#playlistItem,NMx60ZAaXNmjRB45Hf-7KgVMitw,VVVFTGt1X3JmLUZIYldoTEl3c0tMR0dBLnVkQkZIc2dNWThR,2023-06-01T15:30:09Z,UCELku_rf-FHbWhLIwsKLGGA,SABOTAGEM NO AR! LIRA CERCOU LULA? BANANA QUER GOLPE! ZAMBELLI PERDE 20 MIL! JESSÉ DIZ QUEM MANDA!,"01/06/23 - TEMOS O JOGO DO PODER FICANDO MAIS CLARO.
Isso tem aspectos positivos. Quais?
Porque Lula tem problemas com Lira e Bolsonaro não teve?
Lindora não será esquecida!
Zambelli perdeu mais 20 mil!
Sigamos.
#lula #bolsonaro #lira 

JESSE EXPLICA QUEM MANDA
https://www.youtube.com/watch?v=sk0cZwMU2IU&t=1s","{'url': 'https://i.ytimg.com/vi/udBFHsgMY8Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/udBFHsgMY8Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/udBFHsgMY8Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/udBFHsgMY8Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/udBFHsgMY8Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",Portal do José,UUELku_rf-FHbWhLIwsKLGGA,9,youtube#video,udBFHsgMY8Q,Portal do José,UCELku_rf-FHbWhLIwsKLGGA,EAAaBlBUOkNESQ,2023-06-05 19:59:09.852873
