kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,qHS4R1sQM6n_uSbbwp9h9Od_O5I,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLmp1YjBQbzk2aG9F,2023-06-05T23:26:03Z,UCBQAI1ZhurW3nbtJR-gBBZg,"Marcos Pontes: 'Estude, trabalhe, persista e sempre faça mais do que esperam de você' | #oc","Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/watch?v=Tfr3qONNSkI","{'url': 'https://i.ytimg.com/vi/jub0Po96hoE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/jub0Po96hoE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/jub0Po96hoE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/jub0Po96hoE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/jub0Po96hoE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,0,youtube#video,jub0Po96hoE,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,x5hfC2JoHXEAycr3_J_U09FnPks,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLlVHWXZiYXRmbURz,2023-06-05T22:48:37Z,UCBQAI1ZhurW3nbtJR-gBBZg,OESTE SEM FILTRO - 06/06/2023,"Augusto Nunes, Ana Paula Henkel, Guilherme Fiuza e Silvio Navarro estão reunidos em Oeste Sem Filtro, apresentado por Paula Leal. O programa vai ao ar de segunda a sexta-feira, das 17h45 às 19h30.

Assine a Revista Oeste:
https://revistaoeste.com/assine/

Acesse a Revista Oeste:
https://revistaoeste.com/","{'url': 'https://i.ytimg.com/vi/UGYvbatfmDs/default_live.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/UGYvbatfmDs/mqdefault_live.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/UGYvbatfmDs/hqdefault_live.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/UGYvbatfmDs/sddefault_live.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/UGYvbatfmDs/maxresdefault_live.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,1,youtube#video,UGYvbatfmDs,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,ZNNOw9O654r1W91X8NQqPpRI7J8,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLjZUQlQ0R0owMHJv,2023-06-05T22:45:08Z,UCBQAI1ZhurW3nbtJR-gBBZg,OESTE SEM FILTRO - 05/06/2023,"Augusto Nunes, Ana Paula Henkel, Guilherme Fiuza e Silvio Navarro estão reunidos em Oeste Sem Filtro, apresentado por Paula Leal. O programa vai ao ar de segunda a sexta-feira, das 17h45 às 19h30.

Assine a Revista Oeste:
https://revistaoeste.com/assine/

Acesse a Revista Oeste:
https://revistaoeste.com/","{'url': 'https://i.ytimg.com/vi/6TBT4GJ00ro/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6TBT4GJ00ro/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6TBT4GJ00ro/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6TBT4GJ00ro/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/6TBT4GJ00ro/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,2,youtube#video,6TBT4GJ00ro,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,E8cgbcKxX09Gi70sicfFaGVvxtk,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLkFmUlZRWlM5TnZR,2023-06-05T19:20:01Z,UCBQAI1ZhurW3nbtJR-gBBZg,Plano do PT para incentivar compra de carros vai custar R$ 500 milhões | #osf,"Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/live/FDY5GwDzNJg","{'url': 'https://i.ytimg.com/vi/AfRVQZS9NvQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/AfRVQZS9NvQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/AfRVQZS9NvQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/AfRVQZS9NvQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/AfRVQZS9NvQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,3,youtube#video,AfRVQZS9NvQ,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,mbgJKWbpLLiDbyRuPVpkdy9RmyI,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLnNxcFlTcm9sb1kw,2023-06-05T19:00:21Z,UCBQAI1ZhurW3nbtJR-gBBZg,Rogério Marinho rebate decisão de cassação e promete: 'Vou continuar senador' | #osf,"Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/live/FDY5GwDzNJg","{'url': 'https://i.ytimg.com/vi/sqpYSroloY0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/sqpYSroloY0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/sqpYSroloY0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/sqpYSroloY0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/sqpYSroloY0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,4,youtube#video,sqpYSroloY0,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,i6GDh11uJlhaY6iZWbvcetXCdNI,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLlVfNTJvaktTUkE4,2023-06-05T18:30:29Z,UCBQAI1ZhurW3nbtJR-gBBZg,Medidas provisórias de Haddad caducam na Câmara | #osf,"Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/live/FDY5GwDzNJg","{'url': 'https://i.ytimg.com/vi/U_52ojKSRA8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/U_52ojKSRA8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/U_52ojKSRA8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/U_52ojKSRA8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/U_52ojKSRA8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,5,youtube#video,U_52ojKSRA8,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,m8a28I-eenxDdlYzqZz-G362mrI,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLjdJWXdKZEx0MjBv,2023-06-05T18:00:06Z,UCBQAI1ZhurW3nbtJR-gBBZg,Os problemas na Constituição de 1988: estatizante ou defensora do livre mercado? | #al,"Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtu.be/8PlZsS96_OI","{'url': 'https://i.ytimg.com/vi/7IYwJdLt20o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/7IYwJdLt20o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/7IYwJdLt20o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/7IYwJdLt20o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/7IYwJdLt20o/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,6,youtube#video,7IYwJdLt20o,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,TeI0_rD99YtDPWh43eyXYOXmrHY,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLlMwdWN2NlQxNmt3,2023-06-05T17:30:06Z,UCBQAI1ZhurW3nbtJR-gBBZg,"Indicado ao STF por Lula, Zanin já recebeu R$ 3 mi do PT | #osf","Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/live/FDY5GwDzNJg","{'url': 'https://i.ytimg.com/vi/S0ucv6T16kw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/S0ucv6T16kw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/S0ucv6T16kw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/S0ucv6T16kw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/S0ucv6T16kw/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,7,youtube#video,S0ucv6T16kw,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,K1v-lc_OdrjVC6-W1C79ndu2gPE,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLmtJTmxkTTY2UjhR,2023-06-05T17:00:34Z,UCBQAI1ZhurW3nbtJR-gBBZg,Ives Gandra se manifesta sobre indicação de Zanin ao STF | #osf,"Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/live/FDY5GwDzNJg","{'url': 'https://i.ytimg.com/vi/kINldM66R8Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/kINldM66R8Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/kINldM66R8Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/kINldM66R8Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/kINldM66R8Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,8,youtube#video,kINldM66R8Q,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
youtube#playlistItem,FGAo_hzaSHOB2yC307Yipm5IeD8,VVVCUUFJMVpodXJXM25idEpSLWdCQlpnLkkwSFNOckNOdjJr,2023-06-05T16:00:09Z,UCBQAI1ZhurW3nbtJR-gBBZg,Deputados vão à Justiça para tentar barrar Zanin no STF | #osf,"Assine a Revista Oeste: 
https://revistaoeste.com/assine/

Acesse a Revista Oeste: 
https://revistaoeste.com/

Entrevista na íntegra:
https://youtube.com/live/FDY5GwDzNJg","{'url': 'https://i.ytimg.com/vi/I0HSNrCNv2k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/I0HSNrCNv2k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/I0HSNrCNv2k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/I0HSNrCNv2k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/I0HSNrCNv2k/maxresdefault.jpg', 'width': 1280, 'height': 720}",Revista Oeste,UUBQAI1ZhurW3nbtJR-gBBZg,9,youtube#video,I0HSNrCNv2k,Revista Oeste,UCBQAI1ZhurW3nbtJR-gBBZg,EAAaBlBUOkNESQ,2023-06-06 00:48:19.609706
