kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,snippet.thumbnails.maxres,nextPageToken,extraction_date
youtube#playlistItem,hRT8qHp1KM1mqbg1frO97RCNEbI,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjFoS240WmsweHpr,2023-06-04T00:57:08Z,UClcnA1vAsnWmmkX-4Le_mrQ,GENTE EU NÃO FIZ AS UNHAS KKK MULHER CALÇA BOTINHA EM MICHELLE AO VIVO,Michelle ganha botinha e calça ao vivo.,"{'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1hKn4Zk0xzk/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,0,youtube#video,1hKn4Zk0xzk,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,AoHIdMm0l-32oHv8nEaOFMX4ZZ4,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjctWTZxN0FBQ09B,2023-06-03T16:27:07Z,UClcnA1vAsnWmmkX-4Le_mrQ,O CARA É DOIDÃO MESMO SÓ ELE CONSEGUE! OLHA NO QUE DEU!,De moto nas ruas Bolsonaro faz passeio e têm o apoio da população.,"{'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/7-Y6q7AACOA/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,1,youtube#video,7-Y6q7AACOA,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,XbGebhZ3P5mutDvmBU0vgRRa6Zc,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLndVZUYtT21IQ2pJ,2023-06-03T14:47:57Z,UClcnA1vAsnWmmkX-4Le_mrQ,Mirian leitão ataca Lula e pula fora do Barco!,Todos estão começando a criticar o governo lula e a globo e seus apresentadores surpreendentemente começam atacar este governo.,"{'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/wUeF-OmHCjI/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,2,youtube#video,wUeF-OmHCjI,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,6fiPVbJBf2w779MHPuLVEiLxbG8,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnliUEx4bGRlM3Fr,2023-06-03T12:56:54Z,UClcnA1vAsnWmmkX-4Le_mrQ,Primeira Dama Michelle exalta o AGRO,"Michelle Bolsonaro manda recado ao AGRO
#agro
#agronegocio #michelle","{'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,3,youtube#video,ybPLxlde3qk,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,"{'url': 'https://i.ytimg.com/vi/ybPLxlde3qk/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,korLo1mpwZ7nSvfJkp-0vlokF8g,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLmZ0cUl2QTRXbktB,2023-06-02T23:37:10Z,UClcnA1vAsnWmmkX-4Le_mrQ,"MICHELLE, 🇧🇷 BOLSONARO 🇧🇷 E TARCÍSIO 🇧🇷 SÓ PODIA DÁ NISSO! OLHA O QUE ACONTECEU!","Em São Paulo Tarcísio e Jair Bolsonaro arrastaram multidão e participaram de uma cerimônia militar, No outro lado Michelle juntamente com o PL mulher foi ovacionada no Mato Grosso.


É incrível a popularidade destes três.


#michellebolsonaro #bolsonaro #tarcisiodefreitas","{'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ftqIvA4WnKA/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,4,youtube#video,ftqIvA4WnKA,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,dl44DAOP1DA9ORf46_3tst_EJV8,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjFqOU5CS1lNTl8w,2023-06-02T01:37:11Z,UClcnA1vAsnWmmkX-4Le_mrQ,BOLSONARO E TARCÍSIO FAZEM ALEGRIA DA TORCIDA NO ESTÁDIO,"Bolsonaro e Tarcísio no Morumbi juntos fazem a festa do povo.

#tarcisiodefreitas #morumbi #bolsonaro","{'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1j9NBKYMN_0/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,5,youtube#video,1j9NBKYMN_0,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,yXq4Hh_VcEMzCa8LZcYquu2Kpb0,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjEtSWRLdnNERmdj,2023-06-01T16:07:10Z,UClcnA1vAsnWmmkX-4Le_mrQ,Jornalista MULHER APANH@ que sirva de lição! Venezuela é NORMAL,"Acontecimento ocorreu em Brasília na semana da visita dos presidentes dos países sul-americanos.

#Globo #jornalista #nicolásmaduro","{'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/1-IdKvsDFgc/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,6,youtube#video,1-IdKvsDFgc,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,yTtLbfeymoXdpv1gulg8XPCUxFQ,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLmZ6X0JMelNkUW1B,2023-05-31T13:02:07Z,UClcnA1vAsnWmmkX-4Le_mrQ,Jornalista da GLOBO APANHA de capanga de MADURO amigo de Lula!,"Vários sites noticiaram e Globo repudiou agressão.

https://www.google.com/amp/s/g1.globo.com/google/amp/politica/noticia/2023/05/30/jornalistas-sao-agredidos-por-segurancas-de-maduro-e-do-gsi-itamaraty-lamenta.ghtml

https://www.google.com/search?client=ms-android-xiaomi-terr1-rso2&hl=pt-BR&sxsrf=APwXEdeDSHVNdBXvwLC0hdhoA2ka2vkDKQ:1685500297456&q=delis+ortiz&tbm=isch&sa=X&ved=2ahUKEwjApP7zwZ7_AhX3sJUCHX3iA6IQ0pQJegQICBAB&biw=393&bih=736&dpr=2.75#imgrc=7EpzUCdUlU4sAM&imgdii=nK1vhpkt8uqZ7M

#maduro #Delisortis #jornalista","{'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/fz_BLzSdQmA/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,7,youtube#video,fz_BLzSdQmA,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,ZWVvPwE_VbA1ocmAdxXtBZ43uCY,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLlhnLTBodTNmQ2c0,2023-05-31T01:36:08Z,UClcnA1vAsnWmmkX-4Le_mrQ,Jornalista da Globo Apanha de segurança de MADURO,#globo #jornalista #maduro,"{'url': 'https://i.ytimg.com/vi/Xg-0hu3fCg4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Xg-0hu3fCg4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Xg-0hu3fCg4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Xg-0hu3fCg4/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,8,youtube#video,Xg-0hu3fCg4,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,RExQ_DHzrwulatpRpJdYRKb6N4g,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLkctVG5ZU1pJRlpV,2023-05-30T22:10:40Z,UClcnA1vAsnWmmkX-4Le_mrQ,PRESIDENTE DO CHILE CONDENA LULA AO VIVO E CRITICA VENEZUELA,"PRESIDENTE DO CHILE CRÍTICA BARBA JANJO POR DEFENDER NICOLÁS MADURO 
#gabrielboric #nicolásmaduro #lula","{'url': 'https://i.ytimg.com/vi/G-TnYSZIFZU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/G-TnYSZIFZU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/G-TnYSZIFZU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/G-TnYSZIFZU/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,9,youtube#video,G-TnYSZIFZU,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,"{'url': 'https://i.ytimg.com/vi/G-TnYSZIFZU/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,IAsVLu8wfktcaubETAXdET7m3IU,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLkdUanFQSUVSdGJR,2023-05-29T23:17:02Z,UClcnA1vAsnWmmkX-4Le_mrQ,Lula nunca conseguiu isso!  EP-02,"Maratonando as mais belas recepções ao no amado e capitão Bolsonaro.
seja bem vindo, curta e compartilhe. Episódio 02","{'url': 'https://i.ytimg.com/vi/GTjqPIERtbQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GTjqPIERtbQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GTjqPIERtbQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GTjqPIERtbQ/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,10,youtube#video,GTjqPIERtbQ,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,Q_VAwn3MAkEUWHd3oeyB4a0tz6M,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLms2V3dZYWZDNzdZ,2023-05-29T17:35:25Z,UClcnA1vAsnWmmkX-4Le_mrQ,Zé trovão vai pra cima de Lula e Nicolás Maduro - DENUNCIOU A EMBAIXADA AMERICANA,"Zé trovão envia comunicado a embaixada americana sobre a presença de Nicolas maduro no Brasil.

EUA têm uma recompensa de $15 milhões de dólares para quem.entregar Nicolas maduro.","{'url': 'https://i.ytimg.com/vi/k6WwYafC77Y/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/k6WwYafC77Y/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/k6WwYafC77Y/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/k6WwYafC77Y/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,11,youtube#video,k6WwYafC77Y,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,Pf0eguFtsMOxoU8kgpRl1M2zNGg,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnVBaWpSZF90ODJN,2023-05-29T15:00:10Z,UClcnA1vAsnWmmkX-4Le_mrQ,LULA RECEBE NICOLÁS MADURO ACUSADO DE NARCOTRÁFICO,"Nicolas maduro está no Brasil para visita ao Presidente Luiz Inácio Lula da Silva.

#nicolásmaduro #lula #estadosunidos","{'url': 'https://i.ytimg.com/vi/uAijRd_t82M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/uAijRd_t82M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/uAijRd_t82M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/uAijRd_t82M/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,12,youtube#video,uAijRd_t82M,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,mZ7zJ4e6A-S2HrOAlgtHPiLn4_o,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnNTeVlhYnFkbVdv,2023-05-28T23:01:37Z,UClcnA1vAsnWmmkX-4Le_mrQ,LULU SURTOU COM DOMINGÃO ! OLHA O QUE JÁ ACONTECEU! EP-01,"As ruas repletas para receber o Capitão Bolsonaro.
isso aconteceu em outubro de 2022 mas a chama arde até hoje nos corações de todos os brasileiros.

#brasil #bolsonaro #patriotas","{'url': 'https://i.ytimg.com/vi/sSyYabqdmWo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/sSyYabqdmWo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/sSyYabqdmWo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/sSyYabqdmWo/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,13,youtube#video,sSyYabqdmWo,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,x_ted1TturKTJOWzL72RewCRh5g,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnljYVFNZU9wZktN,2023-05-28T13:56:13Z,UClcnA1vAsnWmmkX-4Le_mrQ,ÍNDIOS VÃO AO CONGRESSO PEDIR LIBERDADE AO CACIQUE TERERÊ,"ÍNDIOS VÃO AO CONGRESSO PEDIR LIBERDADE AO CACIQUE TERERÊ 

#tserere #indios","{'url': 'https://i.ytimg.com/vi/ycaQMeOpfKM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ycaQMeOpfKM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ycaQMeOpfKM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ycaQMeOpfKM/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,14,youtube#video,ycaQMeOpfKM,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,sgo7NOikH1j6Fn5iWxG5zIuk4Ek,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLnVzTmt1OFhXbDM4,2023-05-27T22:12:53Z,UClcnA1vAsnWmmkX-4Le_mrQ,CLIMA ESQUENTOU! DEPUTADA QUIS TUMULTUAR E GANHOU ISSO!,Deputada Taliria Petrone pediu 1 minuto de silêncio e ganhou 10 de muitas confidências em seu rumo.,"{'url': 'https://i.ytimg.com/vi/usNku8XWl38/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/usNku8XWl38/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/usNku8XWl38/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/usNku8XWl38/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,15,youtube#video,usNku8XWl38,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,fF2_s3BtDGZCzCR8RD9MuY5NDjw,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLjNVX0IwbkR5Nmkw,2023-05-27T20:16:46Z,UClcnA1vAsnWmmkX-4Le_mrQ,O PIOR É QUE O BRASILEIRO AINDA ACREDITA NESSA GENTE !.,Eles se amam e se odeiam.,"{'url': 'https://i.ytimg.com/vi/3U_B0nDy6i0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/3U_B0nDy6i0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/3U_B0nDy6i0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/3U_B0nDy6i0/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,16,youtube#video,3U_B0nDy6i0,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
youtube#playlistItem,8iTr72BhMr2fMdl00V8djd3sv-g,VVVsY25BMXZBc25XbW1rWC00TGVfbXJRLlpCT1BqdTdwM1dZ,2023-05-25T23:36:19Z,UClcnA1vAsnWmmkX-4Le_mrQ,BOLSONARO PEDE PARA NÃO IR PRA RUA! A CPMI É MAIS IMPORTANTE NO MOMENTO!,CPMI É IMPORTANTE PRA NÓS MAIS DO QUE QUEREM FAZER POR AÍ,"{'url': 'https://i.ytimg.com/vi/ZBOPju7p3WY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ZBOPju7p3WY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ZBOPju7p3WY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ZBOPju7p3WY/sddefault.jpg', 'width': 640, 'height': 480}",Rodolfo Delmond,UUlcnA1vAsnWmmkX-4Le_mrQ,17,youtube#video,ZBOPju7p3WY,Rodolfo Delmond,UClcnA1vAsnWmmkX-4Le_mrQ,,EAAaBlBUOkNESQ,2023-06-06 00:29:39.037972
