kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,66lvNjio9k68ugipQRZ8l11f5zI,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LmwxNnRnandrYlNF,2023-06-06T03:25:44Z,UCPOWKaFkxvzDXawohhejNiw,Arthur Lira e Lula brigam e impeachment está próximo + Tarcísio salva o PIB do Brasil,"Arthur Lira e Lula brigam e impeachment está próximo + Tarcísio salva o PIB do Brasil
----------------------------------------------------------------------------
Pessoal, para mais conteúdos expondo a hipocrisia da esquerda é só me seguir no Instagram 👇
➡️➡️ https://instagram.com/rubinhonunes.sp

Fale comigo e fique por dentro de todas as atualizações do meu mandato:
➡️➡️ https://linktr.ee/rubinhonunes

Faça parte do meu grupo no Telegram e acompanhe de perto o meu trabalho:
➡️➡️ Telegram: https://t.me/rubinhonunes","{'url': 'https://i.ytimg.com/vi/l16tgjwkbSE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/l16tgjwkbSE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/l16tgjwkbSE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/l16tgjwkbSE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/l16tgjwkbSE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,0,youtube#video,l16tgjwkbSE,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,WXXjHPvRG-n6844MfOM6o1C-LJY,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LllyTEV5YW9ESFJr,2023-06-05T21:32:26Z,UCPOWKaFkxvzDXawohhejNiw,Vereadora do PSOL me manda sair de São Paulo por não aceitar que a cidade vire uma Dubai #shorts,,"{'url': 'https://i.ytimg.com/vi/YrLEyaoDHRk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YrLEyaoDHRk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YrLEyaoDHRk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YrLEyaoDHRk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YrLEyaoDHRk/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,1,youtube#video,YrLEyaoDHRk,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,wyS0WVogPXnKzQcpXZ-utM8liOQ,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LnlDdzdJMzQ1OS13,2023-06-05T17:36:27Z,UCPOWKaFkxvzDXawohhejNiw,Judiciário brasileiro atrapalhando mais uma vez! #shorts #tarcisio #justiça #paulofreire #saopaulo,,"{'url': 'https://i.ytimg.com/vi/yCw7I3459-w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/yCw7I3459-w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/yCw7I3459-w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/yCw7I3459-w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/yCw7I3459-w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,2,youtube#video,yCw7I3459-w,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,uVe1i8e1e74sshVl11vghIDMGN4,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LmFYVTlPRkJwNGZN,2023-06-05T17:28:51Z,UCPOWKaFkxvzDXawohhejNiw,Todo dia aparece mais um arrependido de ter feito o L 🤣 #shorts #lula #humor #fazol #esquerda,,"{'url': 'https://i.ytimg.com/vi/aXU9OFBp4fM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/aXU9OFBp4fM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/aXU9OFBp4fM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/aXU9OFBp4fM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/aXU9OFBp4fM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,3,youtube#video,aXU9OFBp4fM,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,plX4EOsaFPYSroXBBZk3Q9LVcNk,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LllZSGRHMkh4cVhz,2023-06-05T09:00:09Z,UCPOWKaFkxvzDXawohhejNiw,Ditadura? Zanin é mais um passo para o Lula aparelhar tudo no Brasil.,"Ditadura? Zanin é mais um passo para o Lula aparelhar tudo no Brasil.
----------------------------------------------------------------------------
Pessoal, para mais conteúdos expondo a hipocrisia da esquerda é só me seguir no Instagram 👇
➡️➡️ https://instagram.com/rubinhonunes.sp

Fale comigo e fique por dentro de todas as atualizações do meu mandato:
➡️➡️ https://linktr.ee/rubinhonunes

Faça parte do meu grupo no Telegram e acompanhe de perto o meu trabalho:
➡️➡️ Telegram: https://t.me/rubinhonunes","{'url': 'https://i.ytimg.com/vi/YYHdG2HxqXs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/YYHdG2HxqXs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/YYHdG2HxqXs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/YYHdG2HxqXs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/YYHdG2HxqXs/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,4,youtube#video,YYHdG2HxqXs,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,AyVO1_YwvfgKcbYD4-Oe1KNUDgo,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LjhQSjVOU2F0RHE0,2023-06-04T17:33:09Z,UCPOWKaFkxvzDXawohhejNiw,O iFood e o Uber vão acabar no Brasil? #shorts #ifood #uber #99pop #desemprego #lula #aplicativo,,"{'url': 'https://i.ytimg.com/vi/8PJ5NSatDq4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8PJ5NSatDq4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8PJ5NSatDq4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8PJ5NSatDq4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8PJ5NSatDq4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,5,youtube#video,8PJ5NSatDq4,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,sKcmFME6-XbeDwESAe6AwzGN5GM,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3Lnp0WVpTNUxGT2E0,2023-06-03T16:17:57Z,UCPOWKaFkxvzDXawohhejNiw,"A farra petista com o dinheiro público, infelizmente, vai continuar. #shorts #lula #direita",,"{'url': 'https://i.ytimg.com/vi/ztYZS5LFOa4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ztYZS5LFOa4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ztYZS5LFOa4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ztYZS5LFOa4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ztYZS5LFOa4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,6,youtube#video,ztYZS5LFOa4,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,p95m7ja9asvf0IYB397_9sXXwgU,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3LkVkelZJclJEQ2JF,2023-06-02T18:58:33Z,UCPOWKaFkxvzDXawohhejNiw,"Com Tarcísio, o crime não tem vez. A direita novamente dando aula pra oposição #shorts #saopaulo",,"{'url': 'https://i.ytimg.com/vi/EdzVIrRDCbE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/EdzVIrRDCbE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/EdzVIrRDCbE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/EdzVIrRDCbE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/EdzVIrRDCbE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,7,youtube#video,EdzVIrRDCbE,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,uHpLG1D4VEvMRyZs8OdAVn454Lw,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3Lnp0R0lTTXVhUnow,2023-06-02T09:00:44Z,UCPOWKaFkxvzDXawohhejNiw,Advogado pessoal do Lula vira ministro do STF + Boulos copia o Tarcísio,"Advogado pessoal do Lula vira ministro do STF + Boulos copia o Tarcísio
----------------------------------------------------------------------------
Pessoal, para mais conteúdos expondo a hipocrisia da esquerda é só me seguir no Instagram 👇
➡️➡️ https://instagram.com/rubinhonunes.sp

Fale comigo e fique por dentro de todas as atualizações do meu mandato:
➡️➡️ https://linktr.ee/rubinhonunes

Faça parte do meu grupo no Telegram e acompanhe de perto o meu trabalho:
➡️➡️ Telegram: https://t.me/rubinhonunes","{'url': 'https://i.ytimg.com/vi/ztGISMuaRz0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ztGISMuaRz0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ztGISMuaRz0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ztGISMuaRz0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ztGISMuaRz0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,8,youtube#video,ztGISMuaRz0,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
youtube#playlistItem,o531EO66RW74-ojkwcwC_tc5sFA,VVVQT1dLYUZreHZ6RFhhd29oaGVqTml3Lk5LdTBaSndtRDZJ,2023-06-02T00:48:18Z,UCPOWKaFkxvzDXawohhejNiw,A treta cantou hoje na audiência pública #direita #bolsonaro #lula #shorts,,"{'url': 'https://i.ytimg.com/vi/NKu0ZJwmD6I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NKu0ZJwmD6I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NKu0ZJwmD6I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NKu0ZJwmD6I/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/NKu0ZJwmD6I/maxresdefault.jpg', 'width': 1280, 'height': 720}",Rubinho Nunes,UUPOWKaFkxvzDXawohhejNiw,9,youtube#video,NKu0ZJwmD6I,Rubinho Nunes,UCPOWKaFkxvzDXawohhejNiw,EAAaBlBUOkNESQ,2023-06-06 00:49:36.088324
