kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,snippet.thumbnails.maxres,nextPageToken,extraction_date
youtube#playlistItem,Z5Wrqm_XXUNuJ4lwZF8MrZP4lqY,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLjV0NGwyZHE1MjV3,2023-06-05T20:39:50Z,UC3gQ9lIiPQj7frT5CE5QyRA,Escândalo de Elon Musk no Brasil,"Hoje foi noticiado um escândalo do empresário Elon Musk no Brasil durante a gestão do ex-presidente Jair Bolsonaro. Dono da Tesla, SpaceX e Starlink, Elon Musk anunciou em 2022 internet para mais de 19 mil escolas públicas da região norte do país. Agora, a imprensa divulgou que apenas 3 escolas receberam os serviços. Por outro lado, a empresa anunciou promoções e vendeu mais de 50 mil produtos para brasileiros. Na Amazônia, a internet de Elon Musk é comercializada por garimpeiros ilegais para dificultar a fiscalização das autoridades.","{'url': 'https://i.ytimg.com/vi/5t4l2dq525w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5t4l2dq525w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5t4l2dq525w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5t4l2dq525w/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,0,youtube#video,5t4l2dq525w,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,,EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,gMo2VyBeguNHb9a88g4_F2EnLpQ,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLlU2OENPMGJKbG1z,2023-06-01T21:22:19Z,UC3gQ9lIiPQj7frT5CE5QyRA,SINAIS de LOUCURA contra Lula,"A Câmara dos Deputados e o Senado Federal aprovaram a MP que organiza os ministérios do governo Lula. A oposição tentou barrar os avanços do presidente Lula e sofreu mais uma derrota. Nas redes, o deputado federal Nikolas Ferreira chegou a comemorar com antecedência. A oposição deu sinais de loucura especialmente por meio das novas publicações do senador Marcos do Val, que chegou a comparar partes íntimas do ministro da Justiça, Flávio Dino. Lula respondeu os parlamentares da oposição também na área econômica, com o resultado do Produto Interno Bruto (PIB) do Brasil no primeiro trimestre ocupando a 4ª posição do ranking global.","{'url': 'https://i.ytimg.com/vi/U68CO0bJlms/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/U68CO0bJlms/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/U68CO0bJlms/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/U68CO0bJlms/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,1,youtube#video,U68CO0bJlms,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/U68CO0bJlms/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,VWwHlMpMYs96Vma6vEMGeAy5588,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLmNwSDd6OHFwNFpR,2023-05-30T21:48:47Z,UC3gQ9lIiPQj7frT5CE5QyRA,"ABATIDA, Carla Zambelli CONFESSA em VÍDEO","A deputada federal Carla Zambelli gravou um vídeo e disse que vai ser cassada pelo Tribunal Superior Eleitoral (TSE). A campanha de Zambelli entregou a prestação de compras com documentos fraudados e assinatura falsificada à Justiça Eleitoral, de acordo com investigação publicada no UOL. A deputada também falou sobre o ex-presidente Jair Bolsonaro, que desautorizou o apoio público dela aos atos contra a cassação do ex-deputado federal Deltan Dallagnol. Outros deputados bolsonaristas, Nikolas Ferreira e Eduardo Bolsonaro, são alvo de processos disciplinares da Câmara.","{'url': 'https://i.ytimg.com/vi/cpH7z8qp4ZQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cpH7z8qp4ZQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cpH7z8qp4ZQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cpH7z8qp4ZQ/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,2,youtube#video,cpH7z8qp4ZQ,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/cpH7z8qp4ZQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,xapE6dgOVnW6r6yKUGafHPGVV_0,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLnRxM0hMbm1iU193,2023-05-30T14:45:04Z,UC3gQ9lIiPQj7frT5CE5QyRA,ROMBO BILIONÁRIO na CAIXA ECONÔMICA FEDERAL,"Informações mantidas em segredo pela Caixa Econômica Federal durante o mandato do ex-presidente Jair Bolsonaro mostram um rombo de mais de R$ 10 bilhões, consequência da liberação de benefícios sociais em ano de eleição. Bolsonaro apareceu numa pesquisa com 19% dos votos entre os mais pobres, contra 54% de Lula, e no dia seguinte liberou crédito para pessoas negativadas. Os indicadores de risco do banco chegaram ao pior nível já registrado. Às vésperas do segundo turno das eleições, no dia 20 de outubro foram destinados R$ 731 milhões para empréstimo consignado do Auxílio Brasil. Nas primeiras semanas depois da eleição do presidente Lula, a Caixa cortou os benefícios sem qualquer aviso público.","{'url': 'https://i.ytimg.com/vi/tq3HLnmbS_w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tq3HLnmbS_w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tq3HLnmbS_w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tq3HLnmbS_w/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,3,youtube#video,tq3HLnmbS_w,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,,EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,KNoaUH2sSsnyIOgx89ZtOS2eyqw,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLnBQUFYyOHVvRy1V,2023-05-29T21:32:37Z,UC3gQ9lIiPQj7frT5CE5QyRA,Polícia apreende avião da família de Damares Alves,"Agentes da Polícia Federal (PF) apreenderam um avião da Igreja Quadrangular do Pará com 290 kg de substâncias ilícitas. O templo foi fundado pelo pai da senadora Damares Alves, e a aeronave pertence ao tio, líder da unidade da Igreja Quadrangular.","{'url': 'https://i.ytimg.com/vi/pPPV28uoG-U/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/pPPV28uoG-U/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/pPPV28uoG-U/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/pPPV28uoG-U/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,4,youtube#video,pPPV28uoG-U,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/pPPV28uoG-U/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,6t8-htPnD0fv0CVMQErR7F4Vayo,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLm9rZWtMTWhvT2pR,2023-05-28T14:30:15Z,UC3gQ9lIiPQj7frT5CE5QyRA,CARLA ZAMBELLI PRESTES A PERDER O MANDATO,"A deputada federal Carla Zambelli está prestes a perder o mandato, diante das novas informações obtidas pelo portal Metrópoles. A reportagem exclusiva aponta que documentos de Zambelli entregues à Justiça Eleitoral têm fraude e falsificação de assinatura. Zambelli abriu uma vaquinha online para pagar processos, que serviu de inspiração ao ex-presidente Jair Bolsonaro. A defesa de Bolsonaro avalia campanhas de arrecadação depois de perder mais uma disputa judicial. O Tribunal de Justiça de São Paulo condenou Bolsonaro a pagar indenização de R$ 50 mil por ataques a jornalistas.","{'url': 'https://i.ytimg.com/vi/okekLMhoOjQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/okekLMhoOjQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/okekLMhoOjQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/okekLMhoOjQ/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,5,youtube#video,okekLMhoOjQ,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/okekLMhoOjQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,z0yukaxbtDAcd7iqLh711uWa0es,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLmJva28yVjNibUw4,2023-05-27T21:02:58Z,UC3gQ9lIiPQj7frT5CE5QyRA,Lula INTERROMPE reunião do GOVERNO RUSSO e manda RECADO a Putin,"Numa ligação com o presidente da Rússia, Vladimir Putin, ao longo de uma reunião do grupo empresarial Negócios da Rússia, o presidente Lula mandou votos de sucesso e prosperidade aos participantes. Putin aproveitou a oportunidade para elogiar a economia brasileira.
Chefe do Instituto Internacional de Finanças, Robin Brooks disse que o Brasil “está a caminho de se tornar a Suíça da América Latina”, ao publicar dados sobre o superávit comercial. “Está surgindo um enorme superávit comercial, diferente de qualquer outro país da região. Isso vai dar ao Brasil estabilidade externa e uma moeda forte, diferente do resto da América Latina. O Brasil será a âncora da região”, acrescentou o economista.","{'url': 'https://i.ytimg.com/vi/boko2V3bmL8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/boko2V3bmL8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/boko2V3bmL8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/boko2V3bmL8/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,6,youtube#video,boko2V3bmL8,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/boko2V3bmL8/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,CdlytteiJVlf5Nq1iMaTVJdPOKo,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLmVaZUJrenhhb2J3,2023-05-26T20:21:42Z,UC3gQ9lIiPQj7frT5CE5QyRA,ZAMBELLI PASSA VERGONHA AO VIVO,"A deputada federal Carla Zambelli passou vergonha nas redes ao levar uma bronca do ex-presidente Jair Bolsonaro. Em apoio ao ex-deputado Deltan Dallagnol, Zambelli convocou manifestações contra o governo Lula e foi repreendida por Bolsonaro.","{'url': 'https://i.ytimg.com/vi/eZeBkzxaobw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/eZeBkzxaobw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/eZeBkzxaobw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/eZeBkzxaobw/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,7,youtube#video,eZeBkzxaobw,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/eZeBkzxaobw/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,rPl0jwLDMpw6Npng1M4MfOHj4vA,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLkJ5b1NKR3Nuanhj,2023-05-25T23:12:29Z,UC3gQ9lIiPQj7frT5CE5QyRA,Ato falho? Treta com Eduardo Bolsonaro e Nikolas Ferreira,"Hoje, durante a CPMI das invasões em Brasília, os deputados Eduardo Bolsonaro e Nikolas Ferreira entraram em contradição com a oposição. Eduardo disse que os deputados bolsonaristas não poderiam ser responsabilizados “por todas as atitudes dos seus eleitores”. Nikolas defendeu os manifestantes e afirmou que a esquerda tenta transformar pessoas do bem em baderneiros. A oposição ao governo insiste numa narrativa sobre infiltrados e eleitores do presidente Lula nos atos antidemocráticos.","{'url': 'https://i.ytimg.com/vi/ByoSJGsnjxc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ByoSJGsnjxc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ByoSJGsnjxc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ByoSJGsnjxc/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,8,youtube#video,ByoSJGsnjxc,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/ByoSJGsnjxc/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
youtube#playlistItem,42jFU3qD0aspPrNL9wJGOQ-nPwY,VVUzZ1E5bElpUFFqN2ZyVDVDRTVReVJBLlAtdWZ3NkJ0cDcw,2023-05-25T21:12:47Z,UC3gQ9lIiPQj7frT5CE5QyRA,LULA ANUNCIA CORTE de IMPOSTO de CARRO,"O presidente Lula anunciou corte de IPI, PIS e Cofins sobre carros até R$ 120 mil reais. O desconto pode ser de mais de 10% nos carros mais baratos, que devem cair para R$ 60 mil reais. O Governo Federal também anunciou um pacote de incentivos à indústria, para baratear o processo de produção. O presidente da Anfavea, Associação Nacional dos Veículos Automotores, e representantes do setor automotivo elogiaram as medidas.","{'url': 'https://i.ytimg.com/vi/P-ufw6Btp70/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/P-ufw6Btp70/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/P-ufw6Btp70/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/P-ufw6Btp70/sddefault.jpg', 'width': 640, 'height': 480}",Samuel Borelli,UU3gQ9lIiPQj7frT5CE5QyRA,9,youtube#video,P-ufw6Btp70,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,"{'url': 'https://i.ytimg.com/vi/P-ufw6Btp70/maxresdefault.jpg', 'width': 1280, 'height': 720}",EAAaBlBUOkNESQ,2023-06-05 20:12:48.980143
