kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,sPna0YawFDI23l6Z2mCfERvc8l4,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLnB0VVdKa2h6WmNR,2023-06-05T22:00:59Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,"PASTOR ANDRÉ VALADÃO CAUSA REVOLTA NAS REDES APÓS ATACAR COMUNIDADE LGBTQIA+: ""DEUS ODEIA O ORGULHO""","O pastor André Valadão deixou a web revoltada ao atacar a comunidade LGBTQIA+, justamente no Mês do Orgulho, em que é comemorado o Dia da Diversidade Sexual, em 28 de junho, no Brasil e em alguns países do mundo. O líder da Lagoinha Orlando Church, nos Estados Unidos, tem disseminado uma pregação com chamada “Deus odeia o orgulho”, alegando que não se pode deixar “normalizar o que para o cristão genuíno é pecado”.","{'url': 'https://i.ytimg.com/vi/ptUWJkhzZcQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/ptUWJkhzZcQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/ptUWJkhzZcQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/ptUWJkhzZcQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/ptUWJkhzZcQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,0,youtube#video,ptUWJkhzZcQ,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,0dIVg9FkXm1ThfXfluFREF0baTM,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLmktQlI1TFVHVThr,2023-06-05T18:19:09Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,"RICARDO SALLES DETONA BOLSONARO E VALDEMAR COSTA NETO AO VIVO NA JOVEM PAN NEWS: ""MAIS UMA TRAIÇÃO""","O deputado federal Ricardo Salles disse, em entrevista à Jovem Pan News, que o seu partido, o PL, não deveria apoiar quem vota com o governo Lula, referindo-se à reunião de Jair Bolsonaro e Valdemar da Costa Neto com Ricardo Nunes. Salles disse que não será candidato à prefeitura de São Paulo.","{'url': 'https://i.ytimg.com/vi/i-BR5LUGU8k/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/i-BR5LUGU8k/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/i-BR5LUGU8k/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/i-BR5LUGU8k/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/i-BR5LUGU8k/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,1,youtube#video,i-BR5LUGU8k,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,jSSFUiCZuLR4G4GEvv7elNBJSAo,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLnRETmI3WWpmLVc4,2023-06-02T21:32:55Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,"PROCURADORA RECLAMA DE SALÁRIO DE R$ 37 MIL E PASSA VERGONHA NAS REDES | ""SÓ PRAS MINHAS VAIDADES""","A procuradora de Goiás Carla Fleury de Souza reclamou do salário dela, de R$ 37,5 mil, durante uma sessão do MP-GO (Ministério Público de Goiás). “Meu dinheiro é só ‘pra mim fazer’ minhas vaidades [...] meus brincos, minhas pulseiras, meus sapatos”","{'url': 'https://i.ytimg.com/vi/tDNb7Yjf-W8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tDNb7Yjf-W8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tDNb7Yjf-W8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tDNb7Yjf-W8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tDNb7Yjf-W8/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,2,youtube#video,tDNb7Yjf-W8,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,8ETQQPqY-f8c3aIjC0-yfiBvL1k,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLkZuVHIyY0JESkNz,2023-06-02T15:27:38Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,BOLSONARO É HUMILHADO NO MORUMBI POR TORCEDORES DO SÃO PAULO,"O ex-presidente Jair Bolsonaro compareceu ao estádio do Morumbi nesta quinta-feira (1), na capital paulista, para assistir ao jogo do São Paulo contra o Sport, válido pelas oitavas de final da Copa do Brasil.  Acompanhado do governador Tarcísio Gomes de Freitas, Bolsonaro teve uma recepção ""calorosa"" dos torcedores do time tricolor. Faixas com os dizeres “Fora Bozo”, “Bolsonaro porco maldito” e “Bolsonaro racista cagão”, ainda do lado de fora do estádio, já passaram o recado.","{'url': 'https://i.ytimg.com/vi/FnTr2cBDJCs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/FnTr2cBDJCs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/FnTr2cBDJCs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/FnTr2cBDJCs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/FnTr2cBDJCs/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,3,youtube#video,FnTr2cBDJCs,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,dKDcnXgm6ySIiMdrmmYqeHtqWT8,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLlowYlNBOFFfaGNV,2023-06-01T22:36:19Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,JOE BIDEN CAI DURANTE FORMATURA DA FORÇA ÁEREA DOS EUA,O presidente Joe Biden caiu ao tropeçar durante uma cerimônia de entrega de diplomas da Academia da Força Aérea dos EUA.,"{'url': 'https://i.ytimg.com/vi/Z0bSA8Q_hcU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Z0bSA8Q_hcU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Z0bSA8Q_hcU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Z0bSA8Q_hcU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Z0bSA8Q_hcU/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,4,youtube#video,Z0bSA8Q_hcU,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,xp4GuVuEQFi5uLn7_RxBIWTrMyc,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLllkaC00TWlSYU84,2023-06-01T19:05:22Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,BOMBA: PF ENCONTRA COFRE DE ALIADO DE ARTHUR LIRA LOTADO DE DINHEIRO,"Dinheiro aprendido em Brasília e Alagoas na operação da PF contra aliados de Arthur Lira . Segundo a PF, alvos são empresas e envolvidos na compra de kits de robótica entre 2019 e 2022 para mais de 40 municípios.","{'url': 'https://i.ytimg.com/vi/Ydh-4MiRaO8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Ydh-4MiRaO8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Ydh-4MiRaO8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Ydh-4MiRaO8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Ydh-4MiRaO8/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,5,youtube#video,Ydh-4MiRaO8,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,kox6dJp4JwcppUFlqiPf7VMRdsg,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLnQ1ZUNDVDhtUlI0,2023-06-01T15:25:03Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,SÂMIA BOMFIM DETONA RONALDO CAIADO E GERA BATE BOCA NA CPI DO MST,"O governador de Goiás, Ronaldo Caiado (União Brasil) e a deputada federal Sâmia Bomfim (PSOL-SP) trocaram farpas e bateram boca durante a tarde de ontem (31), na sessão da CPI do MST.","{'url': 'https://i.ytimg.com/vi/t5eCCT8mRR4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/t5eCCT8mRR4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/t5eCCT8mRR4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/t5eCCT8mRR4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/t5eCCT8mRR4/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,6,youtube#video,t5eCCT8mRR4,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,oaWylRHLD6BSDy4-5jAXXW8VWME,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLmhtejJPcVlDVi1R,2023-05-31T23:00:19Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,BOLSONARISTA VAI PRA CIMA DE SÂMIA BOMFIM E TENTA INTIMIDÁ-LA DURANTE CPI DO MST,A deputada federal Sâmia Bomfim (Psol-SP) sofreu nesta quarta-feira (31) uma nova tentativa de intimidação durante sessão da CPI do MST. Após entreveros envolvendo o presidente  tenente-coronel Zucco (Republicanos-RS) e o relator Ricardo Salles (PL-SP) – em episódios que MPF apontou como ‘violência política de gênero – foi a vez do deputado Abílio Brunini (PL-MT) fracassar na tentativa de intimidá-la.,"{'url': 'https://i.ytimg.com/vi/hmz2OqYCV-Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hmz2OqYCV-Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hmz2OqYCV-Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hmz2OqYCV-Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hmz2OqYCV-Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,7,youtube#video,hmz2OqYCV-Q,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,UxdKs8FnM7qTXDSVSeN-Fx4nHuw,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLjQwOTJ3TW1icC1R,2023-05-31T19:26:54Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,"GLAUBER BRAGA BATE BOCA COM EDUARDO BOLSONARO | ""LAVE A BOCA PRA FALAR DE QUEM NÃO PODE SE DEFENDER""","Os deputados Glauber Braga e Eduardo Bolsonaro bateram bocam durante Comissão das Relações Exteriores. Glauber citou, durante discurso, joias sauditas e foi rebatido por Bolsonaro, iniciando uma discussão entre eles.","{'url': 'https://i.ytimg.com/vi/4092wMmbp-Q/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4092wMmbp-Q/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4092wMmbp-Q/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4092wMmbp-Q/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/4092wMmbp-Q/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,8,youtube#video,4092wMmbp-Q,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
youtube#playlistItem,TAiPAGpv6EKG1vybr3DOIl5cnrI,VVVjTDNXUXJ2djRnWjNWUjVxRmhFLXpRLlduNUdfeGFuZUo4,2023-05-31T15:46:00Z,UCcL3WQrvv4gZ3VR5qFhE-zQ,PM AGRIDE IDOSA DE 70 ANOS COM SOCO EM SÃO PAULO,"Policiais agrediram uma idosa e um homem algemado em Igaratá (SP). O caso foi registrado nesta terça-feira (30) após a família chamar a PM por uma briga entre irmãos que disputavam um terreno. Segundo a SSP, um dos policiais foi afastado das ruas e um inquérito foi aberto.","{'url': 'https://i.ytimg.com/vi/Wn5G_xaneJ8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Wn5G_xaneJ8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Wn5G_xaneJ8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Wn5G_xaneJ8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Wn5G_xaneJ8/maxresdefault.jpg', 'width': 1280, 'height': 720}",TV Afiada,UUcL3WQrvv4gZ3VR5qFhE-zQ,9,youtube#video,Wn5G_xaneJ8,TV Afiada,UCcL3WQrvv4gZ3VR5qFhE-zQ,EAAaBlBUOkNESQ,2023-06-05 20:03:22.053806
