kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,hDC3DgWsi0MaoMPjSr51iXFDErM,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLlBCRFppZDhDXy1J,2023-06-01T21:00:17Z,UCZdJE8KpuFm6NRafHTEIC-g,15 INTELECTUAIS - AGOSTINHO DE HIPONA,"Vídeo 06 da série ""15 intelectuais para você conhecer""

Nesta pausa para reestruturação do canal, estamos compartilhando uma série de vídeos curtos sobre intelectuais que marcaram a História do Pensamento no Ocidente.

A cada vídeo, apresentaremos de forma breve e bem humorada, o pensamento e as contribuições deixadas pelos e pelas cabeçudinhas ;)

Esperemos que vocês gostem.

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/PBDZid8C_-I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PBDZid8C_-I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PBDZid8C_-I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PBDZid8C_-I/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PBDZid8C_-I/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,0,youtube#video,PBDZid8C_-I,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,Zm88WgPMybix7d8r2TtGtLjr_Fc,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLk1NUExUSDV3UHpn,2023-05-30T21:00:19Z,UCZdJE8KpuFm6NRafHTEIC-g,15 INTELECTUAIS - HIPÁTIA DE ALEXANDRIA,"Vídeo 05 da série ""15 intelectuais para você conhecer""

Nesta pausa para reestruturação do canal, estamos compartilhando uma série de vídeos curtos sobre intelectuais que marcaram a História do Pensamento no Ocidente.

A cada vídeo, apresentaremos de forma breve e bem humorada, o pensamento e as contribuições deixadas pelos e pelas cabeçudinhas ;)

Esperemos que vocês gostem.

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/MMPLTH5wPzg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/MMPLTH5wPzg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/MMPLTH5wPzg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/MMPLTH5wPzg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/MMPLTH5wPzg/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,1,youtube#video,MMPLTH5wPzg,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,lIBUkdxjocDZ2zASRJcZDT8ZLX8,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLi11QWtOYTJrWXQ0,2023-05-25T21:00:01Z,UCZdJE8KpuFm6NRafHTEIC-g,15 INTELECTUAIS - ASPÁSIA DE MILETO,"Vídeo 04 da série ""15 intelectuais para você conhecer""

Nesta pausa para reestruturação do canal, estamos compartilhando uma série de vídeos curtos sobre intelectuais que marcaram a História do Pensamento no Ocidente.

A cada vídeo, apresentaremos de forma breve e bem humorada, o pensamento e as contribuições deixadas pelos e pelas cabeçudinhas ;)

Esperemos que vocês gostem.

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/-uAkNa2kYt4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/-uAkNa2kYt4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/-uAkNa2kYt4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/-uAkNa2kYt4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/-uAkNa2kYt4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,2,youtube#video,-uAkNa2kYt4,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,fFkzLttwItSTJSct1YvsdfNhR3U,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLlY3ZG9GcFNNR3NN,2023-05-23T21:00:13Z,UCZdJE8KpuFm6NRafHTEIC-g,15 INTELECTUAIS - PTÁ-HOTEPE,"Vídeo 03 da série ""15 intelectuais para você conhecer""

Nesta pausa para reestruturação do canal, estamos compartilhando uma série de vídeos curtos sobre intelectuais que marcaram a História do Pensamento no Ocidente.

A cada vídeo, apresentaremos de forma breve e bem humorada, o pensamento e as contribuições deixadas pelos e pelas cabeçudinhas ;)

Esperemos que vocês gostem.

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/V7doFpSMGsM/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/V7doFpSMGsM/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/V7doFpSMGsM/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/V7doFpSMGsM/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/V7doFpSMGsM/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,3,youtube#video,V7doFpSMGsM,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,Bg8GC8FbWdefLq5ZQIoVF8JVLGA,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLlFqUEV3SGlnRzdz,2023-05-18T21:00:12Z,UCZdJE8KpuFm6NRafHTEIC-g,15 INTELECTUAIS - ARISTÓTELES,"Vídeo 02 da série ""15 intelectuais para você conhecer""

Nesta pausa para reestruturação do canal, estamos compartilhando uma série de vídeos curtos sobre intelectuais que marcaram a História do Pensamento no Ocidente.

A cada vídeo, apresentaremos de forma breve e bem humorada, o pensamento e as contribuições deixadas pelos e pelas cabeçudinhas ;)

Esperemos que vocês gostem.

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/QjPEwHigG7s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/QjPEwHigG7s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/QjPEwHigG7s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/QjPEwHigG7s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/QjPEwHigG7s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,4,youtube#video,QjPEwHigG7s,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,X76w-ZEOnze87MMSdpnpd4mWcg0,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLm1IeVh2TVBIUWs4,2023-05-16T21:00:20Z,UCZdJE8KpuFm6NRafHTEIC-g,15 INTELECTUAIS - PLATÃO,"Primeiro vídeo da série ""15 intelectuais para você conhecer""

Nesta pausa para reestruturação do canal, estamos compartilhando uma série de vídeos curtos sobre intelectuais que marcaram a História do Pensamento no Ocidente.

A cada vídeo, apresentaremos de forma breve e bem humorada, o pensamento e as contribuições deixadas pelos e pelas cabeçudinhas ;)

Esperemos que vocês gostem.

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/mHyXvMPHQk8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/mHyXvMPHQk8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/mHyXvMPHQk8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/mHyXvMPHQk8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/mHyXvMPHQk8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,5,youtube#video,mHyXvMPHQk8,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,ClFYt2rQCd-RErqjA39U-rnXJ64,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLktTOGU1ZVlfdmVv,2023-04-19T21:00:19Z,UCZdJE8KpuFm6NRafHTEIC-g,CONTRA REFORMA DO ENSINO MÉDIO #02 Giuliana Mordente,"Esta é a segunda de uma série de 4 lives que realizaremos no Instagram (@rita_von_hunty) e compartilharemos aqui no YouTube sobre a contra reforma do Ensino Médio.

Essa aberração, aprovada como lei e sem debate de professoras, professores e estudantes, é herança nefasta do golpista Michel Temer e da sua marca antidemocrática na política no Brasil.

Hoje, tivemos a honra de receber a Profª Doutoranda Giuliana Mordente @andancaseducativas , que é Professora na Faculdade de Psicologia da UFRJ, professora na educação básica e pesquisadora em educação, neoliberalismo e escolas democráticas.

Nesta live, tentamos passar por 5 eixos temáticos:
1) O que é o neoliberalismo e como ele se dá na educação.
2) Os cinco pontos desta ideologia e da sua prática em ambiente escolar
3) Como os discursos de tecnicismo e imparcialidade têm ganhado adesão
4) Como cria-se consenso sobre a ""modernização"" e a ""inovação"" deste modelo educacional
5) Qual escola sonhamos em ter

Esperemos que gostem e compartilhem.

Seguimos em luta. A Escola não é uma empresa!

Foto da thumb por: @ste.frateschi

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/KS8e5eY_veo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/KS8e5eY_veo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/KS8e5eY_veo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/KS8e5eY_veo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/KS8e5eY_veo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,6,youtube#video,KS8e5eY_veo,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,BfmuxAcnRPRyJPhxTDVH27pmmU0,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLjlhSmliRlNFOF9z,2023-04-11T21:00:09Z,UCZdJE8KpuFm6NRafHTEIC-g,CONTRA A REFORMA DO ENSINO MÉDIO #01 Daniel Cara,"Esta é a primeira de uma série de 4 lives que realizaremos no Instagram (@rita_von_hunty) compartilharemos aqui no YouTube sobre a contra reforma do Ensino médio.

Essa aberração, aprovada como lei e sem debate de professoras, professores e estudantes é herança nefasta do golpista Michel Temer e da sua marca antidemocrática na política no Brasil.

Hoje, tivemos a honra de receber o Prof. Dr @danielcara que é Professor da Faculdade de Educação da USP, já recebeu o Prêmio Darcy Ribeiro e foi delegado brasileiro no Fórum Mundial da Educação da ONU.

Nesta live tentamos passar por 4 eixos temáticos:
1) A precarização do ensino
2) O aprofundamento das desigualdades
3) Os planos imediatos para a Revogação
4) O cenário de luta e os próximos passos.

Esperemos que gostem e compartilhem.

Seguimos em luta. A Escola não é uma empresa!

Foto da thumb: @ste.frateschi
Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/9aJibFSE8_s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/9aJibFSE8_s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/9aJibFSE8_s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/9aJibFSE8_s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/9aJibFSE8_s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,7,youtube#video,9aJibFSE8_s,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,pJIVX0buV-wqjuzNFZ6TvU5ufas,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLmJZWS1sejVZbjF3,2023-04-06T21:00:15Z,UCZdJE8KpuFm6NRafHTEIC-g,DIREITO LGBTQIAP+,"@TagarelaAustralia 
@fruitsfrombrazil6545 

Conteúdo: @rita_von_hunty
Fotografia e Montagem: @isabolax
Edição e Roxelly: @perronicrl

Apoio:
@_eusou.maria
@thyagossantos
@eumarig
@eusouherbert

Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/bYY-lz5Yn1w/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bYY-lz5Yn1w/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bYY-lz5Yn1w/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bYY-lz5Yn1w/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/bYY-lz5Yn1w/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,8,youtube#video,bYY-lz5Yn1w,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
youtube#playlistItem,1K4KBfkEGVEgAs4XmvQb9h2o-88,VVVaZEpFOEtwdUZtNk5SYWZIVEVJQy1nLk94dDNmOUtmQXY0,2023-03-16T21:00:17Z,UCZdJE8KpuFm6NRafHTEIC-g,QUEM PODE NARRAR A PRÓPRIA HISTÓRIA? 🏳️‍🌈,"@TagarelaAustralia 
@fruitsfrombrazil6545 

Conteúdo: @rita_von_hunty
Edição e Roxelly: @perronicrl
Montagem: @isabolax

Apoio:
@_eusou.maria
@thyagossantos
@eumarig
@eusouherbert
Siga a gente no Instagram www.instagram.com/temperodrag
Curta a Fan Page www.facebook.com/temperodrag","{'url': 'https://i.ytimg.com/vi/Oxt3f9KfAv4/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Oxt3f9KfAv4/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Oxt3f9KfAv4/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Oxt3f9KfAv4/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Oxt3f9KfAv4/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tempero Drag,UUZdJE8KpuFm6NRafHTEIC-g,9,youtube#video,Oxt3f9KfAv4,Tempero Drag,UCZdJE8KpuFm6NRafHTEIC-g,EAAaBlBUOkNESQ,2023-06-05 20:05:43.578498
