kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,1v0AgajIbguQBMKqPDawoBL2eD8,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLjh6ZUNZTzY4dmI4,2023-06-02T19:45:39Z,UC0fGGprihDIlQ3ykWvcb9hg,Veganismo Popular - Vitor Ávila,"Está no ar no nosso canal uma participação super especial.

@veganovitor é há bastante tempo editor de vídeos aqui do Tese Onze. Ele próprio, ativista e comunicador cheio de conteúdo que recomendamos muitíssimo acompanharem.

Vitor não tem medo de ""comprar a briga"", com toda a sensibilidade que esbanja, seja com os liberais que buscam cooptar e hegemonizar o movimento vegano, quanto com a esquerda que levanta tantas barreiras para refletir sobre a importância da opressão especista no mundo. A síntese que supera esses problemas é o veganismo popular, que ele introduz muito bem nesse vídeo.

Tambem nesse vídeo, ele parte de contribuições da Angela Davis, enorme referência Comunista, anti opressões e vegana, para discutir como a liberdade não existe em meio à uma coletividade que oprime. Nossa liberdade só existe quando lutamos, constantemente, pela liberdade de todes.","{'url': 'https://i.ytimg.com/vi/8zeCYO68vb8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8zeCYO68vb8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8zeCYO68vb8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8zeCYO68vb8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8zeCYO68vb8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,0,youtube#video,8zeCYO68vb8,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,76jOhct-CMdZahEW591vB1lTPA0,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLnpwYUc1R2hPNng4,2023-05-31T22:36:54Z,UC0fGGprihDIlQ3ykWvcb9hg,"Menos Petro, Mais Solar","Defendemos a Petrobrás 100% estatal, mas também defendemos que ela seja uma empresa estratégica para a transição energética. 

Segundo trecho do vídeo ""Petrobrás, Estatais e o Meio Ambiente"" para movimentarmos essa discussão.","{'url': 'https://i.ytimg.com/vi/zpaG5GhO6x8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zpaG5GhO6x8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zpaG5GhO6x8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zpaG5GhO6x8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/zpaG5GhO6x8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,1,youtube#video,zpaG5GhO6x8,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,Y9D6Z52XVCBU3wpBOr4QWORnfEU,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLmhxYjIxcUVJQl9N,2023-05-30T16:51:57Z,UC0fGGprihDIlQ3ykWvcb9hg,Hip Hop é Cultura Antirracista - Vinícius Santana,"Nesse ano de 2023, o hip-hop completa 50 anos de nascimento.

A cultura hip-hop nasceu no sul do Bronx, área periférica de Nova Iorque, em 1973, que era ocupada majoritariamente por negros e latinos.

Depois de muita luta do movimento, a cultura ultrapassou fronteiras nacionais e hoje o rap é um dos gêneros musicais mais escutados mundialmente. A cultura é responsável por salvar diversas vidas e educar aqueles e aquelas que são excluídos do sistema de ensino formal, trazendo formação e informação por meio de seus elementos e das letras de rap. Apesar disso, o racismo ainda estigmatiza e marginaliza, de alguma forma, o hip-hop e seus adeptos.

Nesse vídeo, o @vi.naum desenrola sobre o papel do hip-hop para a periferia a partir do conceito de 'racismo cultural', de Frantz Fanon. Encosta!

Para apoiar o projeto do Tese Onze: http://apoia.se/teseonze

Ficha técnica:
Editora-chefe: Sabrina Fernandes
Assistência editorial: Samuel Silva Borges
Concepção, pesquisa, roteiro, direção e produção: Vinícius Santana
Edição de vídeo: Vinícius Santana e Vitor Ávila
Legendagem em português: Vinícius Santana e Vitor Ávila","{'url': 'https://i.ytimg.com/vi/hqb21qEIB_M/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hqb21qEIB_M/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hqb21qEIB_M/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hqb21qEIB_M/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hqb21qEIB_M/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,2,youtube#video,hqb21qEIB_M,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,E4dxyyUoaraC4mBE9tKAxKkiVRE,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLmk2WEZ4UjMwWHdv,2023-05-26T23:20:58Z,UC0fGGprihDIlQ3ykWvcb9hg,Não basta a Petrobrás ser 100% Estatal - Sabrina Fernandes,"Corte do vídeo ""Petrobrás, Estatais e o Meio Ambiente""","{'url': 'https://i.ytimg.com/vi/i6XFxR30Xwo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/i6XFxR30Xwo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/i6XFxR30Xwo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/i6XFxR30Xwo/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/i6XFxR30Xwo/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,3,youtube#video,i6XFxR30Xwo,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,Tx1cxU5sRvMdCYnF6bDynldANDw,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLmhlVEdTckwxLWtz,2023-05-25T18:38:12Z,UC0fGGprihDIlQ3ykWvcb9hg,A Luta pela Descolonização da África - Vinícius Santana,"25 de maio é o Dia da Libertação de África, data instituída em referência à criação da Organização da Unidade Africana (OUA) em uma reunião em Adis Abeba, na Etiópia.

É uma data para nos lembrarmos principalmente das lutas contra o neocolonialismo europeu no continente africano. Como o Brasil foi colonizado por Portugal, é fundamental pra gente ter em mente as revoluções pela descolonização que aconteceram nos países da África Lusófona.

Quer saber um pouco mais? Dá uma atenção no Vinaum que ele te explica!

Ficha técnica:
Editora-chefe: Sabrina Fernandes
Assistência editorial: Samuel Silva Borges
Concepção, pesquisa, roteiro, direção e produção: Vinícius Santana
Edição de vídeo: Vinícius Santana e Vitor Ávila
Legendagem em português: Vinícius Santana e Vitor Ávila

Redes do Vinícius
https://www.instagram.com/vi.naum/
https://www.tiktok.com/@vi.naum","{'url': 'https://i.ytimg.com/vi/heTGSrL1-ks/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/heTGSrL1-ks/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/heTGSrL1-ks/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/heTGSrL1-ks/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/heTGSrL1-ks/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,4,youtube#video,heTGSrL1-ks,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,Nfh407bONNeDmhxD506CWfVS2-A,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLnY0aS1mWnFUb19n,2023-05-23T19:21:19Z,UC0fGGprihDIlQ3ykWvcb9hg,"""As Big Techs e a Extrema-Direita"" - Samuel Silva Borges","Samuel Silva Borges discute o que está por trás dos massacres escolares, pois sem tal compreensão é impossível formular alternativas eficazes para aumentar a segurança.

Link pro vídeo: https://youtu.be/5x-vqvUK4DU","{'url': 'https://i.ytimg.com/vi/v4i-fZqTo_g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/v4i-fZqTo_g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/v4i-fZqTo_g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/v4i-fZqTo_g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/v4i-fZqTo_g/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,5,youtube#video,v4i-fZqTo_g,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,wiGMV4L4mlzceBueRJwH6jj_QWY,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLjNzWWMzNTh5UGFz,2023-05-18T22:15:10Z,UC0fGGprihDIlQ3ykWvcb9hg,Liberdade Antiespecista I  116,"Referências e indicações: http://teseonze.com.br/referencias
Para apoiar o projeto do Tese Onze: http://apoia.se/teseonze

Ficha técnica:
Editora-chefe: Sabrina Fernandes
Assistência editorial: Samuel Silva Borges
Concepção, pesquisa, roteiro, direção e produção: Vitor Ávila
Edição de vídeo: Vitor Ávila
Interpretação em Libras: Gilberth Santos
Legendagem em português: Samuel Silva Borges

LINKS DO VÍDEO:
Vídeo sobre veganismo popular vs veganismo liberal
https://www.youtube.com/watch?v=OQk4GJ-hxSo&ab_channel=VeganoVitor 

MST e o veganismo popular, com Sandra Guimarães
https://mst.org.br/2021/11/10/mst-e-veganismo-popular/ 
Estudo comparativo sobre inteligência de porcos (em inglês)
https://www.wellbeingintlstudiesrepository.org/cgi/viewcontent.cgi?article=1042&context=acwp_asie 

Dados sobre abate de animais no mundo (em inglês)
https://ourworldindata.org/meat-production#global-meat-productionhttps://www.weforum.org/agenda/2019/02/chart-of-the-day-this-is-how-many-animals-we-eat-each-year/ 

Dados sobre animais abatidos no Brasil (IBGE)
https://www.ibge.gov.br/estatisticas/economicas/agricultura-e-pecuaria/21119-primeiros-resultados-2abate.html?edicao=36855 

Dados sobre animais marinhos (em inglês)
http://fishcount.org.uk/studydatascreens/2016/numbers-of-wild-fish-A0-2016.php 

Documentário terráqueos (ative as legendas)
https://www.youtube.com/watch?v=_GGBFv0zw18&ab_channel=RE-CONSIDERE 

O conceito de liberdade segundo Angela Davis, publicado na revista Ideação
http://periodicos.uefs.br/index.php/revistaideacao/article/view/5071

Trecho da entrevista com Angela Davis
https://www.youtube.com/watch?v=kBtBwZAou_Y&ab_channel=LEALaborat%C3%B3riode%C3%89ticaAmbientaleAnimal

Reportagem sobre trabalhadores da indústria da carne
https://www.metropoles.com/materias-especiais/ossos-do-oficio 

“A forma animal da mercadoria” por Maila Costa
https://lavrapalavra.com/2020/06/11/a-forma-animal-da-mercadoria/

Notícia vaca escapa de abatedouro
https://claudia.abril.com.br/coluna/querido-pet/vaca-pula-de-caminhao-escapa-de-abatedouro-e-da-a-luz-dois-dias-depois

Documentário Dominion (dublado em português)
https://www.youtube.com/watch?v=JmebsDtV4ec&ab_channel=Vegans","{'url': 'https://i.ytimg.com/vi/3sYc358yPas/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/3sYc358yPas/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/3sYc358yPas/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/3sYc358yPas/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/3sYc358yPas/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,6,youtube#video,3sYc358yPas,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,UVHFY02XgdoaZen6nqnMbyZSK6o,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLkY4b2NxNVBxQlU4,2023-05-16T12:42:07Z,UC0fGGprihDIlQ3ykWvcb9hg,"""Desdolarização e as Sanções"" - Débora Baldin","Débora Baldin traz a questão da desdolarização, que foi levantada por Lula em sua visita à China, com enorme repercussão. Isso porque se trata de algo que pode enfraquecer bastante a hegemonia estadunidense, que depende do dólar enquanto a unidade de moeda ""universal"", tanto no comércio internacional quanto nas reservas nacionais, para alavancar a própria economia. E também porque é essa dependência do dólar que torna a a ameaça de sanções econômicas vindas dos EUA tão potentes.

Link pro vídeo: https://youtu.be/H4cLKHvrhHc","{'url': 'https://i.ytimg.com/vi/F8ocq5PqBU8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/F8ocq5PqBU8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/F8ocq5PqBU8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/F8ocq5PqBU8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/F8ocq5PqBU8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,7,youtube#video,F8ocq5PqBU8,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,0yzqhiHJb7WajG-aadDgYiDd5Eo,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLjV4LXZxdlVLNERV,2023-05-11T18:45:09Z,UC0fGGprihDIlQ3ykWvcb9hg,Em Defesa das Escolas I 115,"Nosso colunista Samuel Silva Borges analisa duas tendências das mais problemáticas que o Brasil tem importado dos EUA: o crescente número de ataques contra as escolas e as falsas soluções policialescas e autoritárias que só pioram a situação de insegurança no ambiente escolar. Será mesmo que militarizar as escolas é a solução a se defender?

Referências e indicações: http://teseonze.com.br/referencias
Para apoiar o projeto do Tese Onze: http://apoia.se/teseonze

Ficha técnica:
Concepção, pesquisa, roteiro, direção e produção: Samuel Silva Borges
Edição de vídeo: Vitor Ávila e Samuel Silva Borges
Interpretação em Libras: Gilberth Santos
Legendagem em português: Samuel Silva Borges

Indicações:

Leitura
Alex Vitale. O Fim do Policiamento. São Paulo: Autonomia Literária. 2022.
https://campanha.org.br/acervo/relatorio-ao-governo-de-transicao-o-ultraconservadorismo-e-extremismo-de-direita-entre-adolescentes-e-jovens-no-brasil-ataques-as-instituicoes-de-ensino-e-alternativas-para-a-acao-governamental/

Playlist Abolicionismo Policial – Cifra Oculta https://www.youtube.com/playlist?list=PLZcr_yr6fyYr_ilzQ4xPK5-Ld-A-FVxRs 

Referências
https://www.metropoles.com/brasil/flavio-dino-anuncia-r-150-milhoes-para-fortalecer-rondas-escolares
https://agenciabrasil.ebc.com.br/politica/noticia/2023-04/governo-vai-liberar-r-150-milhoes-para-ampliar-rondas-escolares
https://oglobo.globo.com/brasil/noticia/2023/04/veja-as-acoes-anunciadas-pelo-governo-para-combater-violencia-nas-escolas.ghtml 
https://agenciabrasil.ebc.com.br/geral/noticia/2023-04/homem-invade-creche-em-blumenau-e-mata-quatro-criancas
https://www.gov.br/secom/pt-br/assuntos/noticias/2023/04/edital-de-r-150-milhoes-para-prevenir-violencia-em-escolas-sai-nesta-terca-diz-dino
https://www.gov.br/mj/pt-br/assuntos/noticias/em-reuniao-interministerial-flavio-dino-detalha-acoes-do-mjsp-no-combate-a-violencia-nas-escolas
https://www.gov.br/mj/pt-br/escolasegura
https://www.blogs.unicamp.br/pemcie/2023/04/12/ameacas-as-escolas-violencia-e-as-mensagens-nas-redes/
https://ponte.org/artigo-o-fim-do-policiamento/ 
https://fontesegura.forumseguranca.org.br/um-novo-desafio-para-a-seguranca-publica-e-para-a-pericia-a-violencia-nas-escolas/
https://www.bbc.com/portuguese/articles/c3gr34rk8g4
https://www.vox.com/the-highlight/22580659/police-in-school-resource-officers-sro
https://www.nytimes.com/2020/06/12/us/schools-police-resource-officers.html
https://www.nationalreview.com/2012/12/cops-schools-eliana-johnson/
https://www.theguardian.com/tv-and-radio/2022/jun/06/john-oliver-cops-police-schools","{'url': 'https://i.ytimg.com/vi/5x-vqvUK4DU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/5x-vqvUK4DU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/5x-vqvUK4DU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/5x-vqvUK4DU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/5x-vqvUK4DU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,8,youtube#video,5x-vqvUK4DU,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
youtube#playlistItem,pPgCGgnn-qmJCtjNiCYIqK701Aw,VVUwZkdHcHJpaERJbFEzeWtXdmNiOWhnLkg0Y0xLSHZyaEhj,2023-05-08T14:00:08Z,UC0fGGprihDIlQ3ykWvcb9hg,A Opção pelo Sul Global  I  114,"Débora Baldin retoma sua coluna no Tese Onze para discutir a política externa do terceiro Governo Lula, principalmente a questão da soberania de países emergentes frente ao poder dos EUA. Na América do Sul, há um retomada de foco rumo à UNASUL e o MERCOSUL. Em termos globais, há o caminho de uma articulação preferencial entre países do Sul Global,  dentre os destaques recentes temos a Dilma Rousseff assumindo a presidência do Banco do BRICS e a visita de Lula à China, em que a proposta da desdolarização do comércio ganhou destaque mundial por colocar em cheque um dos pilares da hegemonia estadunidense. Chega mais pra acompanhar a análise de nossa especialista em Relações Internacionais.

Referências e indicações: http://teseonze.com.br/referencias
Para apoiar o projeto do Tese Onze: http://apoia.se/teseonze

Ficha técnica:
Editora-chefe: Sabrina Fernandes
Assistência editorial: Samuel Silva Borges
Pesquisa, roteiro e vídeo: Debora Baldin
Edição de vídeo: Vitor Ávila e Debora Baldin
Interpretação em Libras: Gilberth Santos
Legendagem em português: Samuel Silva Borges


Referências
https://www.brasildefato.com.br/2023/02/11/retorno-da-venezuela-ao-mercosul-interessa-ao-brasil-mas-outros-membros-devem-impor-obstaculo
https://agenciabrasil.ebc.com.br/internacional/noticia/2014-03/brasil-com-posicao-passiva-na-crise-entre-russia-e-ucrania-diz 
https://www.youtube.com/watch?v=KF_Vhi2W3pg 
https://www.seudinheiro.com/2023/internacional/china-brasil-rota-da-seda-rens/ 
https://www.youtube.com/watch?v=Xz1Ti6CK8wc 
https://www.youtube.com/watch?v=lEtbqwrpHkM 
https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2023/01/lula-defende-dialogo-e-apoio-mutuo-entre-paises-latino-americanos-na-vii-cupula-da-celac 
https://forodesaopaulo.org/celac-celac-social-y-la-fuerza-de-las-ideas/ 
https://www.youtube.com/watch?v=yNMgP9YsDKQ 
https://www.youtube.com/watch?v=yNMgP9YsDKQ 
https://open.spotify.com/episode/2H83pTtn21oarKpcbLB6AF?si=ea76323002194197 
https://www.metropoles.com/colunas/guilherme-amado/lula-embarca-para-o-brasil-apos-poucos-resultados-concretos-nos-eua 
https://www.bbc.com/portuguese/articles/c72zw1g0py3o 
https://revistaopera.com.br/2022/08/04/as-preocupacoes-do-comando-sul-entram-na-orbita-do-litio/ 
https://br.usembassy.gov/pt/declaracao-conjunta-da-reuniao-entre-os-presidentes-lula-e-biden/ 
https://www.youtube.com/watch?v=4OY9b6hG-jA 
https://www.youtube.com/watch?v=QXbYyxGHgTg 
https://www.cartacapital.com.br/mundo/mundo-multipolar/
https://www.youtube.com/watch?v=b6Ycg4Nbk7U&list=PL99vyy3WwlvpHfVnbQ4Y0hteRptF8gCGv&index=2
https://www.cnnbrasil.com.br/economia/brasil-e-china-devem-fechar-ao-menos-25-acordos-veja-lista/ 

Leituras
Chutando a escada: a estratégia do desenvolvimento em perspectiva histórica. Capa. Ha-Joon Chang. Unesp, 2004 - 266 páginas.
A opção Sul-Americana - Reflexões sobre política externa (2003-2016). Textos selecionados do Marco Aurélio Garcia.
https://fpabramo.org.br/publicacoes/wp-content/uploads/sites/5/2018/06/A-opcao-sul-web.pdf
O BRICS nas relações internacionais contemporâneas, Augusto Leal Rinaldi (Appris, 2021)
Epistemologias do Sul, (org) Paula Meneses e Boaventura Santos, (Almedina, 2010) 
Uma ecologia decolonial: pensar a partir do mundo caribenho, Malcom Ferdnand, (Ubu, 2022) 
Ensaios sobre a Colonialidade do Poder, Anibal Quijano, (Ediciones del Signo, 1999)
Raça, Nação e Classe: As identidade ambíguas, Étienne Balibar e Immanuel Wallerstein, (Boitempo, 2021)
A África na Política Internacional - O sistema interafricano e sua inserção mundial, Paulo Fagundes Visentini, (Juruá, 2012). 
Políticas da Inimizade, Achille Mbembe, (N-1, 2020)
A Razão Africana, Muryatan Barbosa, (Todavia, 2020) 
Adam Smith em Pequim: origens e fundamentos do século XXI, Giovanni Arrighi, (Boitempo, 2008)
China - O socialismo do século XXI, Elias Jabour e Alberto Gabriele, (Boitempo, 2021)
Os Condenados da Terra, Frantz Fanon, (Zahar, 2022)","{'url': 'https://i.ytimg.com/vi/H4cLKHvrhHc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/H4cLKHvrhHc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/H4cLKHvrhHc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/H4cLKHvrhHc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/H4cLKHvrhHc/maxresdefault.jpg', 'width': 1280, 'height': 720}",Tese Onze,UU0fGGprihDIlQ3ykWvcb9hg,9,youtube#video,H4cLKHvrhHc,Tese Onze,UC0fGGprihDIlQ3ykWvcb9hg,EAAaBlBUOkNESQ,2023-06-05 19:57:25.306989
