kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,Myq2f8uIZxzWQwQCnvZfErKXIl8,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLkRrQlFkN1ZZcG1n,2023-06-02T20:30:00Z,UCNqzAD9EiECreuH6LA8IYeA,General Heleno minimiza atos terroristas e debocha de CPI,"Em depoimento à CPI da Câmara Legislativa do Distrito Federal, o ex-ministro, General Augusto Heleno, protagonizou um espetáculo de deboche e desinformação. Defendeu Bolsonaro, minimizou os atos terroristas e disse que golpe de 64 foi para impedir que o Brasil se tornasse comunista. Será que diante dos senadores e deputados ele vai repetir o show?
Leia mais em https://www.intercept.com.br/2023/06/02/general-heleno-minimiza-atos-terroristas-e-debocha-cpi/

Faça parte do TIB: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/DkBQd7VYpmg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/DkBQd7VYpmg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/DkBQd7VYpmg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/DkBQd7VYpmg/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/DkBQd7VYpmg/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,0,youtube#video,DkBQd7VYpmg,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,JzIDJiP2JoNiv-cXA9c0Pn8xWLw,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLk9lcENZd0xXMWFR,2023-05-29T17:35:14Z,UCNqzAD9EiECreuH6LA8IYeA,A Universal está doutrinando as polícias do Brasil,"Só em 2023, mais de 70 eventos religiosos da Igreja Universal aconteceram em todo o país envolvendo PMs, bombeiros, Exército, Aeronáutica e PF; governos negam acordos oficiais.
Leia mais em https://www.intercept.com.br/2023/05/29/como-a-igreja-universal-esta-doutrinando-as-forcas-policiais-do-brasil-e-os-governos-fingem-que-nao-veem/

Faça parte do TIB: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/OepCYwLW1aQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/OepCYwLW1aQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/OepCYwLW1aQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/OepCYwLW1aQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/OepCYwLW1aQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,1,youtube#video,OepCYwLW1aQ,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,mM4hlQ563LJg4YN8iA6scKXiRkc,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLnl0M2hXNmVZOEJR,2023-05-25T17:09:56Z,UCNqzAD9EiECreuH6LA8IYeA,Boipeba: Pescador é ameaçado por ser contra resort de dono da Globo,"Atenção: líder popular de Boipeba, Raimundo Siri, foi obrigado a deixar a ilha após ameaças. Pescador é um dos principais opositores à construção do condomínio de luxo do dono da Globo que deve ocupar 20% da ilha. Leia mais em https://www.intercept.com.br/2023/05/25/boipeba-lider-ameacado-condominio-dono-da-globo/

Faça parte do TIB: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/yt3hW6eY8BQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/yt3hW6eY8BQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/yt3hW6eY8BQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/yt3hW6eY8BQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/yt3hW6eY8BQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,2,youtube#video,yt3hW6eY8BQ,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,cD0RnBK_KIzjrdZJO3Ov-qUBgLw,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLkJTN1k1bW42SmtZ,2023-05-24T21:30:01Z,UCNqzAD9EiECreuH6LA8IYeA,'SIMULADOR DE ESCRAVIDÃO': jogo escancara os problemas do Google,"O chocante jogo que simula a escravidão, com negros e negras em trabalhos forçados e hipersexualizados, ficou um mês no ar rodando anúncios – e gerando lucro. E, apesar do app ter sido removido, seu desenvolvedor continua com outros jogos na loja do Google.

Que tipo de punição um desenvolvedor racista deve enfrentar? E uma plataforma que foi conivente com esse tipo de aplicativo? Por quanto tempo ele continuaria rendendo cliques, downloads e resenhas positivas de outros racistas na plataforma?

Não à toa, o caso foi usado pelos defensores do PL 2630, o PL das fake news, para chamar a atenção para a necessidade de regulação das redes. Leia mais em https://www.intercept.com.br/2023/05/24/simulador-de-escravidao-escancara-os-problemas-do-google-dinheiro-e-falta-de-controle/

Faça parte do TIB: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/BS7Y5mn6JkY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/BS7Y5mn6JkY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/BS7Y5mn6JkY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/BS7Y5mn6JkY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/BS7Y5mn6JkY/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,3,youtube#video,BS7Y5mn6JkY,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,Ry_w2-fu2D0J2azLzppcii9nv3s,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLk9fckVFNUFtbUhR,2023-05-22T11:00:17Z,UCNqzAD9EiECreuH6LA8IYeA,Major usou sistema interno do Exército para esquentar armas e munições e as repassou para atiradores,"Militar registrou armamentos que deveriam ser destruídos e entregou para CACs, apontam documentos do Superior Tribunal Militar. Leia mais em https://www.intercept.com.br/2023/05/22/major-usou-sistema-do-exercito-para-desviar-armas-e-municoes-e-as-repassou-para-atiradores/

Faça parte do TIB: https://intercept.com.br/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/O_rEE5AmmHQ/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/O_rEE5AmmHQ/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/O_rEE5AmmHQ/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/O_rEE5AmmHQ/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/O_rEE5AmmHQ/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,4,youtube#video,O_rEE5AmmHQ,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,k_TqZEntBRhJSTMfogkSobURCfo,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLnRiemFGRV9EMnpF,2023-05-16T11:00:40Z,UCNqzAD9EiECreuH6LA8IYeA,REUNIÕES SECRETAS: empresa de reconhecimento facial ofereceu fotos de brasileiros para polícias,"Se você tem perfis nas redes sociais ou seu rosto já apareceu na imprensa, uma imagem sua já pode estar entre as 3 bilhões que a empresa norte-americana Clearview AI afirma ter do Brasil. Em reuniões secretas, a empresa ofereceu 3 bilhões de imagens de brasileiros para polícias e Ministério da Justiça.
Leia mais em https://intercept.com.br

Faça parte do TIB: https://intercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/tbzaFE_D2zE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/tbzaFE_D2zE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/tbzaFE_D2zE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/tbzaFE_D2zE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/tbzaFE_D2zE/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,5,youtube#video,tbzaFE_D2zE,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,U97vv5iSNv3k06XCNHUo-0uaLGs,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLjgyWEp0ZnFfTkF3,2023-05-09T15:00:12Z,UCNqzAD9EiECreuH6LA8IYeA,ENTENDA A BRIGA DO PL DAS FAKE NEWS,"Viu que a votação do PL das fake news foi adiada? A notícia foi motivo de celebração para a extrema direita e as Big Techs. O caso evidencia o poder de lobby que essas empresas exercem no país. Entenda o que está em jogo.

Faça parte do TIB agora: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/82XJtfq_NAw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/82XJtfq_NAw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/82XJtfq_NAw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/82XJtfq_NAw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/82XJtfq_NAw/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,6,youtube#video,82XJtfq_NAw,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,FMUMhAI-xC4KwC8cdtk1rP9GmDc,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLkROeWY4LVBPWE1Z,2023-04-24T12:00:08Z,UCNqzAD9EiECreuH6LA8IYeA,Delegacia 'influencer' expõe fotos restritas de presos,"Com quase quatro mil seguidores no Instagram, o perfil da 14ª DP do Rio de Janeiro era muito ativo, cheio de imagens de operações, vídeos de suspeitos e fotos de uso interno – ou seja, que não poderiam ser divulgadas ao público. Após nossos questionamentos, o perfil foi desativado. Mas nós registramos o que encontramos por lá. 
Leia mais em https://intercept.com.br

Faça parte do TIB: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/DNyf8-POXMY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/DNyf8-POXMY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/DNyf8-POXMY/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/DNyf8-POXMY/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/DNyf8-POXMY/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,7,youtube#video,DNyf8-POXMY,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,O9X9TQw1NICg40qoZ5mbU6PN6Wo,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLng0TW02R0tsVnpj,2023-04-20T20:00:25Z,UCNqzAD9EiECreuH6LA8IYeA,ESSA CANECA DO INTERCEPT PODE SER SUA!,"Essa é a sua chance de ter um pedaço do Intercept na sua casa. Você pode se juntar à nossa comunidade de membros, formada por aqueles que acreditam no nosso trabalho. Garanta hoje mesmo uma caneca exclusiva do Intercept deste que passou a ser um símbolo do nosso jornalismo independente. Mas precisa ser rápido! É uma edição limitada. #EuQuero https://ajude.intercept.com.br

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/x4Mm6GKlVzc/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/x4Mm6GKlVzc/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/x4Mm6GKlVzc/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/x4Mm6GKlVzc/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/x4Mm6GKlVzc/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,8,youtube#video,x4Mm6GKlVzc,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
youtube#playlistItem,GMR6kxRz983mufc22WNRIMer2XY,VVVOcXpBRDlFaUVDcmV1SDZMQThJWWVBLnlfZlZNcUNtS1Fr,2023-04-10T20:30:08Z,UCNqzAD9EiECreuH6LA8IYeA,QUEM ROUBA NOSSA TERRA: Por dentro da indústria da grilagem,"Conheça o passo a passo da indústria da grilagem no Brasil, um esquema que envolve engenheiros, corretores, órgãos públicos e muito dinheiro. Eles transformam enormes áreas na Amazônia em pasto para gado e local para derrubada de madeira.
Leia mais em https://intercept.com.br/series/ladroes-de-floresta/

Esta reportagem faz parte do projeto Ladrões de Floresta, que investiga a grilagem em terras públicas da Amazônia e conta com o apoio da Rainforest Investigations Network, do Pulitzer Center.

Faça parte do TIB: https://theintercept.com/ajude

Inscreva-se no canal e ative as notificações: http://bit.ly/2vrZW2z
Assine nossa newsletter gratuita: http://interc.pt/ytNews

Quer sugerir uma pauta? Envie um e-mail para pautas@theintercept.com","{'url': 'https://i.ytimg.com/vi/y_fVMqCmKQk/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/y_fVMqCmKQk/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/y_fVMqCmKQk/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/y_fVMqCmKQk/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/y_fVMqCmKQk/maxresdefault.jpg', 'width': 1280, 'height': 720}",The Intercept Brasil,UUNqzAD9EiECreuH6LA8IYeA,9,youtube#video,y_fVMqCmKQk,The Intercept Brasil,UCNqzAD9EiECreuH6LA8IYeA,EAAaBlBUOkNESQ,2023-06-05 19:59:27.697801
