kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,snippet.thumbnails.maxres,nextPageToken,extraction_date
youtube#playlistItem,ULZ0vnw0VhqGafFskS0LJKnSrrY,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LlVobFduSjJlQjhJ,2023-03-11T16:58:28Z,UC96rpbKFy1ghtPHOJjE6klw,carpinteiro Pregador! @danielesamueloficial,,"{'url': 'https://i.ytimg.com/vi/UhlWnJ2eB8I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/UhlWnJ2eB8I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/UhlWnJ2eB8I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/UhlWnJ2eB8I/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,0,youtube#video,UhlWnJ2eB8I,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,8N0KkfaKduwbSnuGjsQFuG4Q6vc,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3Lk11OFlSbmFOMmR3,2023-03-11T16:56:42Z,UC96rpbKFy1ghtPHOJjE6klw,pensando bem! @JNetoOficial,,"{'url': 'https://i.ytimg.com/vi/Mu8YRnaN2dw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Mu8YRnaN2dw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Mu8YRnaN2dw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Mu8YRnaN2dw/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,1,youtube#video,Mu8YRnaN2dw,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,cG5_mn7d4Xtqd5iAgQkQOZs82FA,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3Lk5ram9FelVLcFZv,2022-04-08T03:48:01Z,UC96rpbKFy1ghtPHOJjE6klw,Meu Tributo,Reunião Geral da 12° Região CIEADEP,"{'url': 'https://i.ytimg.com/vi/NkjoEzUKpVo/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/NkjoEzUKpVo/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/NkjoEzUKpVo/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/NkjoEzUKpVo/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,2,youtube#video,NkjoEzUKpVo,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,-44CJ1rO5XH4KBaIwyPmOH2ujZo,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3Lkpxdm9hSzlUNWl3,2022-04-08T03:46:20Z,UC96rpbKFy1ghtPHOJjE6klw,você é especial! ensaio com os amigos!,,"{'url': 'https://i.ytimg.com/vi/JqvoaK9T5iw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JqvoaK9T5iw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JqvoaK9T5iw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JqvoaK9T5iw/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,3,youtube#video,JqvoaK9T5iw,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,"{'url': 'https://i.ytimg.com/vi/JqvoaK9T5iw/maxresdefault.jpg', 'width': 1280, 'height': 720}",,2023-06-06 00:29:56.642949
youtube#playlistItem,lCOkZUtE26CBOzaOsYoJ7DnVAjg,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LmJNSk5NZURFMVRn,2022-04-08T03:45:55Z,UC96rpbKFy1ghtPHOJjE6klw,Ta chorando Porquê  AD Assis Chateaubriand PR,,"{'url': 'https://i.ytimg.com/vi/bMJNMeDE1Tg/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/bMJNMeDE1Tg/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/bMJNMeDE1Tg/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/bMJNMeDE1Tg/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,4,youtube#video,bMJNMeDE1Tg,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,njwatquY0zr_idQTBCDZHM9hjng,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LjZqbW5aM09KZGRF,2022-04-08T03:35:16Z,UC96rpbKFy1ghtPHOJjE6klw,É a Tua Presença!!! Daniel e Tallita,,"{'url': 'https://i.ytimg.com/vi/6jmnZ3OJddE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/6jmnZ3OJddE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/6jmnZ3OJddE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/6jmnZ3OJddE/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,5,youtube#video,6jmnZ3OJddE,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,2bR-MNsPr2NlzKhKli0-EtjEaOA,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LkQzUnZiX3VmdDI4,2022-04-08T03:27:10Z,UC96rpbKFy1ghtPHOJjE6klw,Estou contigo!!! Ensaiando com os amigos!!!,,"{'url': 'https://i.ytimg.com/vi/D3Rvb_uft28/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/D3Rvb_uft28/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/D3Rvb_uft28/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/D3Rvb_uft28/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,6,youtube#video,D3Rvb_uft28,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,"{'url': 'https://i.ytimg.com/vi/D3Rvb_uft28/maxresdefault.jpg', 'width': 1280, 'height': 720}",,2023-06-06 00:29:56.642949
youtube#playlistItem,SCw61ocKNfU8BaWA5CuZF6vdIFw,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LkthY3YyZDdlVnZz,2022-04-08T03:20:42Z,UC96rpbKFy1ghtPHOJjE6klw,Nenhuma condenação Há AD Jd.Progresso!,,"{'url': 'https://i.ytimg.com/vi/Kacv2d7eVvs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Kacv2d7eVvs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Kacv2d7eVvs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Kacv2d7eVvs/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,7,youtube#video,Kacv2d7eVvs,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,rWdXOEnMZBRXs58bRZKU4niMJlQ,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LkRMOWN6Y25ZTlN3,2022-04-08T03:15:33Z,UC96rpbKFy1ghtPHOJjE6klw,Carpinteiro pregador AD Assis Chateaubriand PR,,"{'url': 'https://i.ytimg.com/vi/DL9czcnYNSw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/DL9czcnYNSw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/DL9czcnYNSw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/DL9czcnYNSw/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,8,youtube#video,DL9czcnYNSw,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
youtube#playlistItem,psntMG24b8Wf1UutvSTMq6AwcDc,VVU5NnJwYktGeTFnaHRQSE9KakU2a2x3LnpXNlZCaUVTZXJV,2021-06-28T17:04:28Z,UC96rpbKFy1ghtPHOJjE6klw,Adorarei!!! AD Assis Chateaubriand- PR,,"{'url': 'https://i.ytimg.com/vi/zW6VBiESerU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/zW6VBiESerU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/zW6VBiESerU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/zW6VBiESerU/sddefault.jpg', 'width': 640, 'height': 480}",danielalvarengaoficial,UU96rpbKFy1ghtPHOJjE6klw,9,youtube#video,zW6VBiESerU,danielalvarengaoficial,UC96rpbKFy1ghtPHOJjE6klw,,,2023-06-06 00:29:56.642949
