kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,ikbLcNqTtdLkjHuU_ZnMAPAshqc,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLmNkbWdtLXJETDVn,2023-06-02T13:58:34Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,#255: Ordenhando a boiada | Foro de Teresina - o podcast de política da piauí,"Os entraves para a aprovação da MP da Esplanada revelam a fragilidade do governo no Congresso e o poder de Arthur Lira - e este é um dos assuntos do Foro #255. O trio de apresentadores trata do embate entre governo e Congresso e comenta as mudanças na Lei da Mata Atlântica e a aprovação do Marco Temporal na Câmara. Por fim, o programa analisa a repercussão da fala de Lula sobre o regime ditatorial venezuelano.

Escalada: 00:00
1º bloco: 04:42
2º bloco: 23:15
3º bloco: 37:44
Kinder Ovo: 49:36
Correio Elegante: 52:30
Créditos: 57:11

Bloco 1: Presidencialismo de pé quebrado
A Medida Provisória que organiza a Esplanada dos Ministérios foi aprovada, com muito esforço e emendas bilionárias. A demora na votação da pauta foi mais uma demonstração do poder de Arthur Lira, o que intensificou a pressão e ressaltou a fragilidade na articulação do governo.

Bloco 2: Uma avenida para a boiada passar
Com a aprovação do novo Marco Temporal e das alterações na Lei da Mata Atlântica, é muito difícil que o Governo consiga entregar o “desmatamento zero” prometido na campanha.

Bloco 3: Pegou mal
Após receber Nicolás Maduro no Palácio do Planalto, Lula disse que havia uma “narrativa mundial” sobre o regime ditatorial da Venezuela. A fala apagou a repercussão do encontro do presidente com os líderes dos países vizinhos, que deveria ser uma afirmação do presidente como líder regional.



Para acessar reportagens citadas nesse episódio: https://piaui.co/foro255
 
​​​​​​​​​​Assista aos bastidores da gravação:  https://piaui.co/ftprivilegiado​
 
​​​​​Aqui, uma playlist com todos os episódios do Foro:  https://piaui.co/playlistforo​
 
​​​​​​​​​​O Foro de Teresina é o podcast de política da revista piauí, que vai ao ar todas as sextas-feiras, a partir das 11h. 
 
O programa é uma produção da Rádio Novelo para a revista piauí.
 
Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).Para acessar reportagens citadas nesse episódio: https://piaui.co/foro254

Ficha técnica:

Apresentação: Fernando de Barros e Silva, José Roberto de Toledo e Thais Bilenky
Coordenação geral: Évelin Argenta
Direção: Mari Faria
Edição: Évelin Argenta e Tiago Picado
Produção: Maria Júlia Vieira e Marcos Amorozo
Apoio de produção: Barbara Rubira
Produção musical, finalização e mixagem: João Jabace
Música tema: Wânya Sales e Beto Boreno
Identidade visual: João Brizzi
Ilustração: Fernando Carvall
Teaser (Foro Privilegiado): Mari Faria
Distribuição: Marcos Amorozo
Coordenação digital: FêCris Vasconcellos e Bia Ribeiro
Checagem: João Felipe Carvalho  
​​​​​​​​​​
Envie sua mensagem para o Correio Elegante no nosso e-mail: forodeteresina@revistapiaui.com.br","{'url': 'https://i.ytimg.com/vi/cdmgm-rDL5g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cdmgm-rDL5g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cdmgm-rDL5g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cdmgm-rDL5g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/cdmgm-rDL5g/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,0,youtube#video,cdmgm-rDL5g,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,JoXCQ-TUDZW-tfHq0XlFRNS8bBI,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLmFURFRYeWVzS1hZ,2023-06-02T00:30:01Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,Foro Privilegiado: Por que ouvir o Foro de Teresina #255,"Assista ao Foro Privilegiado, o vídeo dos bastidores da gravação do próximo #ForodeTeresina com Fernando de Barros e Silva, José Roberto de Toledo e Thaís Bilenky. O episódio #255 estará disponível no site da piauí às 11 horas no seu tocador preferido

O podcast é uma produção da Rádio Novelo para a revista piauí. 

Inscreva-se no canal para ser avisado de novos vídeos.

Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).
Conheça mais sobre o podcast","{'url': 'https://i.ytimg.com/vi/aTDTXyesKXY/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/aTDTXyesKXY/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/aTDTXyesKXY/hqdefault.jpg', 'width': 480, 'height': 360}",,,revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,1,youtube#video,aTDTXyesKXY,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,VXRr4Yi0zWEqY0_AKoxY1T-NIZE,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLlBWOV9JUG0yeGhF,2023-05-30T19:38:04Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,Governo Lula está de mãos atadas em negociação na MP da organização dos ministérios | Cortes do Foro,"Comentário por:  Thaís Bilenky (@thais_bilenky)

EPISÓDIO 254 COMPLETO: https://youtu.be/58esrMfglBA
 
Para saber mais informações sobre este episódio: https://piaui.co/foro254

Aqui, uma playlist com todos os episódios do Foro de Teresina: http://piaui.co/playlistforo​​​

​​​​​​O podcast é uma produção da Rádio Novelo para a revista piauí.

Inscreva-se no canal para ser avisado de novos vídeos.

Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).","{'url': 'https://i.ytimg.com/vi/PV9_IPm2xhE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PV9_IPm2xhE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PV9_IPm2xhE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PV9_IPm2xhE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PV9_IPm2xhE/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,2,youtube#video,PV9_IPm2xhE,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,FsneCLBf-CSRJZSTraAqsaTGk40,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLjU4ZXNyTWZnbEJB,2023-05-26T14:29:38Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,#254: Um chute no preconceito | Foro de Teresina - o podcast de política da piauí,"Os casos de racismo contra o atacante Vinicius Júnior, a reação nas redes sociais e a politização do futebol - esses são alguns dos assuntos do Foro #254. O trio de apresentadores também comenta a MP dos Ministérios, que desidrata pastas progressistas, entre elas a do Meio Ambiente. Por fim, o programa analisa o avanço das investigações sobre os ataques do 8 de janeiro e a falta de nomes expressivos da base governista na CPI dos atos golpistas.

Escalada: 00:00
1º bloco: 05:10
2º bloco: 24:31
3º bloco: 40:34
Kinder Ovo: 50:50
Correio Elegante: 52:58
Créditos: 56:59

Bloco 1: O racismo tem que custar caro
No último domingo, a torcida do clube espanhol Valencia desferiu xingamentos racistas contra o brasileiro Vinicius Júnior, atacante do Real Madrid. A reação do jogador desencadeou uma onda de inconformismo e solidariedade nas redes sociais. 

Bloco 2: O Centrão de olho no governo
O embate sobre a exploração de petróleo próximo à foz do Rio Amazonas e as mudanças na Esplanada dos Ministérios propostas pela Câmara que esvaziam o Ministério do Meio Ambiente impõem uma crise na política ambiental do governo Lula.

Bloco 3: 8 de janeiro - O que há de novo?
A prisão do major Flávio Silvestre de Alencar, responsável pela segurança da Praça dos Três Poderes, é uma das novidades nas investigações sobre os ataques de 8 de janeiro. As atitudes do major são evidências da conivência do comando da Polícia Militar do Distrito Federal com os golpistas. 

Para acessar reportagens citadas nesse episódio: https://piaui.co/foro254
 
​​​​​​​​​​Assista aos bastidores da gravação:  https://piaui.co/ftprivilegiado​
 
​​​​​Aqui, uma playlist com todos os episódios do Foro:  https://piaui.co/playlistforo​
 
​​​​​​​​​​O Foro de Teresina é o podcast de política da revista piauí, que vai ao ar todas as sextas-feiras, a partir das 11h. 
 
O programa é uma produção da Rádio Novelo para a revista piauí.
 
Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).

Ficha técnica:
Apresentação: Fernando de Barros e Silva, José Roberto de Toledo e Thais Bilenky
Coordenação geral: Évelin Argenta
Direção: Mari Faria
Edição: Évelin Argenta e Tiago Picado
Produção: Marcos Amorozo e Maria Júlia Vieira
Apoio de produção: Barbara Rubira
Produção musical, finalização e mixagem: João Jabace
Música tema: Wânya Sales e Beto Boreno
Identidade visual: João Brizzi
Ilustração: Fernando Carvall
Teaser (Foro Privilegiado): Mari Faria
Distribuição: Marcos Amorozo
Coordenação digital: FêCris Vasconcellos e Bia Ribeiro
Checagem: Nathália Afonso 
Para falar com a equipe: forodeteresina@revistapiaui.com.br","{'url': 'https://i.ytimg.com/vi/58esrMfglBA/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/58esrMfglBA/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/58esrMfglBA/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/58esrMfglBA/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/58esrMfglBA/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,3,youtube#video,58esrMfglBA,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,k2wUUk0ItRaL9Ws5nZNKFdfER1o,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLjhObHJoZzJVWW4w,2023-05-26T13:52:29Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,Foro Privilegiado: Por que ouvir o Foro de Teresina #254,"Assista ao Foro Privilegiado, o vídeo dos bastidores da gravação do próximo #ForodeTeresina com Fernando de Barros e Silva, José Roberto de Toledo e Thaís Bilenky. O episódio #254 estará disponível no site da piauí às 11 horas no seu tocador preferido

O podcast é uma produção da Rádio Novelo para a revista piauí. 

Inscreva-se no canal para ser avisado de novos vídeos.

Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).","{'url': 'https://i.ytimg.com/vi/8Nlrhg2UYn0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/8Nlrhg2UYn0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/8Nlrhg2UYn0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/8Nlrhg2UYn0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/8Nlrhg2UYn0/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,4,youtube#video,8Nlrhg2UYn0,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,Xx3REyg2nJwopOXBwqF_hPomIuE,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLjR6UzZwdXBtWEFJ,2023-05-23T15:25:16Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,Centrão chantageia governo Lula em troca de apoio nas votações no Congresso | Cortes do Foro #253,"Comentário por:  Thaís Bilenky (@thais_bilenky)

EPISÓDIO 253 COMPLETO: https://youtu.be/3RywvBTTHRw
 
Para saber mais informações sobre este episódio: https://piaui.co/foro253

Aqui, uma playlist com todos os episódios do Foro de Teresina: http://piaui.co/playlistforo​​​

​​​​​​O podcast é uma produção da Rádio Novelo para a revista piauí.

Inscreva-se no canal para ser avisado de novos vídeos.

Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).","{'url': 'https://i.ytimg.com/vi/4zS6pupmXAI/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/4zS6pupmXAI/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/4zS6pupmXAI/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/4zS6pupmXAI/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/4zS6pupmXAI/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,5,youtube#video,4zS6pupmXAI,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,BmwQOdaMQ8Ou-TNMT9xRDqDMS4U,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLjNSeXd2QlRUSFJ3,2023-05-19T13:56:08Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,"#253: Ladrão de manchetes - 5 anos de Foro de Teresina, o podcast de política da piauí","No aniversário de cinco anos, o Foro de Teresina fala das investigações da PF sobre Mauro Cid, do esquema de rachadinhas envolvendo Michelle Bolsonaro e dos planos golpistas de militares do governo Bolsonaro. O programa também comenta a cassação da candidatura de Deltan Dallagnol pelo TSE e as discussões do marco fiscal no Congresso. 

Para aproveitar 30 dias de MUBI grátis: https://mubi.com/foro 

Escalada: 00:00
1º bloco: 07:15
2º bloco: 22:36
3º bloco: 37:50
Kinder Ovo: 52:10
Momento Cabeção: 54:18
Correio Elegante: 1:01:34
Créditos: 1:07:56

Bloco 1: Com rachadinha, com golpe
A PF identificou conversas entre Mauro Cid, ex-assessor de Jair Bolsonaro, e assessores de Michele Bolsonaro sobre o uso de dinheiro em espécie para o pagamento de despesas da ex-primeira-dama. As investigações também localizaram mensagens detalhando estratégias para rejeitar o resultado das eleições. 

Bloco 2: Corrupção só dos outros
O Tribunal Superior Eleitoral cassou, por unanimidade, o registro da candidatura e, por consequência, o mandato de Deltan Dallagnol, ex-procurador da Lava Jato. O ministro Benedito Gonçalves, relator do caso, afirmou que Dallagnol tentou burlar a Lei da Ficha Limpa ao pedir exoneração do cargo em meio a processos internos que poderiam levar à inelegibilidade.

Bloco 3: Quem está dentro do arcabouço?
A Câmara dos Deputados aprovou nesta quarta-feira a urgência do projeto do novo marco fiscal. Com isso, o tema pode ser votado em plenário sem precisar passar pelas comissões da Casa. Esse vai ser o primeiro grande teste de apoio do governo dentro do Congresso.

Momento Cabeção:
No “Momento Cabeção”, quadro em que os apresentadores indicam livros, filmes, podcasts e documentários aos ouvintes, eles sugeriram as seguintes leituras:

Toledo:
Operação impeachment: Dilma Rousseff e o Brasil da Lava Jato, livro de Fernando Limongi;
Os Encanadores da Casa Branca, série da HBO Max;
Palomares, série da HBO Max.

Thaís:
A incrível história de António Salazar, o ditador que morreu duas vezes, livro de Marco Ferrari;
Os Pacientes do Dr. García, série da Netflix;
A Menina Claudia e o Rinoceronte, livro de Ferreira Gullar.

Fernando:
A divina comédia dos Mutantes, livro de por Carlos Calado;
Submissão, livro de Michel Houellebecq.

Para acessar reportagens citadas nesse episódio: https://piaui.co/foro253
 
​​​​​​​​​​Assista aos bastidores da gravação:  https://piaui.co/ftprivilegiado​
 
​​​​​Aqui, uma playlist com todos os episódios do Foro:  https://piaui.co/playlistforo​
 
​​​​​​​​​​O Foro de Teresina é o podcast de política da revista piauí, que vai ao ar todas as sextas-feiras, a partir das 11h. 
 
O programa é uma produção da Rádio Novelo para a revista piauí.
 
Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).

Ficha técnica:
Apresentação: Fernando de Barros e Silva, José Roberto de Toledo e Thais Bilenky
Coordenação geral: Évelin Argenta
Direção: Mari Faria
Edição: Évelin Argenta e Tiago Picado
Produção: Marcos Amorozo
Apoio de produção: Bárbara Rubira
Produção musical, finalização e mixagem: João Jabace
Música tema: Wânya Sales e Beto Boreno
Identidade visual: João Brizzi
Ilustração: Fernando Carvall
Teaser (Foro Privilegiado): Mari Faria
Distribuição: Thallys Braga
Coordenação digital: FêCris Vasconcellos e Bia Ribeiro
Checagem: João Felipe Carvalho","{'url': 'https://i.ytimg.com/vi/3RywvBTTHRw/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/3RywvBTTHRw/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/3RywvBTTHRw/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/3RywvBTTHRw/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/3RywvBTTHRw/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,6,youtube#video,3RywvBTTHRw,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,NCPdkuz0jId6rx8_auxuo2oFI_E,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLjJnamZWMmdFQk9z,2023-05-18T22:50:06Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,Foro Privilegiado: Cinco anos de Foro de Teresina #253,"O Foro tá de parabéns e você vê o vídeo com os bastidores da gravação do episódio de aniversário. Fernando de Barros e Silva, José Roberto de Toledo e Thais Bilenky analisam os fatos políticos da semana e você ouve tudo nesta sexta, às 11h, no site da piauí e no seu tocador preferido.

O podcast é uma produção da Rádio Novelo para a revista piauí. 

Inscreva-se no canal para ser avisado de novos vídeos.

Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).","{'url': 'https://i.ytimg.com/vi/2gjfV2gEBOs/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2gjfV2gEBOs/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2gjfV2gEBOs/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2gjfV2gEBOs/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2gjfV2gEBOs/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,7,youtube#video,2gjfV2gEBOs,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,--sbRaYMK3diQK7PujL5AmD5mPA,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLlh1SnlCZkRxNzJF,2023-05-15T22:36:20Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,Coronel Cid terá que decidir se vai delatar Bolsonaro ou afundar sozinho | Cortes do Foro #252,"Comentário por: José  Roberto de Toledo (@zerotoledo)

EPISÓDIO 252 COMPLETO: https://youtu.be/W30npwVakhw
 
Para saber mais informações sobre este episódio: https://piaui.co/foro252

Aqui, uma playlist com todos os episódios do Foro de Teresina: http://piaui.co/playlistforo​​​

​​​​​​O podcast é uma produção da Rádio Novelo para a revista piauí.

Inscreva-se no canal para ser avisado de novos vídeos.

Ouça também os outros podcasts da piauí: o Maria vai com as outras, sobre mulheres e mercado de trabalho (https://piaui.co/playlistmaria​​​​​​​​​), e A Terra é redonda, sobre ciência e meio ambiente (https://piaui.co/playlistaterra​​​​​​).","{'url': 'https://i.ytimg.com/vi/XuJyBfDq72E/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/XuJyBfDq72E/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/XuJyBfDq72E/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/XuJyBfDq72E/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/XuJyBfDq72E/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,8,youtube#video,XuJyBfDq72E,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
youtube#playlistItem,Ghpa9jk9T9K5Ztc3NpHwtiI9OPo,VVVxLVY4Ql90X2dVV2xBSjVZYUpTUnpRLjI5RENtaFZjYTVB,2023-05-13T13:00:02Z,UCq-V8B_t_gUWlAJ5YaJSRzQ,A vida da #mulherdepreso | vídeo piauí,"Mulheres de presos vêm conquistando cada vez mais seguidores e curtidas ao expor nas redes sociais os percalços e as satisfações de serem casadas com presidiários. Na reportagem de João Batista Jr para a piauí de maio, Mischa Lemos (@mischa.lemos) Marta Carollina (@guiadapordeus011) falam um pouco sobre suas rotinas.

Leia na íntegra: https://piaui.co/3VWh4sl","{'url': 'https://i.ytimg.com/vi/29DCmhVca5A/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/29DCmhVca5A/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/29DCmhVca5A/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/29DCmhVca5A/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/29DCmhVca5A/maxresdefault.jpg', 'width': 1280, 'height': 720}",revista piauí,UUq-V8B_t_gUWlAJ5YaJSRzQ,9,youtube#video,29DCmhVca5A,revista piauí,UCq-V8B_t_gUWlAJ5YaJSRzQ,EAAaBlBUOkNESQ,2023-06-05 20:04:20.448937
