kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,gNGNiJZTc38sqLQQN5WsA_OXWRE,UgyqNxRLtFVxP5JZqp94AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'zsfVde_CTpgSwh-5ikUemftQVmw', 'id': 'UgyqNxRLtFVxP5JZqp94AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'TÁ NA HORA DO JAIR DO JAIR EMBORA<br>HAHAHAHAHA<br>ESSAS FAKES NEWS EU NAO CAIO MAIS <br>         ♦️♦️♦️♦️🇧🇷♦️♦️♦️♦️<br>                      💓LULA LÁ 💓', 'textOriginal': 'TÁ NA HORA DO JAIR DO JAIR EMBORA\nHAHAHAHAHA\nESSAS FAKES NEWS EU NAO CAIO MAIS \n         ♦️♦️♦️♦️🇧🇷♦️♦️♦️♦️\n                      💓LULA LÁ 💓', 'authorDisplayName': 'Bryan Raphael Rezende dos Santos', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOMcE11tiMtTs4rMKE29ZdPkuF9vurD2CHqx-NJqz7NuAccNgbu25tHi8bICV5M=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC_g1t6q_Ey2aXIWjiwT5cwg', 'authorChannelId': {'value': 'UC_g1t6q_Ey2aXIWjiwT5cwg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-25T12:34:24Z', 'updatedAt': '2022-11-25T12:34:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC_g1t6q_Ey2aXIWjiwT5cwg,2022-11-25T12:34:24Z,"TÁ NA HORA DO JAIR DO JAIR EMBORA
HAHAHAHAHA
ESSAS FAKES NEWS EU NAO CAIO MAIS 
         ♦️♦️♦️♦️🇧🇷♦️♦️♦️♦️
                      💓LULA LÁ 💓",QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,nFZH005SQFW0b4Y4eSQ_AIzB7q0,UgxaBJDttg5KpIgQ8OF4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'v5dbFLl8iZx37_8B5c0TA5zXv2w', 'id': 'UgxaBJDttg5KpIgQ8OF4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'VOLTEI PARA DIZER QUE, INFELIZMENTE O POVO ESCOLHEU O LADO SOMBRIO! <br>AGUENTEM AS CONSEQUÊNCIAS FUTURAS😪😪', 'textOriginal': 'VOLTEI PARA DIZER QUE, INFELIZMENTE O POVO ESCOLHEU O LADO SOMBRIO! \nAGUENTEM AS CONSEQUÊNCIAS FUTURAS😪😪', 'authorDisplayName': 'Zuleika Neto', 'authorProfileImageUrl': 'https://yt3.ggpht.com/U6Ksb5CXbaT7RLNlO6ILQXPYONo6q7rjV91Cw7FeVu7iEvnhasCyvrTx8aZ1IOx6CAm6liGI=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCEWPuA1sNBPAuOVuUOK-cWg', 'authorChannelId': {'value': 'UCEWPuA1sNBPAuOVuUOK-cWg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-31T09:36:15Z', 'updatedAt': '2022-10-31T09:36:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCEWPuA1sNBPAuOVuUOK-cWg,2022-10-31T09:36:15Z,"VOLTEI PARA DIZER QUE, INFELIZMENTE O POVO ESCOLHEU O LADO SOMBRIO! 
AGUENTEM AS CONSEQUÊNCIAS FUTURAS😪😪",QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,1BP_J3E8WCLMJ-QintMe95kcLnA,UgyWNCMtGm9CpK_yHiR4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4xrpdbXptI53xz9TM8dF3DzB0Zc', 'id': 'UgyWNCMtGm9CpK_yHiR4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'Um recadinho para o e*-presidiário. 👇<br><br>Provérbios <a href=""https://www.youtube.com/watch?v=DOTvO9k15vI&amp;t=11m27s"">11:27</a><br>&quot;O que cedo busca o bem, busca favor, mas o que procura o mal, esse lhe sobrevirá.&quot;<br><br>Provérbios 17: 5<br>&quot;O que escarnece do pobre insulta ao seu Criador, o que se alegra da calamidade não ficará impune.&quot;<br><br>Na versão de hoje 👇<br><br>&quot;Quem caçoa do podre insulta a Deus, que o fez; quem se alegra com a desgraça dos outros será castigado.&quot;', 'textOriginal': 'Um recadinho para o e*-presidiário. 👇\n\nProvérbios 11:27\n""O que cedo busca o bem, busca favor, mas o que procura o mal, esse lhe sobrevirá.""\n\nProvérbios 17: 5\n""O que escarnece do pobre insulta ao seu Criador, o que se alegra da calamidade não ficará impune.""\n\nNa versão de hoje 👇\n\n""Quem caçoa do podre insulta a Deus, que o fez; quem se alegra com a desgraça dos outros será castigado.""', 'authorDisplayName': 'Adenilza Cristo AMO MEU CRIADOR ALTÍSSIMO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/TuQVuf1LThnzimgSVYEiJjrIMQPduHc8Por6oj-8R0a9-16tEBWbk7NYFjTMMTF0OQLxfvRwbwY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJhB8zC5j7QARWzgGl7fuiw', 'authorChannelId': {'value': 'UCJhB8zC5j7QARWzgGl7fuiw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T17:05:49Z', 'updatedAt': '2022-10-18T17:05:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCJhB8zC5j7QARWzgGl7fuiw,2022-10-18T17:05:49Z,"Um recadinho para o e*-presidiário. 👇

Provérbios 11:27
""O que cedo busca o bem, busca favor, mas o que procura o mal, esse lhe sobrevirá.""

Provérbios 17: 5
""O que escarnece do pobre insulta ao seu Criador, o que se alegra da calamidade não ficará impune.""

Na versão de hoje 👇

""Quem caçoa do podre insulta a Deus, que o fez; quem se alegra com a desgraça dos outros será castigado.""",QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,B0Lp4CkhcZBX9ODtSnONGURU8K8,UgxcHI_7L6jyYLytVXF4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'ANY5mOKWg_BoTshBYpJJryjiD-s', 'id': 'UgxcHI_7L6jyYLytVXF4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'Deus nos ajude a convencer essas pessoas que não consegue envergar que o mal precisa ser derrotado 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏', 'textOriginal': 'Deus nos ajude a convencer essas pessoas que não consegue envergar que o mal precisa ser derrotado 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏', 'authorDisplayName': 'maria luzia', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqO1Vv7ZbLYemD8AAwACmZZS3Op_PJQ00M35cw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2CSc_NKawr2CAzF_vkWbgQ', 'authorChannelId': {'value': 'UC2CSc_NKawr2CAzF_vkWbgQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-13T09:38:41Z', 'updatedAt': '2022-10-13T09:38:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC2CSc_NKawr2CAzF_vkWbgQ,2022-10-13T09:38:41Z,Deus nos ajude a convencer essas pessoas que não consegue envergar que o mal precisa ser derrotado 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,YL778JCAvXNo2Q7l8fq5mM5l8c0,Ugx1vVfgX4McUMdexjx4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'jBxwsjVSgap62aYVj73n3KipysU', 'id': 'Ugx1vVfgX4McUMdexjx4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'Up', 'textOriginal': 'Up', 'authorDisplayName': 'Andersom saúde', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNhce_OnktNQutKC882m5DkJwOJXlFILfD-hQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC6GGRGqsBV3ZLFvlbfl2hjw', 'authorChannelId': {'value': 'UC6GGRGqsBV3ZLFvlbfl2hjw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T15:21:17Z', 'updatedAt': '2022-10-12T15:21:17Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC6GGRGqsBV3ZLFvlbfl2hjw,2022-10-12T15:21:17Z,Up,QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,jz_-oTyOitulhZ3G-3prv8a34Bc,UgxLwRZQphcsrIa-JUB4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mOD5FwRlH9NQ8FtlVgjRGtFf5KI', 'id': 'UgxLwRZQphcsrIa-JUB4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'E as urnas? Como podemos confiar ? Qual a segurança que temos ?', 'textOriginal': 'E as urnas? Como podemos confiar ? Qual a segurança que temos ?', 'authorDisplayName': 'Saionara Quadros Maciel', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPi6KlYbktX23C7zyERFtC7OVam75XlE8ZBZKsY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCZ3fC6sXR_uSZEoaYigbpWg', 'authorChannelId': {'value': 'UCZ3fC6sXR_uSZEoaYigbpWg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-12T13:20:01Z', 'updatedAt': '2022-10-12T13:20:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCZ3fC6sXR_uSZEoaYigbpWg,2022-10-12T13:20:01Z,E as urnas? Como podemos confiar ? Qual a segurança que temos ?,QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,31Mp7Sscdlqjtv_OGK1M_F08YAg,UgxJ6F02hWkhUtaUWtZ4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '4qa44_sPZ7A51ZgjPsulw2pn9y4', 'id': 'UgxJ6F02hWkhUtaUWtZ4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'TRISTONHO LULALIXO 🤢🤢🤮🤮', 'textOriginal': 'TRISTONHO LULALIXO 🤢🤢🤮🤮', 'authorDisplayName': 'GODOROZO', 'authorProfileImageUrl': 'https://yt3.ggpht.com/lDgRKy7NWRI6FkxoA9yJwtV7mAEl2E4DoJjzY88DEKYQOgL-gLJgndthtPz5uL9C1hv1nyw5aeY=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC7HeZ0PGK33I9M_wTQr4E1A', 'authorChannelId': {'value': 'UC7HeZ0PGK33I9M_wTQr4E1A'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-11T10:41:15Z', 'updatedAt': '2022-10-11T10:41:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC7HeZ0PGK33I9M_wTQr4E1A,2022-10-11T10:41:15Z,TRISTONHO LULALIXO 🤢🤢🤮🤮,QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,flXu6k6xW_gSk-avysSA9wkQOFc,Ugxz1jNRsdVEJDX0BtR4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '5eBGoLW6G-imf1KFp1PMb_kueRY', 'id': 'Ugxz1jNRsdVEJDX0BtR4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'FORÇA PRESIDENTE!  TODAS AS PROFECIAS REVELADAS EM SETEMBRO DE 2017 ESTÃO SE CUMPRINDO. PEDIR A CRIANÇA PARA  ORAR O PAI NOSSO NO NASCER DO SOL PARA MANTER A ESPIRITUALIDADE.', 'textOriginal': 'FORÇA PRESIDENTE!  TODAS AS PROFECIAS REVELADAS EM SETEMBRO DE 2017 ESTÃO SE CUMPRINDO. PEDIR A CRIANÇA PARA  ORAR O PAI NOSSO NO NASCER DO SOL PARA MANTER A ESPIRITUALIDADE.', 'authorDisplayName': 'World Music', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPxRAo7Bn-wQedagHCp3YB-eRbVP4Dvmdn1=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCDv58MihpoR1CdSgIIz-C1w', 'authorChannelId': {'value': 'UCDv58MihpoR1CdSgIIz-C1w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-11T00:41:19Z', 'updatedAt': '2022-10-11T00:41:19Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCDv58MihpoR1CdSgIIz-C1w,2022-10-11T00:41:19Z,FORÇA PRESIDENTE!  TODAS AS PROFECIAS REVELADAS EM SETEMBRO DE 2017 ESTÃO SE CUMPRINDO. PEDIR A CRIANÇA PARA  ORAR O PAI NOSSO NO NASCER DO SOL PARA MANTER A ESPIRITUALIDADE.,QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,Xlw0XF8lYFxK6_xE4besqq_qG68,UgzMjfLOhdCFd72RrT14AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fwStJ34snER2Zyq0f0JPS_Nibf0', 'id': 'UgzMjfLOhdCFd72RrT14AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': '# Capitão do Povo 22 Segundo Turno!!!', 'textOriginal': '# Capitão do Povo 22 Segundo Turno!!!', 'authorDisplayName': 'taishelena1', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNt6UBYtf44POojLZx0NzFPKrWoons3sBBWSA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCyCHKC8jBa3S7OP6K6D4edA', 'authorChannelId': {'value': 'UCyCHKC8jBa3S7OP6K6D4edA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T14:26:35Z', 'updatedAt': '2022-10-10T14:26:35Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCyCHKC8jBa3S7OP6K6D4edA,2022-10-10T14:26:35Z,# Capitão do Povo 22 Segundo Turno!!!,QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
youtube#commentThread,ko7__53O6X1yEyIJhXNEyQNXnas,UgyHMjLKK9TiwSDhLdZ4AaABAg,"{'videoId': 'DOTvO9k15vI', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'FfqRs1lAvng2WzWdFi5j2iTYwuM', 'id': 'UgyHMjLKK9TiwSDhLdZ4AaABAg', 'snippet': {'videoId': 'DOTvO9k15vI', 'textDisplay': 'Sou Policial Penal, trabalho em uma penitenciária no estado de São Paulo e vi isso acontecer na minha unidade,quando virou a favor do Lula eles gritaram,bateram nas grades, comemoraram como se fosse um gol da seleção... inacreditável,mas os bandidos querem o Lula de volta e por isso sou 22 BOLSONARO.', 'textOriginal': 'Sou Policial Penal, trabalho em uma penitenciária no estado de São Paulo e vi isso acontecer na minha unidade,quando virou a favor do Lula eles gritaram,bateram nas grades, comemoraram como se fosse um gol da seleção... inacreditável,mas os bandidos querem o Lula de volta e por isso sou 22 BOLSONARO.', 'authorDisplayName': 'ISAIAS OLIVEIRA', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMUzHU-94xbzvqqW1khgZzBYguDAGWXK095rBc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfvoE3j6Y-My9wDfAOchEvQ', 'authorChannelId': {'value': 'UCfvoE3j6Y-My9wDfAOchEvQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-10T01:32:55Z', 'updatedAt': '2022-10-10T01:32:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCfvoE3j6Y-My9wDfAOchEvQ,2022-10-10T01:32:55Z,"Sou Policial Penal, trabalho em uma penitenciária no estado de São Paulo e vi isso acontecer na minha unidade,quando virou a favor do Lula eles gritaram,bateram nas grades, comemoraram como se fosse um gol da seleção... inacreditável,mas os bandidos querem o Lula de volta e por isso sou 22 BOLSONARO.",QURTSl9pMnlQeDNpRjZDYmlHdzcwMnRUd25CYTVka01mUFhMMzBnQWMyaXBHT2RqckNfRTZwbm9MTmZwOEpWN1d4d1ZOVTFlZkJMaWxjVQ==,2023-06-07 12:12:25.621252
