kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,cPE70923ONIVym4tihtkdOBomMQ,UgxBTi49IYSTME0Jr7N4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3N_4fm1LZIQb1rPDaycun8NwTHA', 'id': 'UgxBTi49IYSTME0Jr7N4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'Boa noite esse jumento se deu mal com esse pulo deu errado!', 'textOriginal': 'Boa noite esse jumento se deu mal com esse pulo deu errado!', 'authorDisplayName': 'Domingos Gonçalves', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ei5XbnI1dKnkTb6tPMd-Rvh85aQCQmO6e50jnJV65IWYAHXzSNm6swXiH22o4V55DRoZoodc=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCwuHtucu7QwlBpOXfjpb2_Q', 'authorChannelId': {'value': 'UCwuHtucu7QwlBpOXfjpb2_Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T22:26:56Z', 'updatedAt': '2022-10-28T22:26:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCwuHtucu7QwlBpOXfjpb2_Q,2022-10-28T22:26:56Z,Boa noite esse jumento se deu mal com esse pulo deu errado!,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,x8I7OBoJrEhCwXueoVElAtTEUtk,UgySYp0jDOq0jW9zT3V4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'tXF5fCOBN00igDkUeK4Vixo81Eg', 'id': 'UgySYp0jDOq0jW9zT3V4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'Deixa de ser mentiroso. Seu coisa ruim. Tona vergonha na cara. Kkkkkkkkkkk', 'textOriginal': 'Deixa de ser mentiroso. Seu coisa ruim. Tona vergonha na cara. Kkkkkkkkkkk', 'authorDisplayName': 'LUCILA DOS SANTOS', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM8rUvqEr_IiKHrA3ZnRmXn5VhE8m0b0TTWOjWVZQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3IDREKYc9mSKvX5KpoOhcA', 'authorChannelId': {'value': 'UC3IDREKYc9mSKvX5KpoOhcA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T20:45:03Z', 'updatedAt': '2022-10-28T20:45:03Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3IDREKYc9mSKvX5KpoOhcA,2022-10-28T20:45:03Z,Deixa de ser mentiroso. Seu coisa ruim. Tona vergonha na cara. Kkkkkkkkkkk,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,QJzHei5FrCzaBUZ-sGaiW-1t0Og,UgzoIUp6t33TzLowwbl4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xjo5-yjwGRcEJAKkemyAh1Dstck', 'id': 'UgzoIUp6t33TzLowwbl4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'Que maravilha e isso aí meus irmãos nordestino que Deus abençoe nosso Brasil obrigada meu Deus o senhor está ouvindo as nossas orações  no diab30 e Bolsonaro 22', 'textOriginal': 'Que maravilha e isso aí meus irmãos nordestino que Deus abençoe nosso Brasil obrigada meu Deus o senhor está ouvindo as nossas orações  no diab30 e Bolsonaro 22', 'authorDisplayName': 'Edna aparecida ravanhane de lima Aparecida', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ZYKcZ2l4VCfZv-YFQn8v6aBSPC2OZwpOMv0pC0NIHhFTsWPRBtlqv1rwq6mZUozjhSN-yV3MNQQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCR6nbyNqpw4DDjIkxPx-eZg', 'authorChannelId': {'value': 'UCR6nbyNqpw4DDjIkxPx-eZg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-28T14:19:41Z', 'updatedAt': '2022-10-28T14:19:41Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCR6nbyNqpw4DDjIkxPx-eZg,2022-10-28T14:19:41Z,Que maravilha e isso aí meus irmãos nordestino que Deus abençoe nosso Brasil obrigada meu Deus o senhor está ouvindo as nossas orações  no diab30 e Bolsonaro 22,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,Oty_0izu7CbynTu_xiWdnFuccoQ,UgzgJPKUA49Pvg3k_NJ4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Np8DhW1KB81-xOUPME6zKQRAuBE', 'id': 'UgzgJPKUA49Pvg3k_NJ4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'Vota vota 22,22. é Bolsonaro.🇧🇷🇧🇷🇧🇷', 'textOriginal': 'Vota vota 22,22. é Bolsonaro.🇧🇷🇧🇷🇧🇷', 'authorDisplayName': 'Aliceh Moraes da Fonseca', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMtTUZaGQfncOM1nlDdL6pxstGFyneZNe4MIw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCFQVktMSbaev2P-jCoUg1Bw', 'authorChannelId': {'value': 'UCFQVktMSbaev2P-jCoUg1Bw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T22:09:04Z', 'updatedAt': '2022-10-27T22:09:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCFQVktMSbaev2P-jCoUg1Bw,2022-10-27T22:09:04Z,"Vota vota 22,22. é Bolsonaro.🇧🇷🇧🇷🇧🇷",QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,hl66TRFHx_NcxgZbAZOgZuHk94I,Ugx3-zLgDxlABB1NTyx4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'gIHIxC96hbZwL4KvLdCZqT_vJPA', 'id': 'Ugx3-zLgDxlABB1NTyx4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': '🙏🌿💛🌾GLORIA A DEUS E AO SENHOR JESUS CRISTO .ALELUIA!<br>O POVO DO  NORDESTE E DE TODO O BRASIL  ESTA COM O PRESIDENTE BOLSONARO 22🙌🙌🙌🙌🙌🙌VAMOS VOTAR PELA LIBERDADE DO BRASIL LIVRE DO COMUNISMO E CORRUPÇAO.', 'textOriginal': '🙏🌿💛🌾GLORIA A DEUS E AO SENHOR JESUS CRISTO .ALELUIA!\nO POVO DO  NORDESTE E DE TODO O BRASIL  ESTA COM O PRESIDENTE BOLSONARO 22🙌🙌🙌🙌🙌🙌VAMOS VOTAR PELA LIBERDADE DO BRASIL LIVRE DO COMUNISMO E CORRUPÇAO.', 'authorDisplayName': 'Vanda Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMd51bdA72D-0r_IGZqBzA1H-q5UWVp1KVH3A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCKUC6jfDGVGH4XLQ6IyxeUg', 'authorChannelId': {'value': 'UCKUC6jfDGVGH4XLQ6IyxeUg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T22:08:40Z', 'updatedAt': '2022-10-27T22:08:40Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCKUC6jfDGVGH4XLQ6IyxeUg,2022-10-27T22:08:40Z,"🙏🌿💛🌾GLORIA A DEUS E AO SENHOR JESUS CRISTO .ALELUIA!
O POVO DO  NORDESTE E DE TODO O BRASIL  ESTA COM O PRESIDENTE BOLSONARO 22🙌🙌🙌🙌🙌🙌VAMOS VOTAR PELA LIBERDADE DO BRASIL LIVRE DO COMUNISMO E CORRUPÇAO.",QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,E_chOnrs9Jqxp4KohnYFSsSymY4,UgxayaVeO3eXZ0eKe194AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'mtqrSwebh6w7HDLlKw9YA6f0fp8', 'id': 'UgxayaVeO3eXZ0eKe194AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'parabéns aos nossos irmãos  nordestino Deus  abençoe a todos em nome do senhor Jesus  Deus  patria e familia ❤', 'textOriginal': 'parabéns aos nossos irmãos  nordestino Deus  abençoe a todos em nome do senhor Jesus  Deus  patria e familia ❤', 'authorDisplayName': 'Juca Salão', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOshpVaDKj4s5o-7jXHhnXDbzCCdYw7Mp1Ti1LMl3DDUYYemkqzXmucrxYR9SWs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCJz8dnPBTWkDQlvp_vgLlWg', 'authorChannelId': {'value': 'UCJz8dnPBTWkDQlvp_vgLlWg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T20:21:20Z', 'updatedAt': '2022-10-27T20:21:20Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCJz8dnPBTWkDQlvp_vgLlWg,2022-10-27T20:21:20Z,parabéns aos nossos irmãos  nordestino Deus  abençoe a todos em nome do senhor Jesus  Deus  patria e familia ❤,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,MFt9Rkln90cvK22JdQTEUJ3z9cg,UgwnTKCYVaAHcCKAlQN4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'fELr57aUCK8WjRFbsLX6mUuID_Y', 'id': 'UgwnTKCYVaAHcCKAlQN4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'BOLSONARO BOLSONARO BOLSONARO BOLSONARO BOLSONARO BOLSONARO', 'textOriginal': 'BOLSONARO BOLSONARO BOLSONARO BOLSONARO BOLSONARO BOLSONARO', 'authorDisplayName': 'Liliane Soares', 'authorProfileImageUrl': 'https://yt3.ggpht.com/y8PV52iX5um5bs12gKGOmtqlzW61EuShRhIw4enWnqK1eV4lpumBKt1BnRq10-LxIpTn30VH2Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC8l4V8_TK6BLWxQSwE2zkJg', 'authorChannelId': {'value': 'UC8l4V8_TK6BLWxQSwE2zkJg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T19:42:15Z', 'updatedAt': '2022-10-27T19:42:15Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC8l4V8_TK6BLWxQSwE2zkJg,2022-10-27T19:42:15Z,BOLSONARO BOLSONARO BOLSONARO BOLSONARO BOLSONARO BOLSONARO,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,0nKW7kFnI0BuFv65x_liEnKDdc0,UgxRJhOutfcAz4-gi_t4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'rdTCNBgtZkiEo2zSoQlZdxx7l_8', 'id': 'UgxRJhOutfcAz4-gi_t4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'vamos  Nordestino  votar 22. para  trazer. desenvolvimento  para nordestino. Deus.  familia. pátria', 'textOriginal': 'vamos  Nordestino  votar 22. para  trazer. desenvolvimento  para nordestino. Deus.  familia. pátria', 'authorDisplayName': 'Luiz carlos Anastácio', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNxpSINfgsI_woPealQVcnBIL1EdtWxjiprU8ZQ6_woDhKBTlIH60k2-qVkEWoV=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCRGJC4boGqIw24b9U98sB1Q', 'authorChannelId': {'value': 'UCRGJC4boGqIw24b9U98sB1Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T19:16:56Z', 'updatedAt': '2022-10-27T19:16:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCRGJC4boGqIw24b9U98sB1Q,2022-10-27T19:16:56Z,vamos  Nordestino  votar 22. para  trazer. desenvolvimento  para nordestino. Deus.  familia. pátria,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,WZQlju6Sh94H3qU525FVvWFcCZ0,UgwsFKP81H6qfqNv5Cx4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MBhHQCn-Rtw0fgWrFW1-zDYy2bQ', 'id': 'UgwsFKP81H6qfqNv5Cx4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'TINHA POR O ESTADO  A CIDADE QUE ESTÁ  FAZENDO A CAMPANHIA', 'textOriginal': 'TINHA POR O ESTADO  A CIDADE QUE ESTÁ  FAZENDO A CAMPANHIA', 'authorDisplayName': 'Zilah Nunes', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqPQuvZ_LKuFR6yku8fMNUVWTgXjaIrOtvqwJQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCOmXACCGPDYwDpWaUOFMImA', 'authorChannelId': {'value': 'UCOmXACCGPDYwDpWaUOFMImA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T19:05:30Z', 'updatedAt': '2022-10-27T19:05:30Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCOmXACCGPDYwDpWaUOFMImA,2022-10-27T19:05:30Z,TINHA POR O ESTADO  A CIDADE QUE ESTÁ  FAZENDO A CAMPANHIA,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
youtube#commentThread,rEtJ_7V60CKZkkDM_YxHGCHmlRY,UgyZ9W3d4odjSQqDF8N4AaABAg,"{'videoId': 'YsGavHpaKC8', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'PgErLa8wa5p4MNL6R0xgBb_n4-8', 'id': 'UgyZ9W3d4odjSQqDF8N4AaABAg', 'snippet': {'videoId': 'YsGavHpaKC8', 'textDisplay': 'K.  Lindooooo demais', 'textOriginal': 'K.  Lindooooo demais', 'authorDisplayName': 'Jurema Figueiredo', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqNogDT3uKL5M4U_p5fkTa7v_M-IStux3bFczQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCc4hrdikavxaCcOZMoVK-Bg', 'authorChannelId': {'value': 'UCc4hrdikavxaCcOZMoVK-Bg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-27T18:51:09Z', 'updatedAt': '2022-10-27T18:51:09Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCc4hrdikavxaCcOZMoVK-Bg,2022-10-27T18:51:09Z,K.  Lindooooo demais,QURTSl9pM2dPWWxpZm81dExNQW9wazZRbVRQX3J5b2VFRVN6YVJlYmF5QlVhcUE1SVRZSGN6TjVEeHZyUVNDSnJrT1Jya21IazNoVV9uSQ==,2023-06-07 11:51:52.303031
