kind,etag,id,snippet,replies,authorChannelId,publishedAt,textOriginal,nextPageToken,extraction_date
youtube#commentThread,DS2E6J0mM4I9f0wphrMeTcXorwI,Ugw9yVyhLzaaM9WKHsx4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'GMWzM-KcDAhjtTlgnOzheMAgOCY', 'id': 'Ugw9yVyhLzaaM9WKHsx4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Pronto, virou crente agora', 'textOriginal': 'Pronto, virou crente agora', 'authorDisplayName': 'Vanessa G.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMoxKff2_LP1yjENtBXfh4SnUvePyfoZdhvxLvQ6A=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCDWK9Z5n44AB3rXR51ohctg', 'authorChannelId': {'value': 'UCDWK9Z5n44AB3rXR51ohctg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-22T02:49:50Z', 'updatedAt': '2022-10-22T02:49:50Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCDWK9Z5n44AB3rXR51ohctg,2022-10-22T02:49:50Z,"Pronto, virou crente agora",,2023-06-07 13:28:31.959089
youtube#commentThread,P_AtOokxpqv4fUnTW31rC4d3_zc,Ugy0gD_ghgwGsG9Ii6F4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '3ilRlndVC-n4RVUk7CIWoE9LUSM', 'id': 'Ugy0gD_ghgwGsG9Ii6F4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'valeu lula vc merece muito mais', 'textOriginal': 'valeu lula vc merece muito mais', 'authorDisplayName': 'Luiza Cordeiro', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM-VIhNpd8bbQGpJX4HOP4KDr2nGsZd7TIGK1TFom4wXipC4Hp7IRGT_UrymJcf=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCNHJBMzHTgkh94t5H6HinQA', 'authorChannelId': {'value': 'UCNHJBMzHTgkh94t5H6HinQA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-20T11:14:01Z', 'updatedAt': '2022-10-20T11:14:01Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCNHJBMzHTgkh94t5H6HinQA,2022-10-20T11:14:01Z,valeu lula vc merece muito mais,,2023-06-07 13:28:31.959089
youtube#commentThread,CTU8e45i8U0UXZTG5Iv2U0TdxNs,UgzabCDKcP0Gs6Rcd_14AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'eNFBE8NiAyApMkAdKEJHamH2Jps', 'id': 'UgzabCDKcP0Gs6Rcd_14AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Esse e o presidente dos pobres  gente vamos nos unir e ajuda lo a tirar aquele anticristo que usa o nome de Deus para chegar no poder e destruir a nossa nação ,em 2tessalonissence 1,2,3, explica tudo oque está acontecendo.', 'textOriginal': 'Esse e o presidente dos pobres  gente vamos nos unir e ajuda lo a tirar aquele anticristo que usa o nome de Deus para chegar no poder e destruir a nossa nação ,em 2tessalonissence 1,2,3, explica tudo oque está acontecendo.', 'authorDisplayName': 'Nely Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMIUzIz_73obuIXlFkAVX4GGX96AEyka2_k3Q=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3bzjouovx5QkSG1YX_q2Dg', 'authorChannelId': {'value': 'UC3bzjouovx5QkSG1YX_q2Dg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T16:40:08Z', 'updatedAt': '2022-10-19T16:40:08Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC3bzjouovx5QkSG1YX_q2Dg,2022-10-19T16:40:08Z,"Esse e o presidente dos pobres  gente vamos nos unir e ajuda lo a tirar aquele anticristo que usa o nome de Deus para chegar no poder e destruir a nossa nação ,em 2tessalonissence 1,2,3, explica tudo oque está acontecendo.",,2023-06-07 13:28:31.959089
youtube#commentThread,GIiSbZNLZh-Uz3TRNVeJnDxAvkk,UgwWwjkdJBMmFv2WKdp4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '2tTMyxOZoVprFUaYpgFR9Eff0hc', 'id': 'UgwWwjkdJBMmFv2WKdp4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Acho que esses encontros com a Igreja Católica merecem cortes. O de Osório no RS também!', 'textOriginal': 'Acho que esses encontros com a Igreja Católica merecem cortes. O de Osório no RS também!', 'authorDisplayName': 'Suzana Coelho', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFNcZ_R4xIIJyjyzC6LEWI4J6uogWTzoK1oGim0ow8TvfK_yGYLfzdtyW7BYd6=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC80iHQjBdAiDUmIdqxn7T0g', 'authorChannelId': {'value': 'UC80iHQjBdAiDUmIdqxn7T0g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-19T03:27:31Z', 'updatedAt': '2022-10-19T03:27:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UC80iHQjBdAiDUmIdqxn7T0g,2022-10-19T03:27:31Z,Acho que esses encontros com a Igreja Católica merecem cortes. O de Osório no RS também!,,2023-06-07 13:28:31.959089
youtube#commentThread,QY0QsY0kWXfArQSle7SuNiIFRsA,UgyuU1kzP-E6wzYDnOV4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '_9OGbtNNWvEkYoChrO8cbkbxtT4', 'id': 'UgyuU1kzP-E6wzYDnOV4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Que beleza, este me representa', 'textOriginal': 'Que beleza, este me representa', 'authorDisplayName': 'Instituto Eurico Franca de Desenvolvimento', 'authorProfileImageUrl': 'https://yt3.ggpht.com/8KXsVjQq_ckTg00lIs7Mx0YN47vE8goyhVvBst49_SVpR4CzArm8KV5oOhbbDltAfmd6ZzDQjrs=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCbUzBI3X3yMVO7CuU0njSzA', 'authorChannelId': {'value': 'UCbUzBI3X3yMVO7CuU0njSzA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T21:04:02Z', 'updatedAt': '2022-10-18T21:04:02Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCbUzBI3X3yMVO7CuU0njSzA,2022-10-18T21:04:02Z,"Que beleza, este me representa",,2023-06-07 13:28:31.959089
youtube#commentThread,3NoIeWD4zOP8gOYcAkSdNyQqFYw,UgyzCNR7wMD0_YPd_5d4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'MabY5DMYadtHE1vlog7BBFLaegY', 'id': 'UgyzCNR7wMD0_YPd_5d4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Quanto aprendizado hem Geraldo Alkimim!!', 'textOriginal': 'Quanto aprendizado hem Geraldo Alkimim!!', 'authorDisplayName': 'Vilma das Dores Rocha', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMDqsdA8ssHsiZs0N7rw1BmLTHgzOLorYvPmw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCC_15s1nN4O8tA90iSGsknA', 'authorChannelId': {'value': 'UCC_15s1nN4O8tA90iSGsknA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T17:19:42Z', 'updatedAt': '2022-10-18T17:19:42Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCC_15s1nN4O8tA90iSGsknA,2022-10-18T17:19:42Z,Quanto aprendizado hem Geraldo Alkimim!!,,2023-06-07 13:28:31.959089
youtube#commentThread,A7x4T1vYTNcoRgvqEkiNGd3kW64,Ugx5N3w-AqSfhwCTkB94AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'VsFfiJ_EIbVHmPMBqRKQf7CLcbE', 'id': 'Ugx5N3w-AqSfhwCTkB94AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Lula ladrao', 'textOriginal': 'Lula ladrao', 'authorDisplayName': 'Ana Lara Venâncio Silva', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqMFnf4Yl5VykzBBSRhzLxHnBlmXzLeVPODaOmnWB74=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCGBgWWb4XtCTjcjWvT3KpLQ', 'authorChannelId': {'value': 'UCGBgWWb4XtCTjcjWvT3KpLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-10-18T13:21:56Z', 'updatedAt': '2022-10-18T13:21:56Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCGBgWWb4XtCTjcjWvT3KpLQ,2022-10-18T13:21:56Z,Lula ladrao,,2023-06-07 13:28:31.959089
youtube#commentThread,9O7vvNXF0fjP4bUly4IGki5ihp0,UgxnSTvZo9yByTw8Q-F4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'IEKzgD0aX9V0OpEe7sLZVs_Dy1s', 'id': 'UgxnSTvZo9yByTw8Q-F4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Ou bregado senhor jesus po todo que tu ta fazendo ponos salve msria nosa mae', 'textOriginal': 'Ou bregado senhor jesus po todo que tu ta fazendo ponos salve msria nosa mae', 'authorDisplayName': 'Ian Gamer 🍷🗿', 'authorProfileImageUrl': 'https://yt3.ggpht.com/fhpmyg4EPevAybN4eLfJ5DLhg71DuwAC86ggItDuE5M3N3Zt3Yw2IQ3TDT36nJ9kb7KSjL6JUw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtEH-n42-YWQGYphrAyjykg', 'authorChannelId': {'value': 'UCtEH-n42-YWQGYphrAyjykg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T12:44:24Z', 'updatedAt': '2022-10-18T12:44:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCtEH-n42-YWQGYphrAyjykg,2022-10-18T12:44:24Z,Ou bregado senhor jesus po todo que tu ta fazendo ponos salve msria nosa mae,,2023-06-07 13:28:31.959089
youtube#commentThread,TebOuQhrqyLoQJP6FrVO16XKJsY,Ugz09uYpwxpfd0rEBwV4AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Mt4GAm29ka4kvC0Myk5JkdD9i_U', 'id': 'Ugz09uYpwxpfd0rEBwV4AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'As idéias, ações e atos progressitas de Lula é como um foco de luz! Olhem a favor do seu brilho, do seu foco. Se olhar contra esta luz você será ofuscado. 1️⃣3️⃣🌟', 'textOriginal': 'As idéias, ações e atos progressitas de Lula é como um foco de luz! Olhem a favor do seu brilho, do seu foco. Se olhar contra esta luz você será ofuscado. 1️⃣3️⃣🌟', 'authorDisplayName': 'G S', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqM_bbw3nimcgTlVQ__5to9NPkUoMIWSOjp3KDIca00=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCCVFQn-hGzWc3EHGg3JWScw', 'authorChannelId': {'value': 'UCCVFQn-hGzWc3EHGg3JWScw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T11:27:49Z', 'updatedAt': '2022-10-18T11:27:49Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCCVFQn-hGzWc3EHGg3JWScw,2022-10-18T11:27:49Z,"As idéias, ações e atos progressitas de Lula é como um foco de luz! Olhem a favor do seu brilho, do seu foco. Se olhar contra esta luz você será ofuscado. 1️⃣3️⃣🌟",,2023-06-07 13:28:31.959089
youtube#commentThread,BELsZQqlYRyeTSBQ59LZYicebIw,UgyxteSZ3u2qPPhQLI94AaABAg,"{'videoId': 'ywIkFcGTJ5Y', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'qQCPacaQf68sHiTEVbFBTxtnnJk', 'id': 'UgyxteSZ3u2qPPhQLI94AaABAg', 'snippet': {'videoId': 'ywIkFcGTJ5Y', 'textDisplay': 'Que lindo  Deus abençoe a vida do nosso Lulinha', 'textOriginal': 'Que lindo  Deus abençoe a vida do nosso Lulinha', 'authorDisplayName': 'Geronimo Oliveira', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AGIKgqOfFES7brpa0lJvcL5pw3y1FJoYUyWXqYEG4g=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCi3m7gmrZKhe_mhje8CJCOg', 'authorChannelId': {'value': 'UCi3m7gmrZKhe_mhje8CJCOg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 1, 'publishedAt': '2022-10-18T11:12:55Z', 'updatedAt': '2022-10-18T11:12:55Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}",,UCi3m7gmrZKhe_mhje8CJCOg,2022-10-18T11:12:55Z,Que lindo  Deus abençoe a vida do nosso Lulinha,,2023-06-07 13:28:31.959089
