kind,etag,id,snippet.title,snippet.description,snippet.customUrl,snippet.publishedAt,snippet.thumbnails,snippet.localized,snippet.country,statistics.viewCount,statistics.subscriberCount,statistics.hiddenSubscriberCount,statistics.videoCount
youtube#channel,-J1CvKhdfoiisI083GOzp3IRl3U,UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,"Lives exclusivas para você participar e conversar com nossos especialistas e convidados. Veja ao vivo ou reveja na íntegra os nossos telejornais e programas. As melhores reportagens, os comentários do nosso time de jornalistas e especialistas e os principais conteúdos da tela da Band para você assistir quando e onde quiser.",@bandjornalismo,2016-08-08T19:56:08Z,"{'default': {'url': 'https://yt3.ggpht.com/FlPTmZcNiGyJmIpz0_AslS1nYf4RAOu0-w6pLsxIg-70CHZzG-xPGr00h0IFbt3ry-9iWs5CKA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/FlPTmZcNiGyJmIpz0_AslS1nYf4RAOu0-w6pLsxIg-70CHZzG-xPGr00h0IFbt3ry-9iWs5CKA=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/FlPTmZcNiGyJmIpz0_AslS1nYf4RAOu0-w6pLsxIg-70CHZzG-xPGr00h0IFbt3ry-9iWs5CKA=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'Band Jornalismo', 'description': 'Lives exclusivas para você participar e conversar com nossos especialistas e convidados. Veja ao vivo ou reveja na íntegra os nossos telejornais e programas. As melhores reportagens, os comentários do nosso time de jornalistas e especialistas e os principais conteúdos da tela da Band para você assistir quando e onde quiser.'}",BR,1984669779,4650000,False,109374
youtube#channel,eIvKWBURmxQ-uqlt40X3wvIwFKw,UCVFbXI6Gu8U2f9Gjtxw4A-Q,UOL,"UOL News, UOL Entrevista e coberturas ao VIVO todos os dias.",@uol,2006-03-19T15:34:42Z,"{'default': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqNVG_94dLiKqRZQvijWGCKZZRpJtHZZhtUo6Q67lQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqNVG_94dLiKqRZQvijWGCKZZRpJtHZZhtUo6Q67lQ=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqNVG_94dLiKqRZQvijWGCKZZRpJtHZZhtUo6Q67lQ=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'UOL', 'description': 'UOL News, UOL Entrevista e coberturas ao VIVO todos os dias.'}",BR,2492324743,3410000,False,48194
youtube#channel,rVPFGgqF5_NnYxiUE51rbQEywaM,UCmYuiV9wAR3i8p19Ygc7izg,Folha de S.Paulo,"Entrevistas, documentários, análises e reportagens produzidos pela Folha",@folha,2006-03-01T16:16:04Z,"{'default': {'url': 'https://yt3.ggpht.com/N2fcR7REBeaSDM5eVvOJNDZRfn5vwPMSqnYGzBXnVbA9XNeduuQvbJrn745SGmFM9KF4FSSzJTA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/N2fcR7REBeaSDM5eVvOJNDZRfn5vwPMSqnYGzBXnVbA9XNeduuQvbJrn745SGmFM9KF4FSSzJTA=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/N2fcR7REBeaSDM5eVvOJNDZRfn5vwPMSqnYGzBXnVbA9XNeduuQvbJrn745SGmFM9KF4FSSzJTA=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'Folha de S.Paulo', 'description': 'Entrevistas, documentários, análises e reportagens produzidos pela Folha'}",BR,203404094,822000,False,4754
youtube#channel,KJug49e7ZR01PWl9fTgEqlJLm0Q,UCWdGgeyOnCOGnvhNdbVl1dQ,Gazeta do Povo,"Gazeta do Povo: notícias e opinião para quem busca refletir e debater os grandes temas atuais. Inscreva-se, ative as notificações e acompanhe os vídeos diários de nossos principais colunistas.",@gazetadopovo,2016-04-25T13:00:56Z,"{'default': {'url': 'https://yt3.ggpht.com/_N6eS-Bd_euS0q5CiSPp7Rin1zSzD_uL0_GZTcKAgnd43PHUYB2b-f1ZzZ2XisDJnHNAgap20A=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/_N6eS-Bd_euS0q5CiSPp7Rin1zSzD_uL0_GZTcKAgnd43PHUYB2b-f1ZzZ2XisDJnHNAgap20A=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/_N6eS-Bd_euS0q5CiSPp7Rin1zSzD_uL0_GZTcKAgnd43PHUYB2b-f1ZzZ2XisDJnHNAgap20A=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'Gazeta do Povo', 'description': 'Gazeta do Povo: notícias e opinião para quem busca refletir e debater os grandes temas atuais. Inscreva-se, ative as notificações e acompanhe os vídeos diários de nossos principais colunistas.'}",BR,109191968,1080000,False,4843
youtube#channel,dsmET82Uy3O0b4UxqtltJpfnGLk,UCXdXYG8dUmEv6jhEji_lSHg,Jornalismo TV Cultura,"Os principais fatos do Brasil e do mundo, o que está acontecendo em sua região e os assuntos mais discutidos na atualidade!

#JornalismoTVCultura 
",@jornalismotvcultura,2007-10-05T19:34:32Z,"{'default': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqO3je_J12qvGkUfp6YSd4l_LjwiuInjZd7IyBPYMQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqO3je_J12qvGkUfp6YSd4l_LjwiuInjZd7IyBPYMQ=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqO3je_J12qvGkUfp6YSd4l_LjwiuInjZd7IyBPYMQ=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'Jornalismo TV Cultura', 'description': 'Os principais fatos do Brasil e do mundo, o que está acontecendo em sua região e os assuntos mais discutidos na atualidade!\n\n#JornalismoTVCultura \n'}",BR,285761555,1100000,False,50246
youtube#channel,m5kk60HNUxoGVOAYMM8e6fTLIMw,UCaGmdJSSiR7fkh2A-c6emsA,g1,"Olá! 

Esse é o canal do g1, o portal de notícias da globo. Aqui vamos trazer vídeos pra informar, inspirar e divertir. 

Quer entender um fato? Vem com a gente! 🤔 
Quer ver histórias legais? Vem com a gente! 😊 
Quer saber o que tá acontecendo? Vem com a gente! 😉 

Todos os dias vídeos novos. 🎥 Confere aí! Já temos no ar o Segue o Fio, Fato ou Fake, G1 Explica, Que meme é esse?, Semana Pop e mais! 

Segue a gente e ativa o sino 🔔 pra saber tudo que está rolando aqui no canal do g1 no YouTube. 

Veja todas as nossas playlists! https://bit.ly/3zdXlHY

",@g1globo,2021-03-15T23:04:03.861271Z,"{'default': {'url': 'https://yt3.ggpht.com/5vzqGUywT581I0EMBfkiBxjDvxqH-rfvTEKsjxcEWDF4vqSt4MXVyM01dXydzWPeub1zQb0P=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/5vzqGUywT581I0EMBfkiBxjDvxqH-rfvTEKsjxcEWDF4vqSt4MXVyM01dXydzWPeub1zQb0P=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/5vzqGUywT581I0EMBfkiBxjDvxqH-rfvTEKsjxcEWDF4vqSt4MXVyM01dXydzWPeub1zQb0P=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'g1', 'description': 'Olá! \n\nEsse é o canal do g1, o portal de notícias da globo. Aqui vamos trazer vídeos pra informar, inspirar e divertir. \n\nQuer entender um fato? Vem com a gente! 🤔 \nQuer ver histórias legais? Vem com a gente! 😊 \nQuer saber o que tá acontecendo? Vem com a gente! 😉 \n\nTodos os dias vídeos novos.\r\r 🎥 Confere aí! Já temos no ar o Segue o Fio, Fato ou Fake, G1 Explica, Que meme é esse?, Semana Pop e mais! \n\nSegue a gente e ativa o sino 🔔 pra saber tudo que está rolando aqui no canal do g1 no YouTube. \n\nVeja todas as nossas playlists! https://bit.ly/3zdXlHY\n\r\n'}",BR,58064390,295000,False,3507
youtube#channel,P1dRd3f-Vjn3dRtt_6anqztBBek,UC376n347Ob5Lwzq2WGzF1AA,SBT News,"Liberdade editorial e credibilidade, fatores para o exercício de um jornalismo claro e transparente, são os alicerces que formam o compromisso do SBT com a notícia e a análise profunda dos fatos. O Jornalismo do SBT reúne uma equipe de profissionais dos mais capacitados do telejornalismo nacional, correspondentes internacionais e tecnologia avançada para levar até o lar dos brasileiros as principais notícias do país e do mundo. As principais matérias apresentadas no dia são acompanhadas de informações complementares para o telespectador.",@sbtnews,2011-08-22T14:57:27Z,"{'default': {'url': 'https://yt3.ggpht.com/nMGmGAtUOjZOwh4m8d-U80I-WkvplW7ez8NbhpUtaS3GAuRRFDZO2hgIj17TITrkxHnjYiD-6A=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/nMGmGAtUOjZOwh4m8d-U80I-WkvplW7ez8NbhpUtaS3GAuRRFDZO2hgIj17TITrkxHnjYiD-6A=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/nMGmGAtUOjZOwh4m8d-U80I-WkvplW7ez8NbhpUtaS3GAuRRFDZO2hgIj17TITrkxHnjYiD-6A=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'SBT News', 'description': 'Liberdade editorial e credibilidade, fatores para o exercício de um jornalismo claro e transparente, são os alicerces que formam o compromisso do SBT com a notícia e a análise profunda dos fatos. O Jornalismo do SBT reúne uma equipe de profissionais dos mais capacitados do telejornalismo nacional, correspondentes internacionais e tecnologia avançada para levar até o lar dos brasileiros as principais notícias do país e do mundo. As principais matérias apresentadas no dia são acompanhadas de informações complementares para o telespectador.'}",BR,3101199967,5020000,False,67480
youtube#channel,QoHUYjWR4jUWnAH6zUTrcWXq7Lk,UCWijW6tW0iI5ghsAbWDFtTg,Rádio BandNews FM,"A BandNews FM é a primeira rede brasileira de emissoras de rádio em FM com jornalismo 24 horas no ar. A cada 20 minutos, oferecemos ao ouvinte um jornal completo e atualizado, com a opinião dos nossos apresentadores e colunistas. Nestes 20 minutos, apresentamos as principais notícias do Brasil e do mundo, mas com grande espaço para o noticiário de cada cidade.

Desde 20 de maio de 2005 no ar, somos hoje referência em divulgação ágil de notícias nos principais mercados do país, transmitindo para São Paulo, Brasília, Rio de Janeiro, Belo Horizonte, Porto Alegre, Manaus, Salvador, Curitiba, Fortaleza, João Pessoa, Vitória e Goiânia, aliando força jornalística, inovação e alto astral, sempre com a credibilidade do Grupo Bandeirantes de Comunicação.",@radiobandnewsfm,2014-07-01T14:31:19Z,"{'default': {'url': 'https://yt3.ggpht.com/OWgeZSGbx0E1aFw3JcfrjBlpXsV6xpKXBjgTfUW3ZHMGa0Ra8ZV2C2yH7zn_ecKRHIk4asm2QA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/OWgeZSGbx0E1aFw3JcfrjBlpXsV6xpKXBjgTfUW3ZHMGa0Ra8ZV2C2yH7zn_ecKRHIk4asm2QA=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/OWgeZSGbx0E1aFw3JcfrjBlpXsV6xpKXBjgTfUW3ZHMGa0Ra8ZV2C2yH7zn_ecKRHIk4asm2QA=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'Rádio BandNews FM', 'description': 'A BandNews FM é a primeira rede brasileira de emissoras de rádio em FM com jornalismo 24 horas no ar. A cada 20 minutos, oferecemos ao ouvinte um jornal completo e atualizado, com a opinião dos nossos apresentadores e colunistas. Nestes 20 minutos, apresentamos as principais notícias do Brasil e do mundo, mas com grande espaço para o noticiário de cada cidade.\n\nDesde 20 de maio de 2005 no ar, somos hoje referência em divulgação ágil de notícias nos principais mercados do país, transmitindo para São Paulo, Brasília, Rio de Janeiro, Belo Horizonte, Porto Alegre, Manaus, Salvador, Curitiba, Fortaleza, João Pessoa, Vitória e Goiânia, aliando força jornalística, inovação e alto astral, sempre com a credibilidade do Grupo Bandeirantes de Comunicação.'}",BR,1151277612,2010000,False,47218
youtube#channel,iQKfj1M-TO02LCSokLdhJSoy3mc,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,"CNN: Você por dentro de tudo.

Acompanhe nossos conteúdos exclusivos, notícias e as principais análises do dia. Acesse a programação da CNN Brasil pela TV, no canal 577, no site, no aplicativo e nas redes sociais.",@cnnbrasil,2020-02-17T13:24:52.854434Z,"{'default': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqNPGMU3ac8hErHSTtQYlCVneLrfgGWW56Gw7unr8w=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqNPGMU3ac8hErHSTtQYlCVneLrfgGWW56Gw7unr8w=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/ytc/AGIKgqNPGMU3ac8hErHSTtQYlCVneLrfgGWW56Gw7unr8w=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'CNN Brasil', 'description': 'CNN: Você por dentro de tudo.\n\nAcompanhe nossos conteúdos exclusivos, notícias e as principais análises do dia. Acesse a programação da CNN Brasil pela TV, no canal 577, no site, no aplicativo e nas redes sociais.'}",BR,2047186831,4030000,False,62921
youtube#channel,EKdio6DzC1kaWmbgpBicG58qzPw,UCu_a6PAzp30Bn2mM-Ll09LA,RECORD TV,"Esse é o canal oficial da Record TV no YouTube.
Reinventar é a nossa marca.",@recordtvoficial,2006-07-30T19:02:04Z,"{'default': {'url': 'https://yt3.ggpht.com/WAfPfn-B8GYPVVSqpDYEkJg3HROEJnJ95mhHAgR13vsUzPvGjyTIehvPViSEUDl5N7DPKxfzag=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}, 'medium': {'url': 'https://yt3.ggpht.com/WAfPfn-B8GYPVVSqpDYEkJg3HROEJnJ95mhHAgR13vsUzPvGjyTIehvPViSEUDl5N7DPKxfzag=s240-c-k-c0x00ffffff-no-rj', 'width': 240, 'height': 240}, 'high': {'url': 'https://yt3.ggpht.com/WAfPfn-B8GYPVVSqpDYEkJg3HROEJnJ95mhHAgR13vsUzPvGjyTIehvPViSEUDl5N7DPKxfzag=s800-c-k-c0x00ffffff-no-rj', 'width': 800, 'height': 800}}","{'title': 'RECORD TV', 'description': 'Esse é o canal oficial da Record TV no YouTube.\nReinventar é a nossa marca.'}",BR,900432745,3590000,False,12980
