kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default,snippet.thumbnails.medium,snippet.thumbnails.high,snippet.thumbnails.standard,snippet.thumbnails.maxres,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,nextPageToken,extraction_date
youtube#playlistItem,NQ4HltMG9wa_3I9_plVCtb4lVhA,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3Lkc4cHd0V1VwUGNr,2023-06-05T17:00:17Z,UCk5BcU1rOy6hepflk7_q_Pw,"BOLSONARO RECEBE MULTA DE MAIS DE 300 MIL, com Antídoto","Bolsonaro sem máscara durante a pandemia não foi exatamente algo raro. Mas, em pelo menos uma dessas ocasiões, parece que deu ruim para ele.
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/G8pwtWUpPck/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/G8pwtWUpPck/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/G8pwtWUpPck/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/G8pwtWUpPck/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/G8pwtWUpPck/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,0,youtube#video,G8pwtWUpPck,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,97Dx1I6tkTlBVj90J-G01S2er_I,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LmhzSmxOSENqTGVV,2023-06-05T16:30:07Z,UCk5BcU1rOy6hepflk7_q_Pw,"MAURO CID ZOAVA O CARLUXO, com Antídoto","O coronel Mauro Cid teve o sigilo telefônico quebrado e as mensagens que ele trocava no WhatsApp estão vindo a tona. Além das evidências dos crimes nos quais ele se envolveu, também aparece deboche com a cara de aliados e negacionismo.
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/hsJlNHCjLeU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/hsJlNHCjLeU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/hsJlNHCjLeU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/hsJlNHCjLeU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/hsJlNHCjLeU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,1,youtube#video,hsJlNHCjLeU,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,WCITu2AYaDLc1uCExZGUAjUPyEg,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LlBWc2JlSkUwSkFF,2023-06-05T16:00:19Z,UCk5BcU1rOy6hepflk7_q_Pw,"LÍDER DO PT PEDIU INVESTIGAÇÃO CONTRA ZAMBELLI, com Antídoto","Carla Zambelli está cada vez mais enrolada, agora não só na esfera eleitoral, mas também na criminal. A falsificação de uma assinatura na prestação de contas da sua campanha pode render até cinco anos de prisão.
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/PVsbeJE0JAE/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/PVsbeJE0JAE/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/PVsbeJE0JAE/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/PVsbeJE0JAE/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/PVsbeJE0JAE/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,2,youtube#video,PVsbeJE0JAE,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,TdxlDpXuJklJmDcJjQLjDZYGOFs,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LmNLYnNDak1TazVv,2023-06-05T15:30:14Z,UCk5BcU1rOy6hepflk7_q_Pw,"PL PEDE A CABEÇA DE SEIS DEPUTADAS DE UMA VEZ, com Antídoto","O PL, partido do Bolsonaro, resolveu tentar cassar 6 deputadas da esquerda de uma vez só. É, o partido que anda dizendo que quer atrair mais mulheres resolve ir para cima de 6 mulheres.
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/cKbsCjMSk5o/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/cKbsCjMSk5o/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/cKbsCjMSk5o/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/cKbsCjMSk5o/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/cKbsCjMSk5o/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,3,youtube#video,cKbsCjMSk5o,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,mvWqfrb3zQS_5o1fX6vUehJ6EU8,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LnByQlotY3hBNTFJ,2023-06-05T15:08:16Z,UCk5BcU1rOy6hepflk7_q_Pw,MORO COLOCOU ZANIN NO STF? Com Antídoto,"Lula indicou o Cristiano Zanin, advogado que o defendeu na Lava Jato, para uma vaga no Supremo Tribunal Federal. A indicação foi de Lula, mas quando se olha os eventos que nos trouxeram até aqui, começa a parecer que no final quem colocou ele lá foi o Sérgio Moro.
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/prBZ-cxA51I/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/prBZ-cxA51I/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/prBZ-cxA51I/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/prBZ-cxA51I/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/prBZ-cxA51I/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,4,youtube#video,prBZ-cxA51I,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,lw2UHZQhRtpm9eRQUNmsBQkpqk8,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LjJGNlVjYXFtNjBn,2023-06-05T12:22:49Z,UCk5BcU1rOy6hepflk7_q_Pw,"A PAUTA DO DIA, COM CAROL DARTORA",,"{'url': 'https://i.ytimg.com/vi/2F6Ucaqm60g/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/2F6Ucaqm60g/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/2F6Ucaqm60g/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/2F6Ucaqm60g/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/2F6Ucaqm60g/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,5,youtube#video,2F6Ucaqm60g,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,YGZIGhYmgVwZoRpXLEijaiX1jm0,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LkdLTW90VXZhcU1V,2023-06-04T19:00:06Z,UCk5BcU1rOy6hepflk7_q_Pw,"DEPUTADO MANDA A REAL SOBRE A ESQUERDA BRASILEIRA, com Renato Freitas","O deputado estadual Renato Freitas deu uma entrevista recentemente para o UOL na qual ele falou que a esquerda brasileira é racista. Ele também falou sobre onde ele acredita que surge o fascismo e sobre com enfrentá-lo. Vou conversar um pouco com ele sobre esses assuntos.

Fontes: https://www.uol.com.br/ecoa/ultimas-noticias/2023/06/02/a-esquerda-e-racista-porque-nao-quer-arriscar-perder-votos-diz-deputado.htm 
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/GKMotUvaqMU/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/GKMotUvaqMU/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/GKMotUvaqMU/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/GKMotUvaqMU/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/GKMotUvaqMU/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,6,youtube#video,GKMotUvaqMU,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,0SIkb-Ha_4OgEH3enPT4DZ91cWA,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3Lkp1bXA5bjdyZC0w,2023-06-04T16:00:19Z,UCk5BcU1rOy6hepflk7_q_Pw,"PROCURADORA RECLAMA DE SALÁRIO DE 60 MIL, com Renato Freitas","Rolou uma sessão do Colégio de Procuradores do Ministério Público de Goiás em que se discutia a falta de reajustes nos salários no Ministério Público daquele estado. Os depoimentos que aconteceram nessa sessão desenham um retrato da desigualdade social no nosso país.

Fontes: https://noticias.uol.com.br/cotidiano/ultimas-noticias/2023/06/01/procuradora-reclama-de-salario-quanto-ganha-procurador.htm 
https://g1.globo.com/go/goias/noticia/2023/06/02/apos-procuradora-do-mp-go-dizer-ter-do-de-salario-de-r-30-mil-outra-reclama-estamos-com-o-pires-na-mao.ghtml 
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/Jump9n7rd-0/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/Jump9n7rd-0/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/Jump9n7rd-0/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/Jump9n7rd-0/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/Jump9n7rd-0/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,7,youtube#video,Jump9n7rd-0,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,fY90c1bD3iLqftzquiCwwlldeKA,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3LmFkT3dNMHNpNjFz,2023-06-04T00:19:16Z,UCk5BcU1rOy6hepflk7_q_Pw,"LIVE: AS CONSEQUÊNCIAS DOS ATOS, com Antídoto","Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/adOwM0si61s/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/adOwM0si61s/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/adOwM0si61s/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/adOwM0si61s/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/adOwM0si61s/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,8,youtube#video,adOwM0si61s,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
youtube#playlistItem,KvI6BOaH5gJJQT32WnyujioPJBw,VVVrNUJjVTFyT3k2aGVwZmxrN19xX1B3Lkp6UXJvY2N5MEw4,2023-06-03T19:30:01Z,UCk5BcU1rOy6hepflk7_q_Pw,"GENERAL DEFENDE O GOLPE NA CPI DO GOLPE, com Renato Freitas","O general Heleno foi convocado a depor na CPI dos Atos Antidemocráticos, que está acontecendo na Câmara Legislativa do Distrito Federal. Lá, ele alternou entre defender golpes e fazer de conta que eles não existem.

Fontes: https://www.metropoles.com/distrito-federal/heleno-critica-termo-golpe-e-diz-que-exercito-nao-precisava-reconhecer-resultado-das-urnas 
--
Você pode nos ajudar a continuar existindo, mas só se você quiser:

Chave Pix:
pixmeteoro@gmail.com
--
Essa é a campanha de financiamento coletivo que mantém esse canal no ar:  
https://www.padrim.com.br/meteorobrasil","{'url': 'https://i.ytimg.com/vi/JzQroccy0L8/default.jpg', 'width': 120, 'height': 90}","{'url': 'https://i.ytimg.com/vi/JzQroccy0L8/mqdefault.jpg', 'width': 320, 'height': 180}","{'url': 'https://i.ytimg.com/vi/JzQroccy0L8/hqdefault.jpg', 'width': 480, 'height': 360}","{'url': 'https://i.ytimg.com/vi/JzQroccy0L8/sddefault.jpg', 'width': 640, 'height': 480}","{'url': 'https://i.ytimg.com/vi/JzQroccy0L8/maxresdefault.jpg', 'width': 1280, 'height': 720}",Meteoro Brasil,UUk5BcU1rOy6hepflk7_q_Pw,9,youtube#video,JzQroccy0L8,Meteoro Brasil,UCk5BcU1rOy6hepflk7_q_Pw,EAAaBlBUOkNESQ,2023-06-05 14:10:15.534639
